site,date,species,plant_no,pv_dry,sla_dry,sla_no_disks,size_mm2
laselva,8/7/2017,asplenium_auritum,1,0.1558,0.0085,10,2
laselva,8/7/2017,asplenium_auritum,2,0.1808,0.005,10,2
laselva,8/7/2017,asplenium_auritum,3,0.2477,0.0061,10,2
laselva,8/7/2017,asplenium_auritum,4,0.0907,0.0107,10,2
laselva,8/7/2017,asplenium_auritum,5,0.3297,0.0073,10,2
laselva,8/7/2017,asplenium_auritum,6,0.2007,0.0082,10,2
laselva,19/7/2017,asplenium_juglandifolia,1,0.2479,0.0017,10,2
laselva,19/7/2017,asplenium_juglandifolia,2,0.1889,0.0024,10,2
laselva,19/7/2017,asplenium_juglandifolia,3,0.2304,0.0023,10,2
laselva,19/7/2017,asplenium_juglandifolia,4,0.1339,0.0013,10,2
laselva,19/7/2017,asplenium_juglandifolia,5,,0.0016,10,2
laselva,14/7/2017,asplenium_serratum,2,0.3418,0.0048,10,5
laselva,14/7/2017,asplenium_serratum,3,0.4543,0.0058,10,5
laselva,14/7/2017,asplenium_serratum,4,0.4119,0.0064,10,5
laselva,14/7/2017,asplenium_serratum,1,0.3806,0.0098,10,5
laselva,14/7/2017,asplenium_serratum,5,0.4639,0.0083,10,5
laselva,14/7/2017,asplenium_serratum,6,0.5143,0.0069,10,5
laselva,8/7/2017,blechnum_occidentale,1,0.4247,0.0067,10,5
laselva,8/7/2017,blechnum_occidentale,2,0.389,0.0071,10,5
laselva,8/7/2017,blechnum_occidentale,3,0.4693,0.0081,10,5
laselva,8/7/2017,blechnum_occidentale,4,0.3894,0.0076,10,5
laselva,8/7/2017,blechnum_occidentale,5,0.3351,0.0081,10,5
laselva,8/7/2017,blechnum_occidentale,6,0.4905,0.0096,10,5
laselva,10/7/2017,campyloneurum_brevifolium,1,0.0629,0.009,10,5
laselva,10/7/2017,campyloneurum_brevifolium,2,0.2532,0.0116,11,5
laselva,10/7/2017,campyloneurum_brevifolium,3,0.4514,0.0112,10,5
laselva,10/7/2017,campyloneurum_brevifolium,4,0.3901,0.0111,10,5
laselva,10/7/2017,campyloneurum_brevifolium,5,0.381,0.0106,10,5
laselva,10/7/2017,campyloneurum_brevifolium,6,0.4833,0.0139,10,5
laselva,10/8/2017,cyclopeltis_semicordata,2,0.3975,0.0055,10,5
laselva,10/8/2017,cyclopeltis_semicordata,3,0.3245,0.0058,11,5
laselva,10/8/2017,cyclopeltis_semicordata,4,0.4639,0.0054,10,5
laselva,10/8/2017,cyclopeltis_semicordata,6,0.3057,0.0039,10,5
