site,species,bag_id,#bags,bag_id2,#bags,bag_id3,#bags,,Saccloma
laselva,phlebodium_aurem,fern_sla,13,fern_iso,8,fern_pv,10,,75bags
laselva,thelypteris_curtii,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,polybotrya_osmundacea,fern_sla,6,fern_iso,6,fern_pv,7,,
laselva,serpocaulon_loriciforme,fern_sla,6,fern_iso,6,fern_pv,7,,
laselva,asplenium_auritum,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,blechnum_occidentale ,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,lomariopsis_japurensis,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,thelypteris_dentata,fern_sla,6,fern_iso,5,fern_pv,5,,
laselva,diplazium_straitastrum,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,campylonerum_brevifolia,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,cyclopeltis_semicordata,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,mickelia_nicotianifolia,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,tectaria_incisa,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,asplenium_serratum,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,thelypteris_nicaraguensis,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,elaphoglossum_latifolia,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,pecluma_pectinata,fern_sla,6,fern_iso,6,fern_pv,7,,
laselva,elaphoglossum_herminieri,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,asplenium_juglandifolia,fern_sla,5,fern_iso,5,fern_pv,4,,
laselva,oleandra_articulata,fern_sla,5,fern_iso,5,fern_pv,6,,
laselva,pleopeltis_bradeorum,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,nephrolepis_rivularis,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,elaphoglossum_amygdalifolium,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,nephrolepis biserrata,fern_sla,6,fern_iso,6,fern_pv,6,,
laselva,salpichlaena_volubilis,fern_sla,5,fern_iso,5,fern_pv,6,,
,,,154,,148,,154,,
