species,site,niche,
polybotrya_osmundacea,laselva,climber,?terrestrial
asplenium_auritum,laselva,epiphyte,
asplenium_juglandifolia,laselva,epiphyte,
asplenium_serratum,laselva,epiphyte,
campylonerum_brevifolia,laselva,epiphyte,
elaphoglossum_herminieri,laselva,epiphyte,
elaphoglossum_latifolia,laselva,epiphyte,
nephrolepis_rivularis,laselva,epiphyte,
oleandra_articulata,laselva,epiphyte,
pecluma_pectinata,laselva,epiphyte,
phlebodium_aurem,laselva,epiphyte,
pleopeltis_bradeorum,laselva,epiphyte,
serpocaulon_loriciforme,laselva,epiphyte,
elaphoglossum_amygdalifolium,laselva,hemi-epiphyte,
lomariopsis_japurensis,laselva,terrestrial,
blechnum_occidentale ,laselva,terrestrial,
cyclopeltis_semicordata,laselva,terrestrial,
diplazium_straitastrum,laselva,terrestrial,
mickelia_nicotianifolia,laselva,terrestrial,
nephrolepis biserrata,laselva,terrestrial,
salpichlaena_volubilis,laselva,terrestrial,
tectaria_incisa,laselva,terrestrial,
thelypteris_curtii,laselva,terrestrial,
thelypteris_dentata,laselva,terrestrial,
thelypteris_nicaraguensis,laselva,terrestrial,
