site,genus,species,individual,stom_no,guardcell_length_um,guardcell_width1_um,guardcell_width2_um
las_cruces,ser,tri,5e,5,0.048,0.014,0.014
las_cruces,ser,tri,5f,6,0.05,0.015,0.015
las_cruces,ser,tri,5g,7,0.05,0.016,0.014
las_cruces,ser,tri,6a,1,0.049,0.015,0.014
las_cruces,ser,tri,6a,2,0.052,0.017,0.015
las_cruces,ser,tri,6b,3,0.045,0.014,0.015
las_cruces,ser,tri,6b,4,0.051,0.016,0.015
las_cruces,ser,tri,6c,5,0.053,0.014,0.013
las_cruces,ser,tri,6c,6,0.047,0.015,0.015
las_cruces,ser,tri,6d,7,0.051,0.014,0.013
las_cruces,ser,tri,6e,8,0.048,0.014,0.014
las_cruces,ser,tri,6f,9,0.053,0.015,0.014
las_cruces,ser,tri,6f,10,0.051,0.013,0.012
