site,date,species,plant_no,pv_dry,sla_dry,sla_no_disks,size_mm2
laselva,4/7/2017,phlebodium_aurem,1,,0.0041,10,10
laselva,4/7/2017,phlebodium_aurem,2,,0.0042,10,10
laselva,4/7/2017,phlebodium_aurem,3,,0.0063,10,10
laselva,4/7/2017,phlebodium_aurem,4,,0.0057,10,10
laselva,4/7/2017,phlebodium_aurem,5,,0.0058,10,10
laselva,4/7/2017,phlebodium_aurem,6,,0.0072,10,10
laselva,4/7/2017,phlebodium_aurem,7,,0.0047,10,10
laselva,4/7/2017,phlebodium_aurem,8,,0.0045,10,10
laselva,6/7/2017,thelypteris_curtii,1,,0.0014,5,10
laselva,6/7/2017,thelypteris_curtii,2,,0.0008,5,10
laselva,6/7/2017,thelypteris_curtii,3,,0.0012,5,10
laselva,6/7/2017,thelypteris_curtii,4,,0.0006,5,7
laselva,6/7/2017,thelypteris_curtii,5,,0.0016,5,9
laselva,6/7/2017,thelypteris_curtii,6,,0.0011,5,10
laselva,8/7/2017,polybotrya_osmundacea,1,,0.0055,5,10
laselva,8/7/2017,polybotrya_osmundacea,2,,0.0065,5,10
laselva,8/7/2017,polybotrya_osmundacea,3,,0.008,5,10
laselva,8/7/2017,polybotrya_osmundacea,4,,0.0053,5,10
laselva,8/7/2017,polybotrya_osmundacea,5,,0.006,5,10
laselva,8/7/2017,polybotrya_osmundacea,6,,0.0053,5,10
laselva,8/7/2017,serpocaulon_loriciforme,10,,0.0044,2,10
laselva,8/7/2017,serpocaulon_loriciforme,9,,0.0043,2,10
laselva,8/7/2017,serpocaulon_loriciforme,3,,0.0032,2,10
laselva,8/7/2017,serpocaulon_loriciforme,4,,0.0053,2,10
laselva,8/7/2017,serpocaulon_loriciforme,12,,0.0036,2,10
laselva,8/7/2017,serpocaulon_loriciforme,6,,0.0044,2,10
laselva,8/7/2017,asplenium_auritum,1,,0.0085,2,10
laselva,8/7/2017,asplenium_auritum,2,,0.005,2,10
laselva,8/7/2017,asplenium_auritum,3,,0.0061,2,10
laselva,8/7/2017,asplenium_auritum,4,,0.0107,2,10
laselva,8/7/2017,asplenium_auritum,5,,0.0073,2,10
laselva,8/7/2017,asplenium_auritum,6,,0.0082,2,10
laselva,8/7/2017,blechnum_occidentale ,1,,0.0067,5,10
laselva,8/7/2017,blechnum_occidentale ,2,,0.0071,5,10
laselva,8/7/2017,blechnum_occidentale ,3,,0.0081,5,10
