site,species,plant_no,wet_weight_g,psi_bars
laselva,asplenium_serratum,2,2.066,6.4
laselva,asplenium_serratum,2,2.0563,7.5
laselva,asplenium_serratum,2,2.0486,8.4
laselva,asplenium_serratum,2,2.0381,9.9
laselva,asplenium_serratum,2,2.0269,11
laselva,asplenium_serratum,2,2.0155,11.8
laselva,asplenium_serratum,2,1.9818,12.6
laselva,asplenium_serratum,2,1.953,15.4
laselva,asplenium_serratum,3,2.4624,5
laselva,asplenium_serratum,3,2.4484,6
laselva,asplenium_serratum,3,2.441,7
laselva,asplenium_serratum,3,2.4288,7.5
laselva,asplenium_serratum,3,2.4162,9
laselva,asplenium_serratum,3,2.4041,10
laselva,asplenium_serratum,3,2.3935,11
laselva,asplenium_serratum,3,2.3655,12
laselva,asplenium_serratum,3,2.3568,12.2
laselva,asplenium_serratum,3,2.3308,13
laselva,asplenium_serratum,3,2.2746,15
laselva,asplenium_serratum,4,1.6893,6
laselva,asplenium_serratum,4,1.6838,8
laselva,asplenium_serratum,4,1.6771,8.2
laselva,asplenium_serratum,4,1.6722,11
laselva,asplenium_serratum,4,1.6698,11
laselva,asplenium_serratum,4,1.6433,12.9
laselva,asplenium_serratum,4,1.6295,14
laselva,asplenium_serratum,4,1.594,15.9
laselva,asplenium_serratum,5,2.3622,2.5
laselva,asplenium_serratum,5,2.3512,5.1
laselva,asplenium_serratum,5,2.3412,6.8
laselva,asplenium_serratum,5,2.3358,7.8
laselva,asplenium_serratum,5,2.3255,8.3
laselva,asplenium_serratum,5,2.319,9.6
laselva,asplenium_serratum,5,2.3046,10.8
laselva,asplenium_serratum,5,2.2866,13
laselva,asplenium_serratum,6,3.9367,2.5
laselva,asplenium_serratum,6,3.9252,2.8
laselva,asplenium_serratum,6,3.9063,3.6
laselva,asplenium_serratum,6,3.8855,5
laselva,asplenium_serratum,6,3.8668,6
laselva,asplenium_serratum,6,3.8503,8
laselva,asplenium_serratum,6,3.8339,8
laselva,asplenium_serratum,6,3.8181,8
laselva,asplenium_serratum,6,3.7992,8.8
laselva,asplenium_serratum,6,3.7454,10
laselva,asplenium_serratum,6,3.7122,10.5
laselva,asplenium_serratum,6,3.633,11
laselva,blechnum_occidentale,1,1.596,7.3
laselva,blechnum_occidentale,1,1.5886,9
laselva,blechnum_occidentale,1,1.5867,10
laselva,blechnum_occidentale,1,1.5838,12
laselva,blechnum_occidentale,1,1.5788,12.9
laselva,blechnum_occidentale,1,1.5692,12.9
laselva,blechnum_occidentale,1,1.5562,14
laselva,blechnum_occidentale,1,1.5507,14
laselva,blechnum_occidentale,2,1.5925,5.4
laselva,blechnum_occidentale,2,1.5811,8
laselva,blechnum_occidentale,2,1.5759,10
laselva,blechnum_occidentale,2,1.5735,10.2
laselva,blechnum_occidentale,2,1.5666,11.3
laselva,blechnum_occidentale,2,1.5583,12.8
laselva,blechnum_occidentale,2,1.5547,13
laselva,blechnum_occidentale,2,1.5293,13.8
laselva,blechnum_occidentale,2,1.5131,14
laselva,blechnum_occidentale,4,1.452,6.6
laselva,blechnum_occidentale,4,1.4522,8.1
laselva,blechnum_occidentale,4,1.4429,7.6
laselva,blechnum_occidentale,4,1.4415,10
laselva,blechnum_occidentale,4,1.4264,10.8
laselva,blechnum_occidentale,4,1.4223,11.8
laselva,blechnum_occidentale,4,1.4207,13
laselva,blechnum_occidentale,4,1.2875,18.1
laselva,blechnum_occidentale,5,1.4446,4.8
laselva,blechnum_occidentale,5,1.4375,7.9
laselva,blechnum_occidentale,5,1.4355,9.1
laselva,blechnum_occidentale,5,1.4189,11.2
laselva,blechnum_occidentale,5,1.4167,12.2
laselva,blechnum_occidentale,5,1.4123,13.3
laselva,blechnum_occidentale,5,1.4044,14.2
laselva,blechnum_occidentale,6,1.7399,5.2
laselva,blechnum_occidentale,6,1.7351,8.4
laselva,blechnum_occidentale,6,1.7295,9.6
laselva,blechnum_occidentale,6,1.7273,9.9
laselva,blechnum_occidentale,6,1.7233,10.7
laselva,blechnum_occidentale,6,1.7173,11
laselva,blechnum_occidentale,6,1.713,12.5
laselva,blechnum_occidentale,6,1.7114,12.7
laselva,blechnum_occidentale,6,1.7035,14.2
laselva,blechnum_occidentale,6,1.7,14.2
laselva,campyloneurum_brevifolium,1,0.5556,2.8
laselva,campyloneurum_brevifolium,1,0.5526,2.8
laselva,campyloneurum_brevifolium,1,0.5458,3
laselva,campyloneurum_brevifolium,1,0.5407,3.2
laselva,campyloneurum_brevifolium,1,0.5388,3.8
laselva,campyloneurum_brevifolium,1,0.5289,5.1
laselva,campyloneurum_brevifolium,1,0.5217,6.7
laselva,campyloneurum_brevifolium,1,0.5126,6.7
laselva,campyloneurum_brevifolium,1,0.5029,7.9
laselva,campyloneurum_brevifolium,1,0.4845,8.1
laselva,campyloneurum_brevifolium,2,0.855,3.1
laselva,campyloneurum_brevifolium,2,0.849,3.2
laselva,campyloneurum_brevifolium,2,0.8472,5.6
laselva,campyloneurum_brevifolium,2,0.8437,7
laselva,campyloneurum_brevifolium,2,0.8418,7.9
laselva,campyloneurum_brevifolium,2,0.8358,10.2
laselva,campyloneurum_brevifolium,2,0.8252,13.5
laselva,campyloneurum_brevifolium,2,0.8167,15
laselva,campyloneurum_brevifolium,2,0.8055,15.8
laselva,campyloneurum_brevifolium,3,1.7621,2.8
laselva,campyloneurum_brevifolium,3,1.7589,3.8
laselva,campyloneurum_brevifolium,3,1.7554,4.1
laselva,campyloneurum_brevifolium,3,1.7522,6
laselva,campyloneurum_brevifolium,3,1.7481,7
laselva,campyloneurum_brevifolium,3,1.7422,8.2
laselva,campyloneurum_brevifolium,3,1.7279,10.1
laselva,campyloneurum_brevifolium,3,1.7199,12.4
laselva,campyloneurum_brevifolium,3,1.7116,12.8
laselva,campyloneurum_brevifolium,3,1.004,14.9
laselva,campyloneurum_brevifolium,4,1.5827,2
laselva,campyloneurum_brevifolium,4,1.5652,2.5
laselva,campyloneurum_brevifolium,4,1.5504,2.9
laselva,campyloneurum_brevifolium,4,1.5455,3.9
laselva,campyloneurum_brevifolium,4,1.5335,7
laselva,campyloneurum_brevifolium,4,1.5281,7.8
laselva,campyloneurum_brevifolium,4,1.5199,9
laselva,campyloneurum_brevifolium,4,1.503,11.8
laselva,campyloneurum_brevifolium,4,1.4869,13
laselva,campyloneurum_brevifolium,5,1.4538,2.8
laselva,campyloneurum_brevifolium,5,1.4456,3.5
laselva,campyloneurum_brevifolium,5,1.4399,5.1
laselva,campyloneurum_brevifolium,5,1.4365,5.9
laselva,campyloneurum_brevifolium,5,1.4307,6.8
laselva,campyloneurum_brevifolium,5,1.4201,9
laselva,campyloneurum_brevifolium,5,1.4169,9.2
laselva,campyloneurum_brevifolium,5,1.4059,10.9
laselva,campyloneurum_brevifolium,5,1.3758,13.1
laselva,campyloneurum_brevifolium,5,1.3394,14
laselva,cyclopeltis_semicordata,5,2.3193,15.1
laselva,cyclopeltis_semicordata,2,1.8778,2.8
laselva,cyclopeltis_semicordata,2,1.8305,5
laselva,cyclopeltis_semicordata,2,1.7944,5.7
laselva,cyclopeltis_semicordata,2,1.7594,7
laselva,cyclopeltis_semicordata,2,1.7367,8.7
laselva,cyclopeltis_semicordata,2,1.7104,12
laselva,cyclopeltis_semicordata,2,1.6929,13.8
laselva,cyclopeltis_semicordata,2,1.6563,15
laselva,cyclopeltis_semicordata,2,1.582,16
laselva,cyclopeltis_semicordata,3,1.618,4
laselva,cyclopeltis_semicordata,3,1.6027,6.9
laselva,cyclopeltis_semicordata,3,1.5914,10
laselva,cyclopeltis_semicordata,3,1.5813,11
laselva,cyclopeltis_semicordata,3,1.5667,11.2
laselva,cyclopeltis_semicordata,3,1.5359,12.5
laselva,cyclopeltis_semicordata,3,1.5019,14
laselva,cyclopeltis_semicordata,3,1.4716,15
laselva,cyclopeltis_semicordata,4,2.1634,4
laselva,cyclopeltis_semicordata,4,2.1377,5.9
laselva,cyclopeltis_semicordata,4,2.1257,8
laselva,cyclopeltis_semicordata,4,2.1149,10
laselva,cyclopeltis_semicordata,4,2.1034,11.7
laselva,cyclopeltis_semicordata,4,2.0924,13
laselva,cyclopeltis_semicordata,4,2.0784,13
laselva,cyclopeltis_semicordata,4,2.0404,15
laselva,cyclopeltis_semicordata,4,1.9764,16
laselva,cyclopeltis_semicordata,4,1.9027,16.1
laselva,cyclopeltis_semicordata,6,1.7434,2.6
laselva,cyclopeltis_semicordata,6,1.7363,5
laselva,cyclopeltis_semicordata,6,1.7266,6.2
laselva,cyclopeltis_semicordata,6,1.7165,8.2
laselva,cyclopeltis_semicordata,6,1.7066,8.8
laselva,cyclopeltis_semicordata,6,1.697,9.8
laselva,cyclopeltis_semicordata,6,1.6667,10
laselva,cyclopeltis_semicordata,6,1.6326,10.9
laselva,cyclopeltis_semicordata,6,1.5609,11.3
laselva,cyclopeltis_semicordata,6,1.5168,12
laselva,cyclopeltis_semicordata,6,1.505,12
laselva,cyclopeltis_semicordata,7,1.3148,2.4
laselva,cyclopeltis_semicordata,7,1.3011,3.8
laselva,cyclopeltis_semicordata,7,1.2929,7
laselva,cyclopeltis_semicordata,7,1.2857,10.3
laselva,cyclopeltis_semicordata,7,1.2703,12.8
laselva,cyclopeltis_semicordata,7,1.2478,14.9
laselva,cyclopeltis_semicordata,7,1.1932,15
laselva,diplazium_straitastrum,4,0.999,7.5
laselva,diplazium_straitastrum,4,0.9804,11
laselva,diplazium_straitastrum,4,0.9753,12
laselva,diplazium_straitastrum,4,0.9598,13
laselva,diplazium_straitastrum,4,0.9321,15
laselva,diplazium_straitastrum,2,0.8095,7.5
laselva,diplazium_straitastrum,2,0.8009,10.1
laselva,diplazium_straitastrum,2,0.7937,11.5
laselva,diplazium_straitastrum,2,0.7847,11.8
laselva,diplazium_straitastrum,2,0.7759,12.1
laselva,diplazium_straitastrum,2,0.697,13.8
