site,genusspecies,individual,stom_no,guardcell_length_um,guardcell_width1_um,guardcell_width2_um
la_selva,aspjug,1a,1,0.0554,0.0094,0.0096
la_selva,aspjug,1b,2,0.0555,0.0095,0.0097
la_selva,aspjug,1b,3,0.0491,0.0102,0.0122
la_selva,aspjug,1b,4,0.0485,0.0116,0.0096
la_selva,aspjug,1c,5,0.0392,0.0092,0.0095
la_selva,aspjug,1c,6,0.0519,0.0094,0.0078
la_selva,aspjug,1d,7,0.05,0.0094,0.0116
la_selva,aspjug,1e,8,0.0575,0.0091,0.013
la_selva,aspjug,2a,1,0.0535,0.0095,0.0087
la_selva,aspjug,2b,2,0.0525,0.01,0.0104
la_selva,aspjug,2b,3,0.0474,0.0117,0.0113
la_selva,aspjug,2c,4,0.0523,0.0102,0.0121
la_selva,aspjug,2c,5,0.0529,0.0126,0.0129
la_selva,aspjug,2d,6,0.0522,0.011,0.011
la_selva,aspjug,2d,7,0.0534,0.009,0.0111
la_selva,aspjug,2e,8,0.0537,0.0119,0.012
la_selva,aspjug,2e,9,0.0455,0.0095,0.0138
la_selva,aspjug,3a,1,0.0457,0.0104,0.011
la_selva,aspjug,3b,2,0.0408,0.0105,0.0106
la_selva,aspjug,3c,3,0.0535,0.0106,0.0104
la_selva,aspjug,3c,4,0.049,0.008,0.0095
la_selva,aspjug,3d,5,0.0558,0.0106,0.0114
la_selva,aspjug,3e,6,0.0488,0.0095,0.0108
la_selva,aspjug,3f,7,0.0518,0.0108,0.0111
la_selva,aspjug,3f,8,0.0524,0.0108,0.0115
la_selva,aspjug,3f,9,0.0486,0.0109,0.0111
la_selva,aspjug,4a,1,0.0496,0.0113,0.01321
la_selva,aspjug,4a,2,0.0545,0.0096,0.0096
la_selva,aspjug,4a,3,0.051,0.0103,0.0118
la_selva,aspjug,4b,4,0.0541,0.0094,0.0099
la_selva,aspjug,4c,5,0.0575,0.0116,0.0104
la_selva,aspjug,4c,6,0.0534,0.0111,0.0106
la_selva,aspjug,4d,7,0.0485,0.0099,0.0093
la_selva,aspjug,4d,8,0.0515,0.0129,0.0126
la_selva,aspjug,5a,1,0.0496,0.0116,0.014
la_selva,aspjug,5b,2,0.0533,0.007,0.0106
la_selva,aspjug,5c,3,0.0489,0.01,0.0117
la_selva,aspjug,5d,4,0.0561,0.0099,0.01
la_selva,aspjug,5d,5,0.053,0.0118,0.0091
la_selva,aspjug,5e,6,0.0521,0.0123,0.0121
la_selva,aspjug,5e,7,0.0527,0.0102,0.0121
la_selva,aspjug,5f,8,0.0486,0.0116,0.01
la_selva,aspjug,5f,9,0.0542,0.0095,0.0105
la_selva,aspser,1a,1,0.0623,0.0163,0.0155
la_selva,aspser,1b,2,0.0636,0.0155,0.0163
la_selva,aspser,1c,3,0.0611,0.0185,0.0184
la_selva,aspser,1d,4,0.0656,0.0192,0.0181
la_selva,aspser,1e,5,0.0638,0.015,0.0162
la_selva,aspser,1e,6,0.0974,0.0173,0.0155
la_selva,aspser,1f,7,0.0621,0.014,0.0157
la_selva,aspser,1f,8,0.0555,0.0143,0.0159
la_selva,aspser,1g,9,0.06,0.0186,0.196
la_selva,aspser,2a,1,0.0689,0.0149,0.0194
la_selva,aspser,2b,2,0.0627,0.0149,0.0155
la_selva,aspser,2b,3,0.0635,0.0158,0.0148
la_selva,aspser,2c,4,0.0639,0.0188,0.0174
la_selva,aspser,2c,5,0.0653,0.0174,0.0161
la_selva,aspser,2d,6,0.0692,0.0165,0.015
la_selva,aspser,2e,7,0.0636,0.0172,0.0155
la_selva,aspser,2f,8,0.0618,0.014,0.0176
la_selva,aspser,2g,9,0.0658,0.016,0.016
la_selva,aspser,3a,1,,,
la_selva,aspser,3b,2,,,
la_selva,aspser,3c,3,,,
la_selva,aspser,3c,4,,,
la_selva,aspser,3d,5,,,
la_selva,aspser,3d,6,,,
la_selva,aspser,3e,7,,,
la_selva,aspser,3f,8,,,
la_selva,aspser,3f,9,,,
la_selva,aspser,4a,1,,,
la_selva,aspser,4b,2,,,
la_selva,aspser,4c,3,,,
la_selva,aspser,4d,4,,,
la_selva,aspser,4d,5,,,
la_selva,aspser,4e,6,,,
la_selva,aspser,4f,7,,,
la_selva,aspser,4f,8,,,
la_selva,aspser,4g,9,,,
la_selva,aspser,5a,1,,,
la_selva,aspser,5a,2,,,
la_selva,aspser,5a,3,,,
la_selva,aspser,5b,4,,,
la_selva,aspser,5b,5,,,
la_selva,aspser,5c,6,,,
la_selva,aspser,5c,7,,,
la_selva,aspser,5d,8,,,
la_selva,aspser,5e,9,,,
la_selva,aspser,6a,1,,,
la_selva,aspser,6b,2,,,
la_selva,aspser,6b,3,,,
la_selva,aspser,6c,4,,,
la_selva,aspser,6d,5,,,
la_selva,aspser,6e,6,,,
la_selva,aspser,6f,7,,,
la_selva,aspser,6g,8,,,
la_selva,aspser,6h,9,,,
las_cruces,aspuni,1a,1,0.058,0.013,0.013
las_cruces,aspuni,1a,2,0.054,0.012,0.012
las_cruces,aspuni,1c,3,0.051,0.012,0.01
las_cruces,aspuni,1c,4,0.055,0.015,0.013
las_cruces,aspuni,1d,5,0.055,0.013,0.011
las_cruces,aspuni,1d,6,0.054,0.012,0.012
las_cruces,aspuni,1d,7,0.054,0.013,0.011
las_cruces,aspuni,2c,1,0.057,0.015,0.015
las_cruces,aspuni,2c,2,0.059,0.015,0.014
las_cruces,aspuni,2d,3,0.063,0.013,0.014
las_cruces,aspuni,2d,4,0.057,0.015,0.012
las_cruces,aspuni,3a,1,0.056,0.012,0.012
las_cruces,aspuni,3a,2,0.056,0.016,0.015
las_cruces,aspuni,3a,3,0.056,0.017,0.016
las_cruces,aspuni,3c,4,0.049,0.013,0.014
las_cruces,aspuni,3c,5,0.054,0.012,0.015
las_cruces,aspuni,3c,6,0.05,0.012,0.011
las_cruces,aspuni,4a,1,0.056,0.015,0.013
las_cruces,aspuni,4a,2,0.065,0.015,0.015
las_cruces,aspuni,4a,3,0.052,0.013,0.012
las_cruces,aspuni,4b,4,0.056,0.013,0.014
las_cruces,aspuni,4b,5,0.051,0.015,0.015
las_cruces,aspuni,4b,6,0.049,0.016,0.015
las_cruces,aspuni,4c,7,0.06,0.012,0.015
las_cruces,aspuni,4c,8,0.06,0.015,0.016
las_cruces,aspuni,5a,1,0.044,0.013,0.013
las_cruces,aspuni,5a,2,0.058,0.012,0.013
las_cruces,aspuni,5a,3,0.047,0.013,0.013
las_cruces,aspuni,5a,4,0.05,0.011,0.014
las_cruces,aspuni,5c,5,0.057,0.016,0.016
las_cruces,aspuni,5c,6,0.052,0.013,0.014
las_cruces,aspuni,5c,7,0.057,0.014,0.014
las_cruces,aspuni,5d,8,0.06,0.015,0.014
las_cruces,aspuni,6a,1,0.044,0.011,0.011
las_cruces,aspuni,6a,2,0.05,0.012,0.014
las_cruces,aspuni,6a,3,0.055,0.014,0.014
las_cruces,aspuni,6b,4,0.044,0.014,0.013
las_cruces,aspuni,6b,5,0.046,0.013,0.012
las_cruces,aspuni,6b,6,0.044,0.012,0.012
las_cruces,aspuni,6b,7,0.043,0.01,0.01
las_cruces,aspuni,6c,8,0.055,0.012,0.01
las_cruces,blesch,1a,1,0.066,0.012,0.013
las_cruces,blesch,1a,2,0.057,0.013,0.012
las_cruces,blesch,1a,3,0.054,0.013,0.013
las_cruces,blesch,1a,4,0.057,0.012,0.012
las_cruces,blesch,1b,5,0.046,0.015,0.016
las_cruces,blesch,1b,6,0.055,0.013,0.013
las_cruces,blesch,1b,7,0.051,0.013,0.013
las_cruces,blesch,1b,8,0.049,0.013,0.013
las_cruces,blesch,2a,1,0.06,0.013,0.013
las_cruces,blesch,2a,2,0.052,0.012,0.014
las_cruces,blesch,2a,3,0.051,0.013,0.013
las_cruces,blesch,2a,4,0.053,0.013,0.013
las_cruces,blesch,2b,5,0.053,0.011,0.011
las_cruces,blesch,2b,6,0.051,0.013,0.012
las_cruces,blesch,2b,7,0.051,0.012,0.012
las_cruces,blesch,2c,8,0.054,0.014,0.015
las_cruces,blesch,3a,1,0.054,0.012,0.013
las_cruces,blesch,3a,2,0.06,0.014,0.014
las_cruces,blesch,3a,3,0.052,0.015,0.014
las_cruces,blesch,3b,4,0.055,0.01,0.01
las_cruces,blesch,3b,5,0.047,0.013,0.012
las_cruces,blesch,3b,6,0.049,0.014,0.012
las_cruces,blesch,3b,7,0.052,0.013,0.013
las_cruces,blesch,3c,8,0.056,0.012,0.012
las_cruces,blesch,4a,1,0.063,0.015,0.014
las_cruces,blesch,4a,2,0.064,0.014,0.014
las_cruces,blesch,4a,3,0.061,0.013,0.013
las_cruces,blesch,4a,4,0.068,0.013,0.013
las_cruces,blesch,4b,5,0.061,0.01,0.011
las_cruces,blesch,4b,6,0.064,0.016,0.017
las_cruces,blesch,4b,7,0.063,0.014,0.014
las_cruces,blesch,4c,8,0.059,0.015,0.014
las_cruces,blesch,5a,1,0.065,0.012,0.012
las_cruces,blesch,5a,2,0.054,0.015,0.014
las_cruces,blesch,5a,3,0.051,0.012,0.013
las_cruces,blesch,5a,4,0.053,0.013,0.015
las_cruces,blesch,5b,5,0.054,0.012,0.016
las_cruces,blesch,5b,6,0.064,0.013,0.014
las_cruces,blesch,5b,7,0.066,0.015,0.014
las_cruces,blesch,5b,8,0.061,0.013,0.014
las_cruces,blesch,6a,1,0.058,0.015,0.014
las_cruces,blesch,6b,2,0.063,0.011,0.015
las_cruces,blesch,6b,3,0.063,0.013,0.013
las_cruces,blesch,6b,4,0.052,0.011,0.012
las_cruces,blesch,6c,5,0.066,0.014,0.014
las_cruces,blesch,6c,6,0.058,0.014,0.014
las_cruces,blesch,6c,7,0.058,0.013,0.015
las_cruces,blesch,6c,8,0.06,0.013,0.013
la_selva,cambre,1a,1,0.047,0.015,0.014
la_selva,cambre,1a,2,0.047,0.014,0.015
la_selva,cambre,1a,3,0.05,0.014,0.012
la_selva,cambre,1b,4,0.049,0.014,0.014
la_selva,cambre,1b,5,0.048,0.015,0.015
la_selva,cambre,1b,6,0.045,0.014,0.014
la_selva,cambre,1c,7,0.043,0.016,0.016
la_selva,cambre,1c,8,0.044,0.017,0.017
la_selva,cambre,1d,9,0.045,0.016,0.016
la_selva,cambre,2a,1,0.053,0.019,0.018
la_selva,cambre,2a,2,0.047,0.018,0.018
la_selva,cambre,2a,3,0.04,0.015,0.015
la_selva,cambre,2b,4,0.047,0.015,0.014
la_selva,cambre,2b,5,0.047,0.018,0.016
la_selva,cambre,2b,6,0.045,0.015,0.015
la_selva,cambre,2c,7,0.041,0.013,0.013
la_selva,cambre,2c,8,0.042,0.014,0.015
la_selva,cambre,2c,9,0.045,0.017,0.018
la_selva,cambre,3a,1,0.038,0.014,0.014
la_selva,cambre,3b,2,0.037,0.013,0.013
la_selva,cambre,3b,3,0.04,0.012,0.012
la_selva,cambre,3b,4,0.033,0.015,0.014
