site,date,species,plant_no,wp_mid_mpa
laselva,8/7/2017,asplenium_auritum,1,1.35
laselva,8/7/2017,asplenium_auritum,2,1.15
laselva,8/7/2017,asplenium_auritum,3,0.95
laselva,8/7/2017,asplenium_auritum,4,1.15
laselva,8/7/2017,asplenium_auritum,5,1.2
laselva,8/7/2017,asplenium_auritum,6,0.65
laselva,19/7/2017,asplenium_juglandifolia,1,
laselva,19/7/2017,asplenium_juglandifolia,2,
laselva,19/7/2017,asplenium_juglandifolia,3,
laselva,19/7/2017,asplenium_juglandifolia,4,
laselva,19/7/2017,asplenium_juglandifolia,5,
laselva,19/7/2017,asplenium_juglandifolia,6,
laselva,14/7/2017,asplenium_serratum,1,0.4
laselva,14/7/2017,asplenium_serratum,2,0.45
laselva,14/7/2017,asplenium_serratum,3,0.27
laselva,14/7/2017,asplenium_serratum,4,0.52
laselva,14/7/2017,asplenium_serratum,5,0.48
laselva,14/7/2017,asplenium_serratum,6,0.72
laselva,8/7/2017,blechnum_occidentale ,1,0.56
laselva,8/7/2017,blechnum_occidentale ,2,1.11
laselva,8/7/2017,blechnum_occidentale ,3,1.31
laselva,8/7/2017,blechnum_occidentale ,4,0.96
laselva,8/7/2017,blechnum_occidentale ,5,1.3
laselva,8/7/2017,blechnum_occidentale ,6,0.79
laselva,10/7/2017,campylonerum_brevifolia,1,0.61
laselva,10/7/2017,campylonerum_brevifolia,2,0.72
laselva,10/7/2017,campylonerum_brevifolia,3,0.46
laselva,10/7/2017,campylonerum_brevifolia,4,0.64
laselva,10/7/2017,campylonerum_brevifolia,5,0.8
laselva,10/7/2017,campylonerum_brevifolia,6,0.75
laselva,10/8/2017,cyclopeltis_semicordata,1,0.65
laselva,10/8/2017,cyclopeltis_semicordata,2,0.55
laselva,10/8/2017,cyclopeltis_semicordata,3,0.55
laselva,10/8/2017,cyclopeltis_semicordata,4,0.4
laselva,10/8/2017,cyclopeltis_semicordata,5,0.55
laselva,10/8/2017,cyclopeltis_semicordata,6,0.55
laselva,10/7/2017,diplazium_straitastrum,1,0.5
laselva,10/7/2017,diplazium_straitastrum,2,0.55
laselva,10/7/2017,diplazium_straitastrum,3,0.5
laselva,10/7/2017,diplazium_straitastrum,4,0.3
laselva,10/7/2017,diplazium_straitastrum,5,0.5
laselva,10/7/2017,diplazium_straitastrum,6,0.3
laselva,20/7/2017,elaphoglossum_amygdalifolium,1,0.4
laselva,20/7/2017,elaphoglossum_amygdalifolium,2,0.3
laselva,20/7/2017,elaphoglossum_amygdalifolium,3,0.3
laselva,20/7/2017,elaphoglossum_amygdalifolium,4,0.5
laselva,20/7/2017,elaphoglossum_amygdalifolium,5,0.3
laselva,20/7/2017,elaphoglossum_amygdalifolium,6,0.4
laselva,19/7/2017,elaphoglossum_herminieri,1,0.35
laselva,19/7/2017,elaphoglossum_herminieri,2,0.25
laselva,19/7/2017,elaphoglossum_herminieri,3,0.5
laselva,19/7/2017,elaphoglossum_herminieri,4,0.3
laselva,19/7/2017,elaphoglossum_herminieri,5,0.4
laselva,19/7/2017,elaphoglossum_herminieri,6,1.3
laselva,18/7/2017,elaphoglossum_latifolia,1,0.8
laselva,18/7/2017,elaphoglossum_latifolia,2,0.6
laselva,18/7/2017,elaphoglossum_latifolia,3,0.55
laselva,18/7/2017,elaphoglossum_latifolia,4,1.5
laselva,18/7/2017,elaphoglossum_latifolia,5,0.3
laselva,18/7/2017,elaphoglossum_latifolia,6,1.2
laselva,10/7/2017,lomariopsis_japurensis,1,0.5
laselva,10/7/2017,lomariopsis_japurensis,2,0.3
laselva,10/7/2017,lomariopsis_japurensis,3,0.35
laselva,10/7/2017,lomariopsis_japurensis,4,0.55
laselva,10/7/2017,lomariopsis_japurensis,5,0.2
laselva,10/7/2017,lomariopsis_japurensis,6,0.35
laselva,10/7/2017,mickelia_nicotianifolia,1,0.5
laselva,10/7/2017,mickelia_nicotianifolia,2,0.38
laselva,10/7/2017,mickelia_nicotianifolia,3,0.45
laselva,10/7/2017,mickelia_nicotianifolia,4,0.45
laselva,10/7/2017,mickelia_nicotianifolia,5,0.4
laselva,10/7/2017,mickelia_nicotianifolia,6,0.36
laselva,20/7/2017,nephrolepis biserrata,1,0.75
laselva,20/7/2017,nephrolepis biserrata,2,0.67
laselva,20/7/2017,nephrolepis biserrata,3,0.62
laselva,20/7/2017,nephrolepis biserrata,4,0.62
laselva,20/7/2017,nephrolepis biserrata,5,0.7
laselva,20/7/2017,nephrolepis biserrata,6,0.91
laselva,20/7/2017,nephrolepis_rivularis,1,0.59
laselva,20/7/2017,nephrolepis_rivularis,2,0.65
laselva,20/7/2017,nephrolepis_rivularis,3,0.71
laselva,20/7/2017,nephrolepis_rivularis,4,0.56
laselva,20/7/2017,nephrolepis_rivularis,5,0.58
laselva,20/7/2017,nephrolepis_rivularis,6,0.82
laselva,19/7/2017,oleandra_articulata,1,0.8
laselva,19/7/2017,oleandra_articulata,2,0.9
laselva,19/7/2017,oleandra_articulata,3,0.9
laselva,19/7/2017,oleandra_articulata,4,0.5
laselva,19/7/2017,oleandra_articulata,5,0.7
laselva,19/7/2017,oleandra_articulata,6,0.7
laselva,18/7/2017,pecluma_pectinata,1,1.09
laselva,18/7/2017,pecluma_pectinata,2,0.6
