site,genusspecies,plant_no,subsample,area_mm2,vein_length_mm,vein_density_mm_mm2
las_cruces,aspuni,1,a,15.609,14.92,0.955858799
las_cruces,aspuni,1,b,18.658,19.086,1.022939222
las_cruces,aspuni,1,c,12.707,14.558,1.145667742
las_cruces,aspuni,2,a,14.623,17.058,1.166518498
las_cruces,aspuni,2,c,6.072,6.901,1.136528327
las_cruces,aspuni,3,a,8.678,6.599,0.76042867
las_cruces,aspuni,3,b,5.073,4.942,0.974177016
las_cruces,aspuni,4,a,9.47,12.031,1.270432946
las_cruces,aspuni,4,b,8.13,12.024,1.47896679
las_cruces,aspuni,4,c,11.338,14.106,1.244134768
las_cruces,aspuni,5,a,15.621,16.493,1.055822291
las_cruces,aspuni,5,b,8.722,9.39,1.076587939
las_cruces,aspuni,5,c,4.896,4.917,1.004289216
las_cruces,aspuni,6,a,11.482,14.734,1.283225919
las_cruces,aspuni,6,b,14.975,18.344,1.224974958
las_cruces,aspuni,6,c,13.101,15.432,1.177925349
las_cruces,blesch,1,a,12.763,22.795,1.786022095
las_cruces,blesch,1,b,12.902,26.59,2.060920787
las_cruces,blesch,1,c,12.161,27.817,2.287394129
las_cruces,blesch,2,a,12.321,23.928,1.942050158
las_cruces,blesch,2,b,12.621,23.221,1.839870058
las_cruces,blesch,2,c,12.411,20.676,1.665941504
las_cruces,blesch,3,a,12.216,25.512,2.088408644
las_cruces,blesch,3,b,12.367,25.784,2.084903372
las_cruces,blesch,3,c,12.871,25.132,1.952606635
las_cruces,blesch,4,a,12.926,25.741,1.991412657
las_cruces,blesch,4,b,12.185,22.665,1.860073861
las_cruces,blesch,4,c,12.594,23.831,1.892250278
las_cruces,blesch,5,a,12.485,27.825,2.228674409
las_cruces,blesch,5,b,12.484,26.321,2.108378725
las_cruces,blesch,5,c,12.386,26.514,2.140642661
las_cruces,blesch,6,a,12.899,21.428,1.661214048
las_cruces,blesch,6,b,12.513,22.169,1.771677455
las_cruces,blesch,6,c,12.649,24.967,1.973831923
las_cruces,dipati,1,a,12.957,7.561,0.583545574
las_cruces,dipati,1,b,12.436,6.658,0.535381151
las_cruces,dipati,1,c,11.548,6.423,0.556200208
las_cruces,dipati,2,a,14.558,7.493,0.514699821
las_cruces,dipati,2,b,12.772,7.101,0.555981835
las_cruces,dipati,2,c,12.262,6.785,0.553335508
las_cruces,dipati,3,a,11.748,8.121,0.691266599
las_cruces,dipati,3,b,10.947,8.017,0.732346762
las_cruces,dipati,3,c,12.207,8.821,0.72261817
las_cruces,dipati,4,a,12.687,9.374,0.738866556
las_cruces,dipati,4,b,11.911,9.014,0.756779448
las_cruces,dipati,4,c,11.617,9.434,0.812085736
las_cruces,dipati,5,a,12.521,9.605,0.767111253
las_cruces,dipati,5,b,12.204,10.8,0.884955752
las_cruces,dipati,5,c,12.688,7.037,0.554618537
las_cruces,dipati,6,a,13.205,10.535,0.797803862
las_cruces,dipati,6,b,12.512,11.782,0.94165601
las_cruces,dipati,6,c,12.451,10.577,0.849490001
las_cruces,drypat,1,a,12.915,27.656,2.141385985
las_cruces,drypat,1,b,14.772,16.514,1.117925806
las_cruces,drypat,1,c,12.854,15.401,1.198148436
las_cruces,drypat,2,a,28.235,40.64,1.439348327
las_cruces,drypat,2,b,33.639,85.55,2.543179048
las_cruces,drypat,2,c,41.376,53.148,1.284512761
las_cruces,drypat,3,a,27.494,35.34,1.285371354
las_cruces,drypat,3,b,24.3,28.66,1.179423868
las_cruces,drypat,3,c,37.316,47.392,1.270018223
las_cruces,drypat,4,a,54.752,72.293,1.320371859
