site,species,plant_no,sample_mg,n_perc,d15N,c_perc,d13C
las_cruces,asplenium_uniseriale,1,3.129,3.99,-2.29,46.69,-34.03
las_cruces,asplenium_uniseriale,2,3.169,3.76,-2.01,47.43,-31.5
las_cruces,asplenium_uniseriale,3,3.165,3.52,-1.97,47.52,-35.04
las_cruces,asplenium_uniseriale,4,3.05,2.94,0.1,47.47,-32.64
las_cruces,asplenium_uniseriale,5,3.295,4.24,-2.16,48.84,-32.69
las_cruces,asplenium_uniseriale,6,3.219,3.22,-0.93,47.45,-35.08
las_cruces,parablechnum_schiedeanum,1,3.23,1.37,-3.74,45.22,-29.52
las_cruces,parablechnum_schiedeanum,2,3.197,1.46,-3.15,44.32,-28.57
las_cruces,parablechnum_schiedeanum,3,3.307,1.45,-4.2,46.19,-29.01
las_cruces,parablechnum_schiedeanum,4,3.223,1.44,-4.53,46.99,-27.49
las_cruces,parablechnum_schiedeanum,5,3.253,1.11,-4.07,44.27,-28.71
las_cruces,parablechnum_schiedeanum,6,3.112,1.21,-3.81,44.17,-27.57
las_cruces,diplazium_atirrense,1,3.209,3.34,0.24,45.64,-33.96
las_cruces,diplazium_atirrense,2,1.459,3.88,-1.03,40.43,-36
las_cruces,diplazium_atirrense,3,2.949,3.29,0.19,43,-36.13
las_cruces,diplazium_atirrense,4,2.975,3.21,0.3,40.25,-35.65
las_cruces,diplazium_atirrense,5,2.943,3.79,-2.51,40.88,-36.57
las_cruces,diplazium_atirrense,6,2.912,2.83,-1.04,41.39,-35.77
las_cruces,diplazium_prominulum,1,3.22,3.37,1,43.42,-36.07
las_cruces,diplazium_prominulum,2,3.141,4.13,-0.26,42.75,-36.05
las_cruces,diplazium_prominulum,3,3.121,3.9,-1.59,41.55,-35.89
las_cruces,diplazium_prominulum,4,2.957,3.58,0.6,42.18,-37.69
las_cruces,diplazium_prominulum,5,3.012,4.09,1.01,42.69,-36.85
las_cruces,diplazium_prominulum,6,3.105,3.77,1.72,42.44,-36.58
las_cruces,dryopteris_patula,1,3.149,1.96,1.56,48.47,-33.54
las_cruces,dryopteris_patula,2,3.211,1.1,-1.08,46.95,-32.71
las_cruces,dryopteris_patula,3,3.12,1.53,0.55,49.62,-33.2
las_cruces,dryopteris_patula,4,2.968,1.58,-1.65,47.97,-32.77
las_cruces,dryopteris_patula,5,3.543,2.16,-4.13,48.42,-34.57
las_cruces,dryopteris_patula,6,3.217,1.99,-2.22,47.7,-32.89
las_cruces,elaphoglossum_decursivum,1,3.289,1.7,-4.64,44.03,-32.75
las_cruces,elaphoglossum_decursivum,2,3.326,2.32,-1.43,50.93,-35
las_cruces,elaphoglossum_decursivum,3,3.113,1.28,-3.69,48.15,-31.87
las_cruces,elaphoglossum_decursivum,4,3.151,0.72,-6.14,47.99,-32.87
las_cruces,elaphoglossum_decursivum,5,3.113,2.31,-4.96,46.21,-33.97
las_cruces,elaphoglossum_decursivum,6,3.154,1.9,-3.45,46.84,-34.44
las_cruces,lomariopsis_maxonii,1,3.139,3.78,0.55,48.05,-33.93
las_cruces,lomariopsis_maxonii,2,3.233,4.24,0.85,48.72,-33.93
las_cruces,lomariopsis_maxonii,3,2.971,3.62,0.64,46.82,-33.81
las_cruces,lomariopsis_maxonii,4,3.012,3.53,1.12,49.19,-33.36
las_cruces,lomariopsis_maxonii,5,2.987,4.25,0.73,48.92,-32.54
las_cruces,lomariopsis_maxonii,6,3.49,3.98,1.43,42,-34.12
las_cruces,nephrolepis_brownii,1,3.055,4.2,0.7,46.76,-32.93
las_cruces,nephrolepis_brownii,2,3.08,4.91,0.22,47.09,-32.81
las_cruces,nephrolepis_brownii,3,3.297,4.02,-0.88,48.23,-32.05
las_cruces,nephrolepis_brownii,4,3.342,4.71,-0.05,47.66,-32.85
las_cruces,nephrolepis_brownii,5,3.069,3.92,0.26,47.3,-34.04
las_cruces,nephrolepis_brownii,6,3.017,3.88,0.87,47.02,-33.36
las_cruces,niphidium_crassifolium,1,2.999,1.92,-1.5,44.6,-32.91
las_cruces,niphidium_crassifolium,2,2.915,1.88,-2.01,43.17,-33.07
las_cruces,niphidium_crassifolium,3,3.251,1.41,1.73,47.67,-28.21
las_cruces,niphidium_crassifolium,4,2.924,2.59,-0.82,47.12,-29.7
las_cruces,niphidium_crassifolium,5,3.167,1.37,-2.01,44.84,-31.19
las_cruces,niphidium_crassifolium,6,3.154,3.49,1.97,46.78,-27.99
las_cruces,oleandra_costaricensis,1,3.06,1.25,-3.18,50.2,-30.36
las_cruces,oleandra_costaricensis,2,3.231,0.8,-3.32,50.61,-30.01
las_cruces,oleandra_costaricensis,3,2.944,1.09,-1.16,49.35,-28.65
las_cruces,oleandra_costaricensis,4,3.163,1.16,-2.08,49.49,-30.44
las_cruces,oleandra_costaricensis,5,3.062,0.81,-2.95,50.26,-30.63
las_cruces,oleandra_costaricensis,6,3.021,0.8,-2.71,50.39,-30.78
las_cruces,olfersia_cervina,1,3.215,2.09,-0.12,52.58,-31.9
las_cruces,olfersia_cervina,2,3.02,1.55,-1.78,51.96,-33.16
las_cruces,olfersia_cervina,3,3.315,1.9,-0.14,53.46,-31.39
las_cruces,olfersia_cervina,4,3,1.81,-0.53,50.76,-33.2
