year,species,plant_no,xylem_area_um2,lamina_area_cm2
2018,niphidium_crassifolium,3,32760.803,190.1
2018,niphidium_crassifolium,4,103172.792,342.51
2018,niphidium_crassifolium,5,99674.557,405.23
2018,niphidium_crassifolium,6,173200.15,1129.83
2017,oleandra_articulata,1,28950,108
2017,oleandra_articulata,2,25473,128
2017,oleandra_articulata,3,30763,117
2017,oleandra_articulata,4,26374,87
2017,oleandra_articulata,5,11955,69
2017,oleandra_articulata,6,9390,65
2018,oleandra_costaricensis,2,185652.602,35.28
2018,oleandra_costaricensis,3,196472.409,27.36
2018,oleandra_costaricensis,4,264747.622,31.31
2018,oleandra_costaricensis,6,93798.864,38.5
2018,oleandra_costaricensis,7,139010.784,40.44
2018,oleandra_costaricensis,8,131349.959,23.37
2018,olfersia_cervina,2,823340.482,1725.7
2018,olfersia_cervina,3,628001.888,1834.45
2018,olfersia_cervina,4,408442.094,1032.76
2018,olfersia_cervina,5,896497.579,1477.15
2018,olfersia_cervina,6,704968.516,1404.63
2018,olfersia_cervina,7,547602.018,1376.31
2018,parapolystichum_excultum,1,358159.043,722.9
2018,parapolystichum_excultum,2,294913.845,1342.08
2018,parapolystichum_excultum,4,216187.231,1132.04
2018,parapolystichum_excultum,6,115342.23,524.28
2018,parapolystichum_excultum,7,85572.235,402.58
2018,parapolystichum_excultum,8,76652.659,256.27
2019,phlebodium_aureum,1,144239.28,995.77
2019,phlebodium_aureum,2,142750.75,403.8
2019,phlebodium_aureum,3,220483.021,133.1
2019,phlebodium_aureum,4,240840.846,282.9
2019,phlebodium_aureum,5,236761.321,1174.2
2019,phlebodium_aureum,6,125731.458,1106.6
2017,pleopeltis_bradeorum,1,16045,99.4
2017,pleopeltis_bradeorum,2,37211,146
2017,pleopeltis_bradeorum,3,17111,109
2017,pleopeltis_bradeorum,4,18778,141
2017,pleopeltis_bradeorum,5,16266,137
2017,pleopeltis_bradeorum,6,11954,61
2019,polybotrya_osmundacea,1,222102.608,1519.7
2019,polybotrya_osmundacea,2,156353.584,1314.8
2019,polybotrya_osmundacea,3,308399.947,1075.7
2019,polybotrya_osmundacea,4,114951.064,1292.2
2019,polybotrya_osmundacea,5,147726.398,1002.6
2019,polybotrya_osmundacea,6,134470.168,1073.3
2017,salpichlaena_volubilis,1,224482.395,468
2017,salpichlaena_volubilis,2,270082.527,576
2017,salpichlaena_volubilis,3,295716.262,370
2017,salpichlaena_volubilis,4,204644.752,460
2017,salpichlaena_volubilis,5,396191.791,429
2017,salpichlaena_volubilis,6,320710.762,408
2018,serpocaulon_fraxinifolium,1,106433.258,697.63
2018,serpocaulon_fraxinifolium,2,109347.611,420.12
2018,serpocaulon_fraxinifolium,3,119499.466,377.16
2018,serpocaulon_fraxinifolium,6,154898.855,296.83
2018,serpocaulon_fraxinifolium,9,100744.563,320.96
2018,serpocaulon_fraxinifolium,10,169679.535,394.84
2019,tectaria_incisa,1,311418.821,571.2
2019,tectaria_incisa,2,219717.175,763.4
2019,tectaria_incisa,3,214298.323,876.2
2019,tectaria_incisa,4,312938.359,681.5
2019,tectaria_incisa,5,216272.506,910
2019,tectaria_incisa,6,237924.359,400.2
2017,thelypteris_curtii,1,397541.889,757.2
2017,thelypteris_curtii,2,373579.668,564.9
2017,thelypteris_curtii,3,353764.383,357.1
2017,thelypteris_curtii,4,301397.382,701.8
2017,thelypteris_curtii,5,159942.799,391.5
2017,thelypteris_curtii,6,284186.603,391.3
2017,thelypteris_dentata,1,370014.494,514.5
2017,thelypteris_dentata,2,491436.909,399
2017,thelypteris_dentata,3,467076.199,640.8
2017,thelypteris_dentata,4,305742.292,381.7
2017,thelypteris_dentata,6,311707.257,405.2
2017,thelypteris_nicaraguensis,1,293698.564,1
2017,thelypteris_nicaraguensis,2,530291.779,2
2017,thelypteris_nicaraguensis,3,654374.037,3
2017,thelypteris_nicaraguensis,5,696313.95,5
2017,thelypteris_nicaraguensis,6,353989.268,6
