site,species,plant_no,disk,region,stomata_no,fov_mm2,mag
las_cruces,serpocaulon_fraxinifolium,1,1,1,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,1,E1,14,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,1,3,9,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,2,1,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,2,2,13,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,2,3,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,3,1,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,3,2,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,1,3,3,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,1,1,15,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,1,2,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,1,3,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,2,1,7,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,2,2,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,2,3,6,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,3,1,8,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,3,2,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,2,3,3,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,1,1,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,1,2,13,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,1,3,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,2,1,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,2,2,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,2,3,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,3,1,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,3,2,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,3,3,3,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,1,1,16,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,1,2,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,1,3,14,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,2,1,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,2,2,13,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,2,3,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,3,1,18,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,3,2,16,0.159,40
las_cruces,serpocaulon_fraxinifolium,4,3,3,13,0.159,40
