species,id,salt,filter_mass,temp,drydown_no,total_mass,time,date
lomves,17,kno3,0.1113,25.3,3,0.1195,14:45,7/6/2017
lomves,18,nacl,0.111,25.3,3,0.1149,14:45,7/6/2017
lomves,19,kno3,0.1132,25.3,3,0.1201,14:45,7/6/2017
lomves,20,kno3,0.1126,25.3,3,0.124,14:45,7/6/2017
lomves,1,kno3,0.064,25.3,4,0.0686,19:30,7/6/2017
lomves,2,nacl,0.0603,25.3,4,0.063,19:30,7/6/2017
lomves,3,c,0.0582,25.3,4,0.0804,19:30,7/6/2017
lomves,4,kno3,0.0572,25.3,4,0.0621,19:30,7/6/2017
lomves,5,mgso4,0.062,25.3,4,0.0696,19:30,7/6/2017
lomves,6,nacl,0.0678,25.3,4,0.0702,19:30,7/6/2017
lomves,7,mgso4,0.0755,25.3,4,0.0807,19:30,7/6/2017
lomves,8,nacl,0.0787,25.3,4,0.0828,19:30,7/6/2017
lomves,9,mgso4,0.0714,25.3,4,0.0772,19:30,7/6/2017
lomves,10,c,0.0776,25.3,4,0.1045,19:30,7/6/2017
lomves,11,mgso4,0.079,25.3,4,0.0827,19:30,7/6/2017
lomves,12,c,0.0846,25.3,4,0.1062,19:30,7/6/2017
lomves,13,mgso4,0.0839,25.3,4,0.0886,19:30,7/6/2017
lomves,14,c,0.084,25.3,4,0.1095,19:30,7/6/2017
lomves,15,nacl,0.0819,25.3,4,0.0839,19:30,7/6/2017
lomves,16,c,0.1093,25.3,4,0.1529,19:30,7/6/2017
lomves,17,kno3,0.1113,25.3,4,0.1243,19:30,7/6/2017
lomves,18,nacl,0.111,25.3,4,0.1145,19:30,7/6/2017
lomves,19,kno3,0.1132,25.3,4,0.118,19:30,7/6/2017
lomves,20,kno3,0.1126,25.3,4,0.1232,19:30,7/6/2017
lomves,1,kno3,0.064,25.3,5,0.069,7:30,7/7/2017
lomves,2,nacl,0.0603,25.3,5,0.0627,7:30,7/7/2017
lomves,3,c,0.0582,25.3,5,0.0837,7:30,7/7/2017
lomves,4,kno3,0.0572,25.3,5,0.0624,7:30,7/7/2017
lomves,5,mgso4,0.062,25.3,5,0.0697,7:30,7/7/2017
lomves,6,nacl,0.0678,25.3,5,0.0699,7:30,7/7/2017
lomves,7,mgso4,0.0755,25.3,5,0.0801,7:30,7/7/2017
lomves,8,nacl,0.0787,25.3,5,0.0816,7:30,7/7/2017
lomves,9,mgso4,0.0714,25.3,5,0.0762,7:30,7/7/2017
lomves,10,c,0.0776,25.3,5,0.1041,7:30,7/7/2017
lomves,11,mgso4,0.079,25.3,5,0.0837,7:30,7/7/2017
lomves,12,c,0.0846,25.3,5,0.1091,7:30,7/7/2017
lomves,13,mgso4,0.0839,25.3,5,0.0886,7:30,7/7/2017
lomves,14,c,0.084,25.3,5,0.1117,7:30,7/7/2017
lomves,15,nacl,0.0819,25.3,5,0.0835,7:30,7/7/2017
lomves,16,c,0.1093,25.3,5,0.1542,7:30,7/7/2017
lomves,17,kno3,0.1113,25.3,5,0.1216,7:30,7/7/2017
lomves,18,nacl,0.111,25.3,5,0.1151,7:30,7/7/2017
lomves,19,kno3,0.1132,25.3,5,0.1198,7:30,7/7/2017
lomves,20,kno3,0.1126,25.3,5,0.1256,7:30,7/7/2017
camp,21,nacl,0.049,25.3,0,0.053,11:16,7/6/2017
camp,22,nacl,0.045,25.3,0,0.0621,11:16,7/6/2017
camp,23,mgso4,0.0464,25.3,0,0.0616,11:16,7/6/2017
camp,24,c,0.0437,25.3,0,0.0488,11:16,7/6/2017
camp,25,c,0.0473,25.3,0,0.054,11:16,7/6/2017
camp,26,kno3,0.0438,25.3,0,0.0486,11:16,7/6/2017
camp,27,nacl,0.0402,25.3,0,0.044,11:16,7/6/2017
camp,28,c,0.0406,25.3,0,0.0434,11:16,7/6/2017
camp,29,kno3,0.0424,25.3,0,0.0432,11:16,7/6/2017
camp,30,c,0.0396,25.3,0,0.0428,11:16,7/6/2017
camp,31,c,0.0476,25.3,0,0.0566,11:16,7/6/2017
camp,32,kno3,0.044,25.3,0,0.0656,11:16,7/6/2017
camp,33,mgso4,0.0535,25.3,0,0.0589,11:16,7/6/2017
camp,34,nacl,0.0476,25.3,0,0.0495,11:16,7/6/2017
camp,35,mgso4,0.0483,25.3,0,0.0518,11:16,7/6/2017
camp,36,mgso4,0.0472,25.3,0,0.06,11:16,7/6/2017
camp,37,kno3,0.0311,25.3,0,0.0394,11:16,7/6/2017
camp,38,kno3,0.0387,25.3,0,0.0429,11:16,7/6/2017
camp,39,nacl,0.0387,25.3,0,0.0412,11:16,7/6/2017
camp,40,mgso4,0.0335,25.3,0,0.0384,11:16,7/6/2017
camp,21,nacl,0.049,25.3,1,0.0496,14:35,7/6/2017
camp,22,nacl,0.045,25.3,1,0.0476,14:35,7/6/2017
camp,23,mgso4,0.0464,25.3,1,0.0513,14:35,7/6/2017
camp,24,c,0.0437,25.3,1,0.0509,14:35,7/6/2017
camp,25,c,0.0473,25.3,1,0.055,14:35,7/6/2017
camp,26,kno3,0.0438,25.3,1,0.0464,14:35,7/6/2017
camp,27,nacl,0.0402,25.3,1,0.0405,14:35,7/6/2017
camp,28,c,0.0406,25.3,1,0.045,14:35,7/6/2017
camp,29,kno3,0.0424,25.3,1,0.0439,14:35,7/6/2017
camp,30,c,0.0396,25.3,1,0.0443,14:35,7/6/2017
camp,31,c,0.0476,25.3,1,0.0557,14:35,7/6/2017
camp,32,kno3,0.044,25.3,1,0.0519,14:35,7/6/2017
camp,33,mgso4,0.0535,25.3,1,0.0547,14:35,7/6/2017
camp,34,nacl,0.0476,25.3,1,0.0475,14:35,7/6/2017
camp,35,mgso4,0.0483,25.3,1,0.0505,14:35,7/6/2017
camp,36,mgso4,0.0472,25.3,1,0.0521,14:35,7/6/2017
camp,37,kno3,0.0311,25.3,1,0.0341,14:35,7/6/2017
camp,38,kno3,0.0387,25.3,1,0.0402,14:35,7/6/2017
camp,39,nacl,0.0387,25.3,1,0.0387,14:35,7/6/2017
camp,40,mgso4,0.0335,25.3,1,0.0351,14:35,7/6/2017
camp,21,nacl,0.049,25.3,2,0.0497,19:30,7/6/2017
camp,22,nacl,0.045,25.3,2,0.048,19:30,7/6/2017
camp,23,mgso4,0.0464,25.3,2,0.0508,19:30,7/6/2017
