site,species,plant_no,disk,region,sto1,sto2,sto3,fov_mm2
la_selva,cyclopeltis_semicordata,8,1,3,8,9,8,0.166
la_selva,cyclopeltis_semicordata,8,2,1,8,8,11,0.166
la_selva,cyclopeltis_semicordata,8,2,2,8,9,9,0.166
la_selva,cyclopeltis_semicordata,8,2,3,8,11,9,0.166
la_selva,cyclopeltis_semicordata,8,3,1,9,9,10,0.166
la_selva,cyclopeltis_semicordata,8,3,2,8,9,9,0.166
la_selva,cyclopeltis_semicordata,8,3,3,11,8,9,0.166
la_selva,cyclopeltis_semicordata,2,1,1,3,4,7,0.166
la_selva,cyclopeltis_semicordata,2,1,2,8,10,10,0.166
la_selva,cyclopeltis_semicordata,2,1,3,7,10,8,0.166
la_selva,cyclopeltis_semicordata,2,2,1,6,7,6,0.166
la_selva,cyclopeltis_semicordata,2,2,2,8,7,8,0.166
la_selva,cyclopeltis_semicordata,2,2,3,6,7,8,0.166
la_selva,cyclopeltis_semicordata,2,3,1,11,7,8,0.166
la_selva,cyclopeltis_semicordata,2,3,2,9,9,8,0.166
la_selva,cyclopeltis_semicordata,2,3,3,9,7,8,0.166
la_selva,cyclopeltis_semicordata,3,1,1,6,10,10,0.166
la_selva,cyclopeltis_semicordata,3,1,2,10,7,6,0.166
la_selva,cyclopeltis_semicordata,3,1,3,10,6,7,0.166
la_selva,cyclopeltis_semicordata,3,2,1,9,7,8,0.166
la_selva,cyclopeltis_semicordata,3,2,2,9,8,9,0.166
la_selva,cyclopeltis_semicordata,3,2,3,9,7,8,0.166
la_selva,cyclopeltis_semicordata,3,3,1,8,8,10,0.166
la_selva,cyclopeltis_semicordata,3,3,2,8,8,7,0.166
la_selva,cyclopeltis_semicordata,3,3,3,7,8,10,0.166
la_selva,cyclopeltis_semicordata,4,1,1,7,6,7,0.166
la_selva,cyclopeltis_semicordata,4,1,2,7,5,8,0.166
la_selva,cyclopeltis_semicordata,4,1,3,11,7,9,0.166
la_selva,cyclopeltis_semicordata,4,2,1,7,8,8,0.166
la_selva,cyclopeltis_semicordata,4,2,2,8,9,8,0.166
la_selva,cyclopeltis_semicordata,4,2,3,8,9,9,0.166
la_selva,cyclopeltis_semicordata,4,3,1,6,8,7,0.166
la_selva,cyclopeltis_semicordata,4,2,2,8,7,8,0.166
la_selva,cyclopeltis_semicordata,4,2,3,6,8,8,0.166
la_selva,cyclopeltis_semicordata,7,1,1,8,7,9,0.166
la_selva,cyclopeltis_semicordata,7,1,2,7,8,8,0.166
la_selva,cyclopeltis_semicordata,7,1,3,8,9,11,0.166
la_selva,cyclopeltis_semicordata,7,2,1,7,9,12,0.166
la_selva,cyclopeltis_semicordata,7,2,2,9,11,9,0.166
la_selva,cyclopeltis_semicordata,7,2,3,8,11,9,0.166
la_selva,cyclopeltis_semicordata,7,3,1,8,11,9,0.166
la_selva,cyclopeltis_semicordata,7,3,2,9,9,10,0.166
la_selva,cyclopeltis_semicordata,7,3,3,8,10,9,0.166
la_selva,cyclopeltis_semicordata,6,1,1,9,9,10,0.166
la_selva,cyclopeltis_semicordata,6,1,2,8,10,9,0.166
la_selva,cyclopeltis_semicordata,6,1,3,10,9,8,0.166
la_selva,cyclopeltis_semicordata,6,2,1,8,8,9,0.166
la_selva,cyclopeltis_semicordata,6,2,2,8,10,9,0.166
la_selva,cyclopeltis_semicordata,6,2,3,8,8,9,0.166
la_selva,cyclopeltis_semicordata,6,3,1,8,13,8,0.166
la_selva,cyclopeltis_semicordata,6,3,2,9,7,9,0.166
la_selva,cyclopeltis_semicordata,6,3,3,8,7,9,0.166
la_selva,diplazium_striatastrum,1,1,1,19,18,20,0.16
la_selva,diplazium_striatastrum,1,1,2,16,17,20,0.16
la_selva,diplazium_striatastrum,1,1,3,18,17,17,0.16
la_selva,diplazium_striatastrum,1,2,1,12,15,17,0.16
la_selva,diplazium_striatastrum,1,2,2,16,18,14,0.16
la_selva,diplazium_striatastrum,1,2,3,18,16,17,0.16
la_selva,diplazium_striatastrum,1,3,1,22,22,20,0.16
la_selva,diplazium_striatastrum,1,3,2,20,20,19,0.16
la_selva,diplazium_striatastrum,1,3,3,18,19,18,0.16
la_selva,diplazium_striatastrum,2,1,1,16,20,16,0.16
la_selva,diplazium_striatastrum,2,1,2,13,16,17,0.16
la_selva,diplazium_striatastrum,2,1,3,13,14,16,0.16
la_selva,diplazium_striatastrum,2,2,1,16,20,18,0.16
la_selva,diplazium_striatastrum,2,2,2,12,15,16,0.16
la_selva,diplazium_striatastrum,2,2,3,19,19,16,0.16
la_selva,diplazium_striatastrum,2,3,1,16,19,18,0.16
la_selva,diplazium_striatastrum,2,3,2,18,18,18,0.16
la_selva,diplazium_striatastrum,2,3,3,20,22,21,0.16
la_selva,diplazium_striatastrum,3,1,1,18,16,17,0.16
la_selva,diplazium_striatastrum,3,1,2,14,17,16,0.16
la_selva,diplazium_striatastrum,3,1,3,16,17,16,0.16
la_selva,diplazium_striatastrum,3,2,1,17,14,18,0.16
la_selva,diplazium_striatastrum,3,2,2,18,19,17,0.16
la_selva,diplazium_striatastrum,3,2,3,19,19,18,0.16
la_selva,diplazium_striatastrum,3,3,1,18,15,17,0.16
la_selva,diplazium_striatastrum,3,3,2,19,20,16,0.16
la_selva,diplazium_striatastrum,3,3,3,18,18,17,0.16
la_selva,diplazium_striatastrum,4,1,1,20,20,20,0.16
la_selva,diplazium_striatastrum,4,1,2,18,17,19,0.16
la_selva,diplazium_striatastrum,4,1,3,18,16,19,0.16
la_selva,diplazium_striatastrum,4,2,1,12,19,20,0.16
la_selva,diplazium_striatastrum,4,2,2,18,19,16,0.16
la_selva,diplazium_striatastrum,4,2,3,18,18,17,0.16
la_selva,diplazium_striatastrum,4,3,1,20,16,20,0.16
la_selva,diplazium_striatastrum,4,2,2,19,19,20,0.16
la_selva,diplazium_striatastrum,4,2,3,18,18,19,0.16
la_selva,diplazium_striatastrum,5,1,1,12,15,19,0.16
la_selva,diplazium_striatastrum,5,1,2,19,14,19,0.16
la_selva,diplazium_striatastrum,5,1,3,18,17,18,0.16
la_selva,diplazium_striatastrum,5,2,1,16,16,15,0.16
la_selva,diplazium_striatastrum,5,2,2,15,18,16,0.16
la_selva,diplazium_striatastrum,5,2,3,16,18,17,0.16
la_selva,diplazium_striatastrum,5,3,1,18,16,15,0.16
la_selva,diplazium_striatastrum,5,2,2,15,12,18,0.16
la_selva,diplazium_striatastrum,5,2,3,18,19,16,0.16
la_selva,diplazium_striatastrum,6,1,1,19,14,18,0.16
la_selva,diplazium_striatastrum,6,1,2,17,17,14,0.16
la_selva,diplazium_striatastrum,6,1,3,16,19,18,0.16
la_selva,diplazium_striatastrum,6,2,1,20,22,19,0.16
la_selva,diplazium_striatastrum,6,2,2,20,21,18,0.16
la_selva,diplazium_striatastrum,6,2,3,17,22,18,0.16
la_selva,diplazium_striatastrum,6,3,1,14,12,16,0.16
la_selva,diplazium_striatastrum,6,2,2,16,18,12,0.16
la_selva,diplazium_striatastrum,6,2,3,14,20,21,0.16
la_selva,elaphoglossum_amygdalifolium,1,1,1,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,1,1,2,0,2,1,0.159
la_selva,elaphoglossum_amygdalifolium,1,1,3,2,0,1,0.159
la_selva,elaphoglossum_amygdalifolium,1,2,1,1,1,2,0.159
la_selva,elaphoglossum_amygdalifolium,1,2,2,2,0,2,0.159
la_selva,elaphoglossum_amygdalifolium,1,2,3,1,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,1,3,1,2,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,1,3,2,1,2,1,0.159
la_selva,elaphoglossum_amygdalifolium,1,3,3,0,0,0,0.159
la_selva,elaphoglossum_amygdalifolium,2,1,1,2,0,2,0.159
la_selva,elaphoglossum_amygdalifolium,2,1,2,1,1,3,0.159
la_selva,elaphoglossum_amygdalifolium,2,1,3,1,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,2,2,1,2,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,2,2,2,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,2,2,3,2,1,0,0.159
la_selva,elaphoglossum_amygdalifolium,2,3,1,0,0,1,0.159
la_selva,elaphoglossum_amygdalifolium,2,3,2,2,2,0,0.159
la_selva,elaphoglossum_amygdalifolium,2,3,3,1,2,3,0.159
la_selva,elaphoglossum_amygdalifolium,3,1,1,2,2,0,0.159
la_selva,elaphoglossum_amygdalifolium,3,1,2,1,1,0,0.159
la_selva,elaphoglossum_amygdalifolium,3,1,3,0,1,2,0.159
la_selva,elaphoglossum_amygdalifolium,3,2,1,3,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,3,2,2,2,1,4,0.159
la_selva,elaphoglossum_amygdalifolium,3,2,3,3,1,4,0.159
la_selva,elaphoglossum_amygdalifolium,3,3,1,3,3,3,0.159
la_selva,elaphoglossum_amygdalifolium,3,3,2,1,2,2,0.159
