site,genusspecies,individual,stom_no,guardcell_length_um,guardcell_width1_um,guardcell_width2_um
las_cruces,parexc,6c,1,0.038,0.011,0.011
las_cruces,parexc,6c,2,0.038,0.009,0.013
las_cruces,aspuni,1a,1,0.058,0.013,0.013
las_cruces,aspuni,1a,2,0.054,0.012,0.012
las_cruces,aspuni,1c,3,0.051,0.012,0.01
las_cruces,aspuni,1c,4,0.055,0.015,0.013
las_cruces,aspuni,1d,5,0.055,0.013,0.011
las_cruces,aspuni,1d,6,0.054,0.012,0.012
las_cruces,aspuni,1d,7,0.054,0.013,0.011
las_cruces,aspuni,2c,1,0.057,0.015,0.015
las_cruces,aspuni,2c,2,0.059,0.015,0.014
las_cruces,aspuni,2d,3,0.063,0.013,0.014
las_cruces,aspuni,2d,4,0.057,0.015,0.012
las_cruces,aspuni,3a,1,0.056,0.012,0.012
las_cruces,aspuni,3a,2,0.056,0.016,0.015
las_cruces,aspuni,3a,3,0.056,0.017,0.016
las_cruces,aspuni,3c,4,0.049,0.013,0.014
las_cruces,aspuni,3c,5,0.054,0.012,0.015
las_cruces,aspuni,3c,6,0.05,0.012,0.011
las_cruces,aspuni,4a,1,0.056,0.015,0.013
las_cruces,aspuni,4a,2,0.065,0.015,0.015
las_cruces,aspuni,4a,3,0.052,0.013,0.012
las_cruces,aspuni,4b,4,0.056,0.013,0.014
las_cruces,aspuni,4b,5,0.051,0.015,0.015
las_cruces,aspuni,4b,6,0.049,0.016,0.015
las_cruces,aspuni,4c,7,0.06,0.012,0.015
las_cruces,aspuni,4c,8,0.06,0.015,0.016
las_cruces,aspuni,5a,1,0.044,0.013,0.013
las_cruces,aspuni,5a,2,0.058,0.012,0.013
las_cruces,aspuni,5a,3,0.047,0.013,0.013
las_cruces,aspuni,5a,4,0.05,0.011,0.014
las_cruces,aspuni,5c,5,0.057,0.016,0.016
las_cruces,aspuni,5c,6,0.052,0.013,0.014
las_cruces,aspuni,5c,7,0.057,0.014,0.014
las_cruces,aspuni,5d,8,0.06,0.015,0.014
las_cruces,aspuni,6a,1,0.044,0.011,0.011
las_cruces,aspuni,6a,2,0.05,0.012,0.014
las_cruces,aspuni,6a,3,0.055,0.014,0.014
las_cruces,aspuni,6b,4,0.044,0.014,0.013
las_cruces,aspuni,6b,5,0.046,0.013,0.012
las_cruces,aspuni,6b,6,0.044,0.012,0.012
las_cruces,aspuni,6b,7,0.043,0.01,0.01
las_cruces,aspuni,6c,8,0.055,0.012,0.01
las_cruces,blesch,1a,1,0.066,0.012,0.013
las_cruces,blesch,1a,2,0.057,0.013,0.012
las_cruces,blesch,1a,3,0.054,0.013,0.013
las_cruces,blesch,1a,4,0.057,0.012,0.012
las_cruces,blesch,1b,5,0.046,0.015,0.016
las_cruces,blesch,1b,6,0.055,0.013,0.013
las_cruces,blesch,1b,7,0.051,0.013,0.013
las_cruces,blesch,1b,8,0.049,0.013,0.013
