genusspecies,individual,leafarea_cm2
aspuni,2,96.88
aspuni,3,152.18
aspuni,4,60.7
aspuni,5,92.51
aspuni,6,67.53
aspuni,7,65.46
dippro,1,345
dippro,2,286.5
dippro,4,226.2
dippro,5,277.6
dippro,6,329.6
dippro,7,183.5
drypat,1,902.89
drypat,2,809.92
drypat,3,526.75
drypat,4,459.44
drypat,5,451.57
drypat,6,312.13
eladec,1,221.22
eladec,2,251.78
eladec,3,193.19
eladec,4,133.82
eladec,5,233.5
eladec,6,224.52
lommax,1,568.4
lommax,2,397.19
lommax,3,507.2
lommax,4,569.43
lommax,5,509.1
lommax,6,264.1
lommax,7,360.82
nipcra,2,169.71
nipcra,3,190.1
nipcra,4,342.51
nipcra,6,1129.83
nipcra,8,
olecos,2,35.28
olecos,3,27.36
olecos,4,31.31
olecos,6,38.5
olecos,7,40.44
olecos,8,23.37
olfcer,2,1725.7
olfcer,3,1834.45
olfcer,4,1032.76
olfcer,5,1477.15
olfcer,6,1404.63
olfcer,7,1376.31
parexc,1,722.9
parexc,10,
parexc,2,1342.08
parexc,4,1132.04
parexc,6,524.28
parexc,8,
parexc,9,
serfra,1,697.63
serfra,10,394.84
serfra,11,375.26
serfra,2,420.12
serfra,3,377.16
serfra,6,296.83
serfra,9,320.96
sertri,1,701.67
sertri,2,830.37
sertri,3,1307.84
sertri,4,658.98
sertri,5,325.79
sertri,6,510.64
