year,species,individual,xylem_area_um2
2018,olfersia_cervina,7,547602.018
2018,parapolystichum_excultum,1,358159.043
2018,parapolystichum_excultum,2,294913.845
2018,parapolystichum_excultum,4,216187.231
2018,parapolystichum_excultum,6,115342.23
2018,parapolystichum_excultum,7,85572.235
2018,parapolystichum_excultum,8,76652.659
2019,phlebodium_aureum,1,144239.28
2019,phlebodium_aureum,2,142750.75
2019,phlebodium_aureum,3,220483.021
2019,phlebodium_aureum,4,240840.846
2019,phlebodium_aureum,5,236761.321
2019,phlebodium_aureum,6,125731.458
2017,pleopeltis_bradeorum,1,16045
2017,pleopeltis_bradeorum,2,37211
2017,pleopeltis_bradeorum,3,17111
2017,pleopeltis_bradeorum,4,18778
2017,pleopeltis_bradeorum,5,16266
2017,pleopeltis_bradeorum,6,11954
2019,polybotrya_osmundacea,1,222102.608
2019,polybotrya_osmundacea,2,156353.584
2019,polybotrya_osmundacea,3,308399.947
2019,polybotrya_osmundacea,4,114951.064
2019,polybotrya_osmundacea,5,147726.398
2019,polybotrya_osmundacea,6,134470.168
2017,salpichlaena_volubilis,1,224482.395
2017,salpichlaena_volubilis,2,270082.527
2017,salpichlaena_volubilis,3,295716.262
2017,salpichlaena_volubilis,4,204644.752
2017,salpichlaena_volubilis,20,396191.791
2017,salpichlaena_volubilis,21,320710.762
2018,serpocaulon_fraxinifolium,1,106433.258
2018,serpocaulon_fraxinifolium,2,109347.611
2018,serpocaulon_fraxinifolium,3,119499.466
2018,serpocaulon_fraxinifolium,6,154898.855
2018,serpocaulon_fraxinifolium,9,100744.563
2018,serpocaulon_fraxinifolium,10,169679.535
2019,tectaria_incisa,1,311418.821
2019,tectaria_incisa,2,219717.175
2019,tectaria_incisa,3,214298.323
2019,tectaria_incisa,4,312938.359
2019,tectaria_incisa,5,216272.506
2019,tectaria_incisa,6,237924.359
2017,thelypteris_curtii,1,397541.889
2017,thelypteris_curtii,2,373579.668
2017,thelypteris_curtii,3,353764.383
2017,thelypteris_curtii,4,301397.382
2017,thelypteris_curtii,5,159942.799
2017,thelypteris_curtii,6,284186.603
2017,thelypteris_dentata,1,370014.494
2017,thelypteris_dentata,2,491436.909
2017,thelypteris_dentata,3,467076.199
2017,thelypteris_dentata,4,305742.292
2017,thelypteris_dentata,5,311707.257
2017,thelypteris_nicaraguensis,1,293698.564
2017,thelypteris_nicaraguensis,2,530291.779
2017,thelypteris_nicaraguensis,3,654374.037
2017,thelypteris_nicaraguensis,5,696313.95
2017,thelypteris_nicaraguensis,6,353989.268
