genusspecies,individual,leafarea_cm2
cycsem,1,700.4
cycsem,2,697.6
cycsem,3,334.3
cycsem,4,787.9
cycsem,5,713.3
cycsem,6,415.3
elalat,1,276.1
elalat,2,180.2
elalat,3,200.9
elalat,4,229.8
elalat,5,319.1
elalat,6,110.7
lomjap,1,1700.2
lomjap,2,348.1
lomjap,3,811.6
lomjap,4,1058.7
lomjap,5,491.3
lomjap,6,1388.4
lomjap,7,659.6
phlaur,1,943.5
phlaur,2,1174.3
phlaur,3,944.3
phlaur,4,1569.9
phlaur,5,857.2
phlaur,6,563.7
polosm,1,1217.9
polosm,2,689.1
polosm,3,1204.5
polosm,4,439.3
polosm,5,665.3
polosm,6,495.4
tecinc,1,971.4
tecinc,2,791.8
tecinc,3,799.6
tecinc,4,943.8
tecinc,5,307.5
tecinc,6,1037.8
tecinc,7,106.4
