site,species,plant_no,dry_mass,lamina_area,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,"capacitance_zero
",capacitance_absolute
la_selva,asplenium_auritum,1,0.1558,61.5,4.705799404,-0.664769033,-0.828861744,95.89947601,15.82074795,0.051011104,0.158767539,0.337845368
la_selva,asplenium_auritum,2,0.1808,58.5,3.567617394,-0.888942637,-1.064501877,96.10476865,24.82082327,0.034251634,0.158117566,0.209811658
la_selva,asplenium_auritum,3,0.2477,25,3.68820807,-0.666772905,-0.98500885,93.34816202,8.520573057,0.078721156,0.118412504,1.598160406
la_selva,asplenium_auritum,4,0.0907,28.6,6.665355128,-0.381531406,-0.619664306,87.60268068,2.473010253,0.229209842,0.225771871,2.691691627
la_selva,asplenium_auritum,5,0.3297,55.7,3.041001822,-0.824004063,-1.114767638,92.7671078,12.55248094,0.059314191,0.128149173,0.59315274
la_selva,asplenium_auritum,6,0.2007,41.8,5.742170987,-0.433189994,-0.673166142,83.50009946,2.379173372,0.259895056,0.335099139,3.980821683
la_selva,asplenium_juglandifolia,1,0.2479,53.6,5.187608619,-0.148940727,-0.214453852,98.21088412,7.197857742,0.093646487,0.065924168,1.24823951
la_selva,asplenium_juglandifolia,2,0.1889,139.8,4.808107212,-0.893043708,-1.058981098,94.28005844,16.22603552,0.052140327,0.189295734,0.188191573
la_selva,asplenium_juglandifolia,3,0.2304,57,5.480842888,-0.575846386,-0.757230001,95.26553257,9.175390498,0.076551553,0.12895741,0.942185626
la_selva,asplenium_juglandifolia,4,0.1339,24.9,4.857236353,-0.965185733,-1.13974547,93.8830059,15.56752458,0.054161476,0.198129134,0.785938298
la_selva,asplenium_serratum,1,0.3806,248,6.966683753,-0.535328698,-0.748879842,96.33342979,15.10995062,0.048418384,0.098164815,0.287594771
la_selva,asplenium_serratum,2,0.3418,209,5.198573571,-0.777944074,-1.024223217,95.46549068,15.9302478,0.046505337,0.094877705,0.219654577
la_selva,asplenium_serratum,3,0.4543,403,4.565652824,-0.881139918,-1.19878648,92.14261124,11.74894041,0.061990424,0.144156363,0.177252627
la_selva,asplenium_serratum,4,0.4119,272,3.206842661,-0.975194656,-1.30395615,93.22442318,16.10755284,0.047901767,0.12686985,0.129234828
la_selva,asplenium_serratum,5,0.4639,358,4.120619599,-0.586185877,-0.782966382,97.92548877,27.87033067,0.026256088,0.047992386,0.077886356
la_selva,asplenium_serratum,6,0.5143,596,6.717681214,-0.670118163,-0.792481061,96.55841472,18.04468491,0.04610565,0.174234323,0.148481143
la_selva,blechnum_occidentale,1,0.4247,189.4,2.800700015,-1.080060349,-1.221002777,97.44780275,39.2338439,0.022286572,0.140344634,0.077757027
la_selva,blechnum_occidentale,2,0.389,170.6,3.159983195,-1.151058273,-1.286836909,95.12432223,24.25630618,0.036869122,0.296745437,0.147586161
la_selva,blechnum_occidentale,3,0.4693,259.9,,,,,,,,
la_selva,blechnum_occidentale,4,0.3894,191.4,2.846224637,-1.117870003,-1.3,93.05075408,15.33202114,0.055545393,0.235650805,0.178689375
la_selva,blechnum_occidentale,5,0.3351,185.8,3.341574732,-0.737160629,-0.912870764,98.27090952,40.72104492,0.019247656,0.051785654,0.064444409
la_selva,blechnum_occidentale,6,0.4905,190.7,2.583323875,-0.75002594,-1.061513151,97.29146799,29.50164507,0.023964344,0.045251164,0.088462706
la_selva,campyloneurum_brevifolium,1,0.0629,599,8.035931116,-0.48404488,-0.604518895,90.76879259,5.495028361,0.146095997,0.417243602,0.068489791
la_selva,campyloneurum_brevifolium,2,0.2532,350,2.395363766,-1.080847929,-1.365040352,94.31067467,19.73390634,0.040188906,0.139526095,0.038690186
la_selva,campyloneurum_brevifolium,3,0.4514,809,2.92490257,-0.598835672,-0.825910304,97.76558379,26.99033261,0.026427459,0.046027771,0.023961132
la_selva,campyloneurum_brevifolium,4,0.3901,827,3.076767815,-0.454704584,-0.730705487,95.26371498,7.519913536,0.079416989,0.061810983,0.064033329
la_selva,campyloneurum_brevifolium,5,0.381,329,2.85347758,-0.909844294,-1.110054229,94.27185499,15.92833242,0.051177627,0.192061022,0.093953115
la_selva,campyloneurum_brevifolium,6,0.4833,504,1.952028964,-1.04661846,-1.557061464,90.86133425,9.948226805,0.063468763,0.105398946,0.066002448
la_selva,cyclopeltis_semicordata,2,0.3975,866,3.826113182,-0.891237019,-1.26294428,86.32502293,5.068446463,0.127844984,0.217532031,0.124734975
la_selva,cyclopeltis_semicordata,3,0.3245,828,4.047549676,-0.954618919,-1.09405356,95.68839791,23.12957006,0.03778651,0.197808618,0.033299739
