site,genus,species,individual,pressure_trt,stipe_length_cm,temp,height_ph_cm,height_stipe_cm,file_name,background_init_t1,background_init_t2,flow_t1,flow_t2,background_final_t1,background_final_t2,ab_adjustments
las_cruces,serpocaulon,fraxinifolium,1,0,10,24,68.4,4,,13,73,119,199,731,791,
las_cruces,serpocaulon,fraxinifolium,1,0.5,10,24.1,67.8,4.5,,30,90,190,250,420,500,good
las_cruces,serpocaulon,fraxinifolium,1,1,10,25,67.4,4.9,,240,340,480,550,700,760,
las_cruces,serpocaulon,fraxinifolium,1,1.5,10,24.7,67.1,5.1,,200,280,360,420,600,679,
las_cruces,serpocaulon,fraxinifolium,1,2,10,23.8,66.9,5,,120,260,330,390,560,660,good
las_cruces,serpocaulon,fraxinifolium,1,2.5,10,24.4,65.9,4.8,,90,150,170,235,380,440,
las_cruces,serpocaulon,fraxinifolium,1,3,10,23.8,65.5,4.8,,70,130,160,210,350,410,*remove 211
las_cruces,serpocaulon,fraxinifolium,2,0,10,24,67.9,4.5,,100,200,260,320,610,730,good
las_cruces,serpocaulon,fraxinifolium,2,0.5,10,24.3,67.6,4.7,,166,280,340,420,650,710,
las_cruces,serpocaulon,fraxinifolium,2,1,10,25.3,67.3,4.9,,220,320,480,560,800,890,good
las_cruces,serpocaulon,fraxinifolium,2,1.5,10,24.1,66.9,5,,210,300,440,520,665,760,
las_cruces,serpocaulon,fraxinifolium,2,2,10,23.8,66.8,5.1,,310,370,450,560,740,840,
las_cruces,serpocaulon,fraxinifolium,2,2.5,10,23.5,65.1,4.6,,61,121,150,210,290,350,
las_cruces,serpocaulon,fraxinifolium,2,3,10,22.4,64.7,4.5,,120,210,240,310,400,460,good
las_cruces,serpocaulon,fraxinifolium,3,0,10,24.1,66.2,4.7,,160,220,300,360,610,710,good
las_cruces,serpocaulon,fraxinifolium,3,0.5,9.9,24.2,65.8,4.8,,91,150,180,240,440,500,good
las_cruces,serpocaulon,fraxinifolium,3,1,9.8,23.7,65.4,4.8,,200,280,300,360,430,500,good
las_cruces,serpocaulon,fraxinifolium,3,1.5,9.7,23.4,65,4.6,,80,150,170,240,300,360,good
las_cruces,serpocaulon,fraxinifolium,3,2,9.6,23.2,64.6,4.4,,70,140,190,260,350,450,good
las_cruces,serpocaulon,fraxinifolium,3,2.5,9.5,22.3,64.3,4,,42,112,123,203,354,435,good
las_cruces,serpocaulon,fraxinifolium,3,3,9.4,21.8,64.1,4.1,,190,260,310,380,440,500,
las_cruces,serpocaulon,fraxinifolium,6,0,10,24.4,66,4.7,,220,290,330,430,537,597,good
las_cruces,serpocaulon,fraxinifolium,6,0.5,9.9,24.2,65.6,4.7,,110,170,220,300,400,460,good
las_cruces,serpocaulon,fraxinifolium,6,1,9.8,23.6,65.2,4.6,,60,130,145,214,260,320,good
las_cruces,serpocaulon,fraxinifolium,6,1.5,9.7,23.3,64.8,4.7,,42,109,125,200,290,370,
las_cruces,serpocaulon,fraxinifolium,6,2,9.6,22.2,64.4,4.1,,120,200,250,330,410,490,good
las_cruces,serpocaulon,fraxinifolium,6,2.5,9.5,22.4,64.2,4.2,,60,180,260,360,460,520,good
las_cruces,serpocaulon,fraxinifolium,6,3,9.4,21.4,64.1,4.2,,50,140,180,238,320,380,
las_cruces,parapolystichum,excultum,1,0,9.9,22.1,60,4.2,,60,120,210,270,460,520,good
las_cruces,parapolystichum,excultum,1,0.5,9.8,22.4,59.7,4.1,,60,120,300,360,460,520,good
las_cruces,parapolystichum,excultum,1,1,9.7,22,59.4,4.1,,45,100,240,320,460,520,
las_cruces,parapolystichum,excultum,1,1.5,9.6,22.4,59,4.1,,100,150,220,340,490,550,good
las_cruces,parapolystichum,excultum,1,2,9.5,22.6,58.3,4.2,,80,140,200,260,550,610,good
las_cruces,parapolystichum,excultum,2,0,10,22.2,59.8,4.2,,157,217,400,460,600,660,
las_cruces,parapolystichum,excultum,2,0.5,9.9,22.2,59.5,4.2,,90,150,360,440,560,660,good
las_cruces,parapolystichum,excultum,2,1,9.8,22.4,59.1,4.2,,50,110,260,340,460,520,good
las_cruces,parapolystichum,excultum,2,1.5,9.7,22.1,58.9,4.2,,82,150,220,300,800,860,
las_cruces,parapolystichum,excultum,2,2,9.6,22.3,58.2,4.2,,100,160,200,280,360,440,good
las_cruces,parapolystichum,excultum,4,0,10,23,69.6,4.1,,130,200,390,450,660,740,good
las_cruces,parapolystichum,excultum,4,0.5,9.8,23.2,69.3,4.2,,30,100,240,300,403,470,
las_cruces,parapolystichum,excultum,4,1,9.6,24.1,68.7,4.3,,100,200,300,400,700,800,good
las_cruces,parapolystichum,excultum,4,1.5,9.4,24.1,68.5,4.2,,70,150,350,449,800,900,
las_cruces,parapolystichum,excultum,4,2,9.2,23.9,68.1,4.2,,100,160,400,480,630,690,good
las_cruces,parapolystichum,excultum,4,2.5,9,23.8,67.9,4.3,,130,200,330,385,640,700,
las_cruces,parapolystichum,excultum,6,0,10,23.1,69.5,4.2,,160,220,380,480,680,738,
las_cruces,parapolystichum,excultum,6,0.5,9.8,23.2,69.1,4.2,,60,140,340,420,600,700,good
las_cruces,parapolystichum,excultum,6,1,9.6,24.1,68.7,4.2,,40,120,170,240,380,460,
las_cruces,parapolystichum,excultum,6,1.5,9.4,24.1,68.3,4.3,,170,230,250,310,470,529,
las_cruces,parapolystichum,excultum,6,2,9.2,23.7,68,4.3,,80,140,160,220,325,385,good
las_cruces,parapolystichum,excultum,6,2.5,9,23.7,67.8,4.3,,40,100,200,260,420,480,good
las_cruces,diplazium,prominulum,1,0,10,22.3,66.6,4.3,,165,305,335,450,800,865,
las_cruces,diplazium,prominulum,1,0.5,9.8,24.1,66.3,4.2,,50,120,200,255,675,750,good
las_cruces,diplazium,prominulum,1,1,9.6,25,66,4.3,,90,150,220,275,400,460,good
las_cruces,diplazium,prominulum,1,1.5,9.4,25.2,65.8,4.3,,30,90,280,340,580,640,good
las_cruces,diplazium,prominulum,2,0,10,23.4,66.5,4.3,,90,150,490,550,850,910,good
las_cruces,diplazium,prominulum,2,0.25,9.8,24.6,66.1,4.2,,170,230,330,385,640,700,
las_cruces,diplazium,prominulum,2,0.5,9.6,24.9,65.9,4.3,,41,98,280,340,600,660,
las_cruces,diplazium,prominulum,2,0.75,9.4,25.4,65.6,4.3,,120,175,360,420,750,810,
las_cruces,diplazium,prominulum,2,1,9.2,26.1,65.4,4.2,,60,120,280,360,460,520,good
las_cruces,diplazium,prominulum,2,1.25,9,26.2,65.1,4.2,,40,100,200,260,360,420,good
las_cruces,diplazium,prominulum,2,1.5,8.8,26,64.8,4.3,,90,150,260,340,500,580,good
las_cruces,diplazium,prominulum,4,0,10,26.9,64.5,4.2,,140,220,360,428,800,900,
las_cruces,diplazium,prominulum,4,0.5,9.8,27,64.2,4.1,,40,120,220,300,400,500,good
las_cruces,diplazium,prominulum,4,1,9.6,26.9,64,4,,30,65,180,280,480,580,
las_cruces,diplazium,prominulum,4,1.5,9.4,26.2,63.7,4.1,,35,100,250,310,660,760,
las_cruces,diplazium,prominulum,5,0,10,27,64.3,4,,80,160,360,440,530,590,
las_cruces,diplazium,prominulum,5,0.5,9.8,27,64,4,,180,280,420,485,580,670,good
las_cruces,diplazium,prominulum,5,1,9.6,26.9,64,4,,80,136,180,260,440,520,good
las_cruces,diplazium,prominulum,5,1.5,9.4,25.2,63.5,4.1,,60,120,265,340,480,540,
las_cruces,diplazium,prominulum,7,0,10,24.5,63.2,4,,80,130,160,240,400,520,
las_cruces,diplazium,prominulum,7,0.5,9.8,24.5,63,4.2,,80,140,180,240,340,400,good
las_cruces,diplazium,prominulum,7,1,9.6,24,62.6,4.1,,38,75,200,260,390,450,
las_cruces,diplazium,prominulum,7,1.5,9.4,24.1,62,4.1,,100,160,200,260,390,450,good
las_cruces,parapolystichum,excultum,9,0,10,26.1,60.3,4.1,,150,210,250,310,446,505,
las_cruces,parapolystichum,excultum,9,0.5,9.8,27,59.8,4,,140,200,345,400,500,560,
las_cruces,parapolystichum,excultum,9,1,9.6,25.6,59.4,4.1,,160,220,270,330,440,500,good
las_cruces,parapolystichum,excultum,9,1.5,9.4,25.9,58.5,4.1,,125,185,225,285,395,455,good
