"site","species","niche","d13C","d15N","c_perc","n_perc"
"laselva","asplenium_auritum","epiphyte",-33.3533333333333,-0.165,0.426091457536916,0.0259548430702629
"laselva","asplenium_juglandifolia","epiphyte",-31.73,1.695,0.418283063207249,0.0149469959321458
"laselva","asplenium_serratum","epiphyte",-34.9316666666667,-0.00333333333333333,0.400878802196772,0.0329343146519963
"laselva","blechnum_occidentale ","terrestrial",-33.695,1.65166666666667,0.435680444628239,0.0203306214107035
"laselva","campylonerum_brevifolia","epiphyte",-32.435,0.876666666666667,0.462935875985504,0.0239304818332576
"laselva","cyclopeltis_semicordata","terrestrial",-34.8366666666667,0.888333333333333,0.427960890226302,0.0318291502577292
"laselva","diplazium_straitastrum","terrestrial",-35.8216666666667,0.77,0.431260514209842,0.041458822825805
"laselva","elaphoglossum_amygdalifolium","hemi-epiphyte",-35.57,0.466666666666667,0.394520113415919,0.025183328674255
"laselva","elaphoglossum_herminieri","epiphyte",-32.0833333333333,0.768333333333333,0.419459640382055,0.0103989338609941
"laselva","elaphoglossum_latifolia","epiphyte",-31.2933333333333,1.235,0.441679654202399,0.0161581652031253
"laselva","lomariopsis_japurensis","hemi-epiphyte",-34.495,1.75833333333333,0.440523471528739,0.0390973769086503
"laselva","mickelia_nicotianifolia","climber",-35.625,2.61833333333333,0.424118624669442,0.0394214949511024
"laselva","nephrolepis biserrata","terrestrial",-33.9383333333333,1.58666666666667,0.428740152061187,0.0338542170629068
"laselva","nephrolepis_rivularis","terrestrial",-34.0683333333333,-0.446666666666667,0.457755125093442,0.0170429797125436
"laselva","oleandra_articulata","epiphyte",-33.42,0.518333333333333,0.444914760037536,0.0148083021907096
"laselva","pecluma_pectinata","epiphyte",-34.025,1.47,0.466444409040155,0.0205803254404879
"laselva","phlebodium_aurem","epiphyte",-30.1114285714286,2.12,0.464227710160289,0.0289157931011623
"laselva","pleopeltis_bradeorum","hemi-epiphyte",-34.1566666666667,-0.503333333333333,0.444381703143957,0.0195906794117121
"laselva","polybotrya_osmundacea","climber",-35.8,3.165,0.476374195673948,0.0247496778915208
"laselva","salpichlaena_volubilis","terrestrial",-35.385,3.34833333333333,0.395556288637879,0.0256971609592525
"laselva","serpocaulon_loriciforme","epiphyte",-34.44,0.741666666666667,0.45149302283164,0.032579580263115
"laselva","tectaria_incisa","terrestrial",-33.6833333333333,0.503333333333333,0.445044470847424,0.0393763566746079
"laselva","thelypteris_curtii","terrestrial",-34.5566666666667,1.9,0.424679966174015,0.0267036569895953
"laselva","thelypteris_dentata","terrestrial",-33.854,1.98,0.446822847727041,0.0309987456732337
"laselva","thelypteris_nicaraguensis","terrestrial",-36.145,1.27166666666667,0.410112933570006,0.0306071153663359
