species,site,plant_no,d13C,d15N,sample_mg,niche,genusspecies,group,c_perc,n_perc
elaphoglossum_amygdalifolium,la_selva,4,-34.74,-0.32,3.61,hemi-epiphyte,elaamy,E1,40.19833795,2.693628809
elaphoglossum_amygdalifolium,la_selva,5,-37.22,1.03,3.529,hemi-epiphyte,elaamy,E1,38.6593936,2.65202607
elaphoglossum_amygdalifolium,la_selva,6,-36.35,1.16,3.646,hemi-epiphyte,elaamy,E1,36.82419089,2.667032364
elaphoglossum_herminieri,la_selva,1,-32.85,0.34,3.523,epiphyte,elaher,E1,39.95742265,1.019017882
elaphoglossum_herminieri,la_selva,2,-32.03,0.92,3.574,epiphyte,elaher,E1,41.82064913,1.259373251
elaphoglossum_herminieri,la_selva,3,-31.51,0.22,3.656,epiphyte,elaher,E1,43.86460613,0.745623632
elaphoglossum_herminieri,la_selva,4,-32.37,1.55,3.504,epiphyte,elaher,E1,41.72460046,1.122146119
elaphoglossum_herminieri,la_selva,5,-31.41,0.57,3.635,epiphyte,elaher,E1,41.71801926,1.083631362
elaphoglossum_herminieri,la_selva,6,-32.33,1.01,3.658,epiphyte,elaher,E1,42.5904866,1.00956807
elaphoglossum_latifolium,la_selva,1,-32.36,0.63,3.656,epiphyte,elalat,E1,43.56591904,1.710612691
elaphoglossum_latifolium,la_selva,2,-30.44,2.55,3.654,epiphyte,elalat,E1,42.69403394,2.300218938
elaphoglossum_latifolium,la_selva,3,-32.43,0.34,3.661,epiphyte,elalat,E1,43.50641901,1.42310844
elaphoglossum_latifolium,la_selva,4,-32.34,-0.92,3.554,epiphyte,elalat,E1,43.58863253,1.351435003
elaphoglossum_latifolium,la_selva,5,-30.68,2.8,3.648,epiphyte,elalat,E1,45.75822368,1.135964912
elaphoglossum_latifolium,la_selva,6,-29.51,2.01,3.661,epiphyte,elalat,E1,45.89456433,1.773559137
lomariopsis_japurensis,la_selva,1,-36.42,1.53,3.577,hemi-epiphyte,lomjap,out,41.7855745,3.72407045
lomariopsis_japurensis,la_selva,2,-34.46,2.56,3.59,hemi-epiphyte,lomjap,out,44.31448468,3.632869081
lomariopsis_japurensis,la_selva,3,-34.33,2.62,3.656,hemi-epiphyte,lomjap,out,45.01942013,4.347374179
lomariopsis_japurensis,la_selva,4,-34.64,0.78,3.512,hemi-epiphyte,lomjap,out,43.48917995,4.867312073
lomariopsis_japurensis,la_selva,5,-35.43,-0.13,3.665,hemi-epiphyte,lomjap,out,44.65102319,3.827557981
lomariopsis_japurensis,la_selva,6,-31.69,3.19,3.511,hemi-epiphyte,lomjap,out,45.05440046,3.059242381
mickelia_nicotianifolia,la_selva,1,-36.43,1.75,3.547,climber,micnic,E1,42.75303073,3.795319989
mickelia_nicotianifolia,la_selva,2,-34.94,3.23,3.605,climber,micnic,E1,42.66962552,4.703467406
mickelia_nicotianifolia,la_selva,3,-35.79,1.59,3.615,climber,micnic,E1,43.45643154,3.684923928
mickelia_nicotianifolia,la_selva,4,-35.41,4.21,3.639,climber,micnic,E1,41.37290464,3.738389667
mickelia_nicotianifolia,la_selva,5,-35.85,2.6,3.649,climber,micnic,E1,43.35050699,3.82488353
mickelia_nicotianifolia,la_selva,6,-35.33,2.33,3.518,climber,micnic,E1,40.86867538,3.90591245
nephrolepis_biserrata,la_selva,1,-34.53,2.68,3.65,terrestrial,nepbis,E1,44.83452055,4.550958904
nephrolepis_biserrata,la_selva,2,-32.86,1.46,3.631,terrestrial,nepbis,E1,43.26494079,2.637840815
nephrolepis_biserrata,la_selva,3,-34.16,1.5,3.682,terrestrial,nepbis,E1,42.36936448,2.739815318
nephrolepis_biserrata,la_selva,6,-34.05,2.21,3.599,terrestrial,nepbis,E1,43.04362323,2.641011392
nephrolepis_biserrata,la_selva,8,-34.31,0.79,3.534,terrestrial,nepbis,E1,41.06281834,3.264006791
nephrolepis_biserrata,la_selva,9,-33.72,0.88,3.554,terrestrial,nepbis,E1,42.66882386,4.478897017
nephrolepis_rivularis,la_selva,1,-34.02,-2.72,3.622,terrestrial,nepriv,E1,45.78464936,1.457205964
nephrolepis_rivularis,la_selva,2,-34.2,-0.86,3.573,terrestrial,nepriv,E1,46.71872376,1.657990484
nephrolepis_rivularis,la_selva,3,-34.86,-0.14,3.652,terrestrial,nepriv,E1,46.30722892,2.016155531
nephrolepis_rivularis,la_selva,4,-32.82,0.84,3.609,terrestrial,nepriv,E1,46.25270158,1.504294819
nephrolepis_rivularis,la_selva,5,-33.96,1.02,3.586,terrestrial,nepriv,E1,45.59090909,1.858059119
nephrolepis_rivularis,la_selva,6,-34.55,-0.82,3.516,terrestrial,nepriv,E1,43.99886234,1.732081911
oleandra_articulata,la_selva,1,-33.92,-0.56,3.666,epiphyte,oleart,E1,43.44708129,1.710038189
oleandra_articulata,la_selva,3,-31.46,0.03,3.564,epiphyte,oleart,E1,43.77216611,1.455667789
oleandra_articulata,la_selva,5,-31.36,-1.44,3.641,epiphyte,oleart,E1,43.14611371,1.294149959
oleandra_articulata,la_selva,6,-32.35,1.23,3.561,epiphyte,oleart,E1,45.64813255,1.602639708
oleandra_articulata,la_selva,7,-35.97,-0.17,3.687,epiphyte,oleart,E1,44.97748847,1.185787903
oleandra_articulata,la_selva,8,-35.46,4.02,3.537,epiphyte,oleart,E1,45.9578739,1.636697766
pecluma_pectinata,la_selva,1,-35.5,1.31,3.617,epiphyte,pecpec,E1,49.17887752,1.596350567
pecluma_pectinata,la_selva,2,-33.14,0.54,3.518,epiphyte,pecpec,E1,46.47214326,3.065662308
pecluma_pectinata,la_selva,3,-33.24,0.37,3.629,epiphyte,pecpec,E1,47.48470653,1.563791678
pecluma_pectinata,la_selva,4,-33.96,2.34,3.694,epiphyte,pecpec,E1,48.75121819,1.332972388
pecluma_pectinata,la_selva,5,-34.21,2.91,3.686,epiphyte,pecpec,E1,46.45035269,2.694519805
pecluma_pectinata,la_selva,6,-34.1,1.35,3.646,epiphyte,pecpec,E1,41.52934723,2.094898519
pecluma_pectinata,la_selva,10,NA,NA,NA,epiphyte,pecpec,E1,NA,NA
phlebodium_aureum,la_selva,1,-32.07,0.64,3.604,epiphyte,phlaur,E1,46.01331853,2.738623751
phlebodium_aureum,la_selva,2,-30.21,1.71,3.652,epiphyte,phlaur,E1,46.30722892,2.562705367
phlebodium_aureum,la_selva,3,-29.51,2.59,3.677,epiphyte,phlaur,E1,46.88577645,3.332064183
phlebodium_aureum,la_selva,4,-29.55,2.39,3.505,epiphyte,phlaur,E1,46.06590585,3.332097004
phlebodium_aureum,la_selva,5,-29.05,2.42,3.586,epiphyte,phlaur,E1,45.02537646,1.989124373
phlebodium_aureum,la_selva,6,-28.54,3.09,3.544,epiphyte,phlaur,E1,48.0273702,3.798532731
phlebodium_aureum,la_selva,7,NA,NA,NA,epiphyte,phlaur,E1,NA,NA
phlebodium_aureum,la_selva,8,-31.85,2,3.556,epiphyte,phlaur,E1,46.6344207,2.487907762
pleopeltis_bradeorum,la_selva,1,-34.04,-0.89,3.612,hemi-epiphyte,plebra,E1,44.95791805,1.498615725
pleopeltis_bradeorum,la_selva,2,-34.52,-0.39,3.61,hemi-epiphyte,plebra,E1,43.76481994,2.41468144
pleopeltis_bradeorum,la_selva,3,-35.64,-1.49,3.583,hemi-epiphyte,plebra,E1,44.70778677,2.352777003
pleopeltis_bradeorum,la_selva,4,-35.22,-0.84,3.68,hemi-epiphyte,plebra,E1,44.72581522,3.103804348
pleopeltis_bradeorum,la_selva,5,-34.09,-0.56,3.632,hemi-epiphyte,plebra,E1,43.19741189,1.498348018
pleopeltis_bradeorum,la_selva,6,-31.43,1.15,3.611,hemi-epiphyte,plebra,E1,45.27527001,0.886181113
polybotrya_osmundacea,la_selva,1,-37.12,3.53,3.651,climber,polosm,E1,47.51985757,2.423171734
polybotrya_osmundacea,la_selva,2,-34.78,3.18,3.627,climber,polosm,E1,48.43865454,2.378274056
polybotrya_osmundacea,la_selva,3,-36.45,5.17,3.629,climber,polosm,E1,47.48470653,2.263433453
polybotrya_osmundacea,la_selva,4,-35.6,2.94,3.553,climber,polosm,E1,47.56684492,2.674922601
polybotrya_osmundacea,la_selva,5,-34.94,1.5,3.642,climber,polosm,E1,47.01153213,2.707303679
polybotrya_osmundacea,la_selva,6,-35.91,2.67,3.628,climber,polosm,E1,47.80292172,2.402701213
salpichlaena_volubilis,la_selva,1,-36.52,4.06,3.517,terrestrial,salvol,E2,41.8100654,2.641171453
salpichlaena_volubilis,la_selva,2,-33.99,4.4,3.656,terrestrial,salvol,E2,38.43326039,2.462527352
salpichlaena_volubilis,la_selva,3,-35.91,3.18,3.585,terrestrial,salvol,E2,43.15202232,2.790237099
salpichlaena_volubilis,la_selva,4,-35.39,2.78,3.665,terrestrial,salvol,E2,38.93233288,2.378444748
salpichlaena_volubilis,la_selva,5,-36.53,3.14,3.666,terrestrial,salvol,E2,39.21876705,2.514457174
salpichlaena_volubilis,la_selva,6,-33.97,2.53,3.503,terrestrial,salvol,E2,35.78732515,2.63145875
serpocaulon_loriciforme,la_selva,10,-35.01,1.43,3.672,epiphyte,serlor,E1,44.86356209,2.944989107
serpocaulon_loriciforme,la_selva,9,-34.72,1.94,3.588,epiphyte,serlor,E1,45.60925307,3.335005574
serpocaulon_loriciforme,la_selva,3,-35.21,2.5,3.661,epiphyte,serlor,E1,43.208413,2.87462442
serpocaulon_loriciforme,la_selva,4,-33.65,-1.41,3.564,epiphyte,serlor,E1,45.91638608,3.777216611
serpocaulon_loriciforme,la_selva,12,-33.48,-1.23,3.571,epiphyte,serlor,E1,44.60291235,3.007840941
serpocaulon_loriciforme,la_selva,6,-34.57,1.22,3.692,epiphyte,serlor,E1,46.69528711,3.608071506
tectaria_incisa,la_selva,1,-33.61,2,3.55,terrestrial,tecinc,E1,43.63774648,3.491549296
tectaria_incisa,la_selva,2,-32.78,-0.52,3.501,terrestrial,tecinc,E1,45.12739217,4.342473579
tectaria_incisa,la_selva,3,-33.55,0.99,3.507,terrestrial,tecinc,E1,44.11177645,4.196464214
tectaria_incisa,la_selva,4,-33.73,0.41,3.522,terrestrial,tecinc,E1,44.29415105,3.782226008
tectaria_incisa,la_selva,5,-32.94,0.15,3.578,terrestrial,tecinc,E1,45.12604807,4.234768027
tectaria_incisa,la_selva,6,-35.49,-0.01,3.683,terrestrial,tecinc,E1,44.72956829,3.578332881
thelypteris_curtii,la_selva,1,-33.96,1.35,3.602,terrestrial,thecur,E2,44.82537479,3.002220988
thelypteris_curtii,la_selva,2,-33.8,1.45,3.551,terrestrial,thecur,E2,40.56012391,2.697268375
thelypteris_curtii,la_selva,3,-34.62,3.56,3.675,terrestrial,thecur,E2,44.23210884,2.626122449
thelypteris_curtii,la_selva,4,-34.43,2.8,3.631,terrestrial,thecur,E2,39.59680529,2.182869733
thelypteris_curtii,la_selva,5,-36.17,0.66,3.629,terrestrial,thecur,E2,40.88702122,2.979884266
thelypteris_curtii,la_selva,6,-34.36,1.58,3.636,terrestrial,thecur,E2,44.70654565,2.533828383
thelypteris_dentata,la_selva,1,-34.54,2.04,3.696,terrestrial,theden,E2,43.93614719,3.033008658
thelypteris_dentata,la_selva,2,-31.98,2.78,3.63,terrestrial,theden,E2,44.43195592,2.44077135
thelypteris_dentata,la_selva,3,-34.37,2.4,3.638,terrestrial,theden,E2,46.15173172,3.314458494
thelypteris_dentata,la_selva,4,-33.68,1.27,3.599,terrestrial,theden,E2,44.20366769,3.701583773
thelypteris_dentata,la_selva,6,-34.7,1.41,3.56,terrestrial,theden,E2,44.68792135,3.009550562
thelypteris_nicaraguensis,la_selva,1,-35.77,1.8,3.65,terrestrial,thenic,E2,39.6890411,3.071232877
thelypteris_nicaraguensis,la_selva,2,-36.48,0.74,3.516,terrestrial,thenic,E2,42.75369738,3.549488055
thelypteris_nicaraguensis,la_selva,3,-35.43,2.39,3.698,terrestrial,thenic,E2,42.72336398,3.031368307
thelypteris_nicaraguensis,la_selva,4,-37.92,-0.88,3.525,terrestrial,thenic,E2,39.86156028,3.280567376
thelypteris_nicaraguensis,la_selva,5,-35.6,2.82,3.59,terrestrial,thenic,E2,38.83732591,2.88551532
thelypteris_nicaraguensis,la_selva,6,-35.67,0.76,3.536,terrestrial,thenic,E2,42.20277149,2.546097285
asplenium_uniseriale,las_cruces,1,-34.03,-2.29,3.129,terrestrial,aspuni,E2,46.69,3.99
asplenium_uniseriale,las_cruces,2,-31.5,-2.01,3.169,terrestrial,aspuni,E2,47.43,3.76
asplenium_uniseriale,las_cruces,3,-35.04,-1.97,3.165,terrestrial,aspuni,E2,47.52,3.52
asplenium_uniseriale,las_cruces,4,-32.64,0.1,3.05,terrestrial,aspuni,E2,47.47,2.94
asplenium_uniseriale,las_cruces,5,-32.69,-2.16,3.295,terrestrial,aspuni,E2,48.84,4.24
asplenium_uniseriale,las_cruces,6,-35.08,-0.93,3.219,terrestrial,aspuni,E2,47.45,3.22
blechnum_schiedeanum,las_cruces,1,-29.52,-3.74,3.23,terrestrial,blesch,E2,45.22,1.37
blechnum_schiedeanum,las_cruces,2,-28.57,-3.15,3.197,terrestrial,blesch,E2,44.32,1.46
blechnum_schiedeanum,las_cruces,3,-29.01,-4.2,3.307,terrestrial,blesch,E2,46.19,1.45
blechnum_schiedeanum,las_cruces,4,-27.49,-4.53,3.223,terrestrial,blesch,E2,46.99,1.44
blechnum_schiedeanum,las_cruces,5,-28.71,-4.07,3.253,terrestrial,blesch,E2,44.27,1.11
blechnum_schiedeanum,las_cruces,6,-27.57,-3.81,3.112,terrestrial,blesch,E2,44.17,1.21
diplazium_atirrense,las_cruces,1,-33.96,0.24,3.209,terrestrial,dipati,E2,45.64,3.34
diplazium_atirrense,las_cruces,2,-36,-1.03,1.459,terrestrial,dipati,E2,40.43,3.88
diplazium_atirrense,las_cruces,3,-36.13,0.19,2.949,terrestrial,dipati,E2,43,3.29
diplazium_atirrense,las_cruces,4,-35.65,0.3,2.975,terrestrial,dipati,E2,40.25,3.21
diplazium_atirrense,las_cruces,5,-36.57,-2.51,2.943,terrestrial,dipati,E2,40.88,3.79
diplazium_atirrense,las_cruces,6,-35.77,-1.04,2.912,terrestrial,dipati,E2,41.39,2.83
diplazium_prominulum,las_cruces,1,-36.07,1,3.22,terrestrial,dippro,E2,43.42,3.37
diplazium_prominulum,las_cruces,2,-36.05,-0.26,3.141,terrestrial,dippro,E2,42.75,4.13
diplazium_prominulum,las_cruces,3,-35.89,-1.59,3.121,terrestrial,dippro,E2,41.55,3.9
diplazium_prominulum,las_cruces,4,-37.69,0.6,2.957,terrestrial,dippro,E2,42.18,3.58
diplazium_prominulum,las_cruces,5,-36.85,1.01,3.012,terrestrial,dippro,E2,42.69,4.09
diplazium_prominulum,las_cruces,6,-36.58,1.72,3.105,terrestrial,dippro,E2,42.44,3.77
dryopteris_patula,las_cruces,1,-33.54,1.56,3.149,epiphyte,drypat,E1,48.47,1.96
dryopteris_patula,las_cruces,2,-32.71,-1.08,3.211,epiphyte,drypat,E1,46.95,1.1
dryopteris_patula,las_cruces,3,-33.2,0.55,3.12,epiphyte,drypat,E1,49.62,1.53
dryopteris_patula,las_cruces,4,-32.77,-1.65,2.968,epiphyte,drypat,E1,47.97,1.58
dryopteris_patula,las_cruces,5,-34.57,-4.13,3.543,epiphyte,drypat,E1,48.42,2.16
dryopteris_patula,las_cruces,6,-32.89,-2.22,3.217,epiphyte,drypat,E1,47.7,1.99
elaphoglossum_decursivum,las_cruces,1,-32.75,-4.64,3.289,epiphyte,eladec,E1,44.03,1.7
elaphoglossum_decursivum,las_cruces,2,-35,-1.43,3.326,epiphyte,eladec,E1,50.93,2.32
elaphoglossum_decursivum,las_cruces,3,-31.87,-3.69,3.113,epiphyte,eladec,E1,48.15,1.28
elaphoglossum_decursivum,las_cruces,4,-32.87,-6.14,3.151,epiphyte,eladec,E1,47.99,0.72
elaphoglossum_decursivum,las_cruces,5,-33.97,-4.96,3.113,epiphyte,eladec,E1,46.21,2.31
elaphoglossum_decursivum,las_cruces,6,-34.44,-3.45,3.154,epiphyte,eladec,E1,46.84,1.9
lomariopsis_maxonii,las_cruces,1,-33.93,0.55,3.139,hemi-epiphyte,lommax,out,48.05,3.78
lomariopsis_maxonii,las_cruces,2,-33.93,0.85,3.233,hemi-epiphyte,lommax,out,48.72,4.24
lomariopsis_maxonii,las_cruces,3,-33.81,0.64,2.971,hemi-epiphyte,lommax,out,46.82,3.62
lomariopsis_maxonii,las_cruces,4,-33.36,1.12,3.012,hemi-epiphyte,lommax,out,49.19,3.53
lomariopsis_maxonii,las_cruces,5,-32.54,0.73,2.987,hemi-epiphyte,lommax,out,48.92,4.25
lomariopsis_maxonii,las_cruces,6,-34.12,1.43,3.49,hemi-epiphyte,lommax,out,42,3.98
nephrolepis_brownii,las_cruces,1,-32.93,0.7,3.055,terrestrial,nepbro,E1,46.76,4.2
nephrolepis_brownii,las_cruces,2,-32.81,0.22,3.08,terrestrial,nepbro,E1,47.09,4.91
nephrolepis_brownii,las_cruces,3,-32.05,-0.88,3.297,terrestrial,nepbro,E1,48.23,4.02
nephrolepis_brownii,las_cruces,4,-32.85,-0.05,3.342,terrestrial,nepbro,E1,47.66,4.71
nephrolepis_brownii,las_cruces,5,-34.04,0.26,3.069,terrestrial,nepbro,E1,47.3,3.92
nephrolepis_brownii,las_cruces,6,-33.36,0.87,3.017,terrestrial,nepbro,E1,47.02,3.88
niphidium_crassifolium,las_cruces,1,-32.91,-1.5,2.999,epiphyte,nipcra,E1,44.6,1.92
niphidium_crassifolium,las_cruces,2,-33.07,-2.01,2.915,epiphyte,nipcra,E1,43.17,1.88
niphidium_crassifolium,las_cruces,3,-28.21,1.73,3.251,epiphyte,nipcra,E1,47.67,1.41
niphidium_crassifolium,las_cruces,4,-29.7,-0.82,2.924,epiphyte,nipcra,E1,47.12,2.59
niphidium_crassifolium,las_cruces,5,-31.19,-2.01,3.167,epiphyte,nipcra,E1,44.84,1.37
niphidium_crassifolium,las_cruces,6,-27.99,1.97,3.154,epiphyte,nipcra,E1,46.78,3.49
oleandra_costaricensis,las_cruces,1,-30.36,-3.18,3.06,terrestrial,olecos,E1,50.2,1.25
oleandra_costaricensis,las_cruces,2,-30.01,-3.32,3.231,terrestrial,olecos,E1,50.61,0.8
oleandra_costaricensis,las_cruces,3,-28.65,-1.16,2.944,terrestrial,olecos,E1,49.35,1.09
oleandra_costaricensis,las_cruces,4,-30.44,-2.08,3.163,terrestrial,olecos,E1,49.49,1.16
oleandra_costaricensis,las_cruces,5,-30.63,-2.95,3.062,terrestrial,olecos,E1,50.26,0.81
oleandra_costaricensis,las_cruces,6,-30.78,-2.71,3.021,terrestrial,olecos,E1,50.39,0.8
olfersia_cervina,las_cruces,1,-31.9,-0.12,3.215,terrestrial,olfcer,E1,52.58,2.09
olfersia_cervina,las_cruces,2,-33.16,-1.78,3.02,terrestrial,olfcer,E1,51.96,1.55
olfersia_cervina,las_cruces,3,-31.39,-0.14,3.315,terrestrial,olfcer,E1,53.46,1.9
olfersia_cervina,las_cruces,4,-33.2,-0.53,3,terrestrial,olfcer,E1,50.76,1.81
olfersia_cervina,las_cruces,5,-33.33,-1.14,3.329,terrestrial,olfcer,E1,52.6,1.95
olfersia_cervina,las_cruces,6,-31.19,-0.42,3.21,terrestrial,olfcer,E1,52.01,2.2
parapolystichum_excultum,las_cruces,1,-35.59,-1.85,2.947,terrestrial,parexc,E1,49.25,3.99
parapolystichum_excultum,las_cruces,2,-34.03,-2.58,3.002,terrestrial,parexc,E1,48.5,2.12
parapolystichum_excultum,las_cruces,3,-35.46,-0.99,2.995,terrestrial,parexc,E1,50.13,3.95
parapolystichum_excultum,las_cruces,4,-32.75,-0.14,3.052,terrestrial,parexc,E1,50.56,2.06
parapolystichum_excultum,las_cruces,5,-34.59,-1.4,3.048,terrestrial,parexc,E1,49.95,4.65
parapolystichum_excultum,las_cruces,6,-34.02,-2.36,3.042,terrestrial,parexc,E1,49.99,2.53
serpocaulon_fraxinifolium,las_cruces,1,-33.3,-0.38,3.108,epiphyte,serfra,E1,45.8,1.53
serpocaulon_fraxinifolium,las_cruces,2,-30.45,0.64,3.081,epiphyte,serfra,E1,46.39,1.71
serpocaulon_fraxinifolium,las_cruces,3,-31.85,-2.06,3.014,epiphyte,serfra,E1,45.99,1.09
serpocaulon_fraxinifolium,las_cruces,4,-32.22,-2.37,2.917,epiphyte,serfra,E1,45.42,1.3
serpocaulon_fraxinifolium,las_cruces,5,-27.57,0.55,3.033,epiphyte,serfra,E1,48.62,1.73
serpocaulon_fraxinifolium,las_cruces,6,-30.56,-0.59,3.213,epiphyte,serfra,E1,45.89,1.15
serpocaulon_triseriale,las_cruces,1,-32.55,0.77,3.112,epiphyte,sertri,E1,46.63,1.88
serpocaulon_triseriale,las_cruces,2,-31.68,1.32,3.062,epiphyte,sertri,E1,48.7,2.39
serpocaulon_triseriale,las_cruces,3,-30.17,-0.61,3.234,epiphyte,sertri,E1,47.23,1.67
serpocaulon_triseriale,las_cruces,4,-31.29,-1.47,3.109,epiphyte,sertri,E1,47.88,1.3
serpocaulon_triseriale,las_cruces,5,-30.11,-1.49,3.236,epiphyte,sertri,E1,48.21,1.64
serpocaulon_triseriale,las_cruces,6,-30.04,-1.38,3.185,epiphyte,sertri,E1,47.94,1.83
