species,site,plant_no,d13C,d15N,sample_mg,niche,genusspecies,group,c_perc,n_perc
asplenium_auritum,la_selva,1,-34.33,-2.19,3.696,epiphyte,aspaur,E2,43.09442641,3.140422078
asplenium_auritum,la_selva,2,-34.65,-1.53,3.572,epiphyte,aspaur,E2,42.75867861,2.456047032
asplenium_auritum,la_selva,3,-36.01,-2.66,3.552,epiphyte,aspaur,E2,43.30630631,2.449324324
asplenium_auritum,la_selva,4,-31.57,0.42,3.558,epiphyte,aspaur,E2,40.48032603,2.507026419
asplenium_auritum,la_selva,5,-31.5,2.25,3.586,epiphyte,aspaur,E2,42.59174568,2.032626882
asplenium_auritum,la_selva,6,-32.06,2.72,3.668,epiphyte,aspaur,E2,43.42339149,2.987459106
asplenium_juglandifolia,la_selva,1,-31,0.69,3.629,epiphyte,aspjug,E2,42.68779278,1.54973822
asplenium_juglandifolia,la_selva,2,-30.98,1.5,3.526,epiphyte,aspjug,E2,42.69880885,1.792682927
asplenium_juglandifolia,la_selva,3,-32.47,2.8,3.52,epiphyte,aspjug,E2,42.46221591,1.755397727
asplenium_juglandifolia,la_selva,4,-32.47,1.79,3.512,epiphyte,aspjug,E2,39.46440774,0.880979499
asplenium_juglandifolia,la_selva,5,NA,NA,NA,epiphyte,aspjug,E2,NA,NA
asplenium_serratum,la_selva,1,-34.98,-0.99,3.693,epiphyte,aspser,E2,39.58922285,3.683725968
asplenium_serratum,la_selva,2,-35.69,0.01,3.507,epiphyte,aspser,E2,41.37895637,3.798403194
asplenium_serratum,la_selva,3,-34.08,0.22,3.698,epiphyte,aspser,E2,41.00730124,2.924283396
asplenium_serratum,la_selva,4,-34.21,0.47,3.663,epiphyte,aspser,E2,42.29156429,2.435162435
asplenium_serratum,la_selva,5,-35.85,-0.64,3.553,epiphyte,aspser,E2,34.43822122,2.96200394
asplenium_serratum,la_selva,6,-34.78,0.91,3.652,epiphyte,aspser,E2,41.82201533,3.957009858
blechnum_occidentale,la_selva,1,-34.41,2.13,3.685,terrestrial,bleocc,E2,42.63093623,2.300949796
blechnum_occidentale,la_selva,2,-34.83,1.81,3.565,terrestrial,bleocc,E2,41.01065919,1.491164095
blechnum_occidentale,la_selva,3,-32.25,1.46,3.543,terrestrial,bleocc,E2,44.33954276,2.184871578
blechnum_occidentale,la_selva,4,-34.98,1.76,3.668,terrestrial,bleocc,E2,43.42339149,1.426663032
blechnum_occidentale,la_selva,5,-32.89,1.7,3.677,terrestrial,bleocc,E2,43.91106881,2.644547185
blechnum_occidentale,la_selva,6,-32.81,1.05,3.669,terrestrial,bleocc,E2,46.0926683,2.15017716
campyloneurum_brevifolium,la_selva,1,-32,0.62,3.548,epiphyte,cambre,E1,45.50760992,3.251127396
campyloneurum_brevifolium,la_selva,2,-33.93,1.61,3.572,epiphyte,cambre,E1,46.11954087,2.119540873
campyloneurum_brevifolium,la_selva,3,-32.77,1.1,3.656,epiphyte,cambre,E1,47.15508753,2.539934354
campyloneurum_brevifolium,la_selva,4,-31.29,1.88,3.651,epiphyte,cambre,E1,46.61983018,2.302109011
campyloneurum_brevifolium,la_selva,5,-32.02,0.84,3.662,epiphyte,cambre,E1,45.58328782,2.61551065
campyloneurum_brevifolium,la_selva,6,-32.6,-0.79,3.592,epiphyte,cambre,E1,46.77616927,1.530066815
cyclopeltis_semicordata,la_selva,1,NA,NA,NA,terrestrial,cycsem,out,NA,NA
cyclopeltis_semicordata,la_selva,2,-34.72,0.52,3.597,terrestrial,cycsem,out,43.3705866,3.42618849
cyclopeltis_semicordata,la_selva,3,-33.85,1,3.66,terrestrial,cycsem,out,42.32622951,3.445081967
cyclopeltis_semicordata,la_selva,4,-34.56,1.12,3.685,terrestrial,cycsem,out,42.63093623,2.757394844
cyclopeltis_semicordata,la_selva,5,NA,NA,NA,terrestrial,cycsem,out,NA,NA
cyclopeltis_semicordata,la_selva,6,-35.63,0.8,3.688,terrestrial,cycsem,out,42.59625813,3.554229935
cyclopeltis_semicordata,la_selva,7,-35.34,2.2,3.618,terrestrial,cycsem,out,41.91404091,2.200939746
cyclopeltis_semicordata,la_selva,8,-34.92,-0.31,3.625,terrestrial,cycsem,out,43.93848276,3.713655172
diplazium_straitastrum,la_selva,1,-35.48,0.49,3.585,terrestrial,dipstr,E2,43.21171548,4.517712692
diplazium_straitastrum,la_selva,2,-35.56,0.72,3.693,terrestrial,dipstr,E2,43.42512862,4.610073111
diplazium_straitastrum,la_selva,3,-35.75,-0.04,3.66,terrestrial,dipstr,E2,40.54071038,3.909836066
diplazium_straitastrum,la_selva,4,-36.6,1.65,3.552,terrestrial,dipstr,E2,44.53434685,4.008727477
diplazium_straitastrum,la_selva,5,-34.97,1.08,3.501,terrestrial,dipstr,E2,44.24850043,3.601542416
diplazium_straitastrum,la_selva,6,-36.57,0.72,3.518,terrestrial,dipstr,E2,42.79590677,4.227401933
elaphoglossum_amygdalifolium,la_selva,1,-36.94,-0.07,3.552,hemi-epiphyte,elaamy,E1,38.40906532,2.241835586
elaphoglossum_amygdalifolium,la_selva,2,-33.04,0.23,3.511,hemi-epiphyte,elaamy,E1,44.74366277,2.769581316
elaphoglossum_amygdalifolium,la_selva,3,-35.13,0.77,3.516,hemi-epiphyte,elaamy,E1,37.87741752,2.08589306
