"site","species","plant_no","dry_mass_g","sla_cm2g","niche","genusspecies","group","niche2"
"la_selva","elaphoglossum_amygdalifolium","4",0.0057,87.719298245614,"hemi-epiphyte","elaamy","E1","hemi-epiphyte"
"la_selva","elaphoglossum_amygdalifolium","2",0.0057,87.719298245614,"hemi-epiphyte","elaamy","E1","hemi-epiphyte"
"la_selva","elaphoglossum_amygdalifolium","3",0.0048,104.166666666667,"hemi-epiphyte","elaamy","E1","hemi-epiphyte"
"la_selva","elaphoglossum_herminieri","4",0.0141,35.4609929078014,"epiphyte","elaher","E1","epiphyte"
"la_selva","elaphoglossum_herminieri","3",0.0259,19.3050193050193,"epiphyte","elaher","E1","epiphyte"
"la_selva","elaphoglossum_herminieri","2",0.0176,28.4090909090909,"epiphyte","elaher","E1","epiphyte"
"la_selva","elaphoglossum_herminieri","1",0.0195,25.6410256410256,"epiphyte","elaher","E1","epiphyte"
"la_selva","elaphoglossum_herminieri","6",0.0203,24.6305418719212,"epiphyte","elaher","E1","epiphyte"
"la_selva","elaphoglossum_herminieri","5",0.0189,26.4550264550265,"epiphyte","elaher","E1","epiphyte"
"la_selva","elaphoglossum_latifolium","5",0.0146,34.2465753424658,"epiphyte","elalat","E1","epiphyte"
"la_selva","elaphoglossum_latifolium","4",0.0151,33.112582781457,"epiphyte","elalat","E1","epiphyte"
"la_selva","elaphoglossum_latifolium","3",0.0194,25.7731958762887,"epiphyte","elalat","E1","epiphyte"
"la_selva","elaphoglossum_latifolium","2",0.0119,42.0168067226891,"epiphyte","elalat","E1","epiphyte"
"la_selva","elaphoglossum_latifolium","1",0.0126,39.6825396825397,"epiphyte","elalat","E1","epiphyte"
"la_selva","elaphoglossum_latifolium","6",0.0164,30.4878048780488,"epiphyte","elalat","E1","epiphyte"
"la_selva","lomariopsis_japurensis","1",0.0056,89.2857142857143,"hemi-epiphyte","lomjap","out","hemi-epiphyte"
"la_selva","lomariopsis_japurensis","3",0.0076,65.7894736842105,"hemi-epiphyte","lomjap","out","hemi-epiphyte"
"la_selva","lomariopsis_japurensis","4",0.0052,96.1538461538462,"hemi-epiphyte","lomjap","out","hemi-epiphyte"
"la_selva","lomariopsis_japurensis","5",0.0075,66.6666666666667,"hemi-epiphyte","lomjap","out","hemi-epiphyte"
"la_selva","lomariopsis_japurensis","2",0.0067,74.6268656716418,"hemi-epiphyte","lomjap","out","hemi-epiphyte"
"la_selva","lomariopsis_japurensis","6",0.0115,43.4782608695652,"hemi-epiphyte","lomjap","out","hemi-epiphyte"
"la_selva","mickelia_nicotianifolia","4",0.0062,80.6451612903226,"climber","micnic","E1","hemi-epiphyte"
"la_selva","mickelia_nicotianifolia","1",0.0055,90.9090909090909,"climber","micnic","E1","hemi-epiphyte"
"la_selva","mickelia_nicotianifolia","5",0.0062,80.6451612903226,"climber","micnic","E1","hemi-epiphyte"
"la_selva","mickelia_nicotianifolia","2",0.0049,102.040816326531,"climber","micnic","E1","hemi-epiphyte"
"la_selva","mickelia_nicotianifolia","6",0.0048,104.166666666667,"climber","micnic","E1","hemi-epiphyte"
"la_selva","mickelia_nicotianifolia","3",0.0047,106.382978723404,"climber","micnic","E1","hemi-epiphyte"
"la_selva","nephrolepis_biserrata","2",0.0048,104.166666666667,"terrestrial","nepbis","E1","terrestrial"
"la_selva","nephrolepis_biserrata","9",0.0041,121.951219512195,"terrestrial","nepbis","E1","terrestrial"
"la_selva","nephrolepis_biserrata","1",0.0056,89.2857142857143,"terrestrial","nepbis","E1","terrestrial"
"la_selva","nephrolepis_biserrata","3",0.0051,98.0392156862745,"terrestrial","nepbis","E1","terrestrial"
"la_selva","nephrolepis_biserrata","6",0.004,112.5,"terrestrial","nepbis","E1","terrestrial"
"la_selva","nephrolepis_biserrata","8",0.0036,125,"terrestrial","nepbis","E1","terrestrial"
"la_selva","nephrolepis_rivularis","1",0.0096,52.0833333333333,"terrestrial","nepriv","E1","terrestrial"
"la_selva","nephrolepis_rivularis","5",0.0057,87.719298245614,"terrestrial","nepriv","E1","terrestrial"
"la_selva","nephrolepis_rivularis","4",0.0107,46.7289719626168,"terrestrial","nepriv","E1","terrestrial"
"la_selva","nephrolepis_rivularis","2",0.0098,51.0204081632653,"terrestrial","nepriv","E1","terrestrial"
"la_selva","nephrolepis_rivularis","6",0.0074,67.5675675675676,"terrestrial","nepriv","E1","terrestrial"
"la_selva","nephrolepis_rivularis","3",0.009,55.5555555555556,"terrestrial","nepriv","E1","terrestrial"
"la_selva","oleandra_articulata","7",0.0145,3.44827586206897,"epiphyte","oleart","E1","epiphyte"
"la_selva","oleandra_articulata","6",0.0245,2.04081632653061,"epiphyte","oleart","E1","epiphyte"
"la_selva","oleandra_articulata","5",0.0133,3.7593984962406,"epiphyte","oleart","E1","epiphyte"
"la_selva","oleandra_articulata","1",0.024,2.08333333333333,"epiphyte","oleart","E1","epiphyte"
"la_selva","oleandra_articulata","3",0.0106,47.1698113207547,"epiphyte","oleart","E1","epiphyte"
"la_selva","pecluma_pectinata","2",0.016,31.25,"epiphyte","pecpec","E1","epiphyte"
