"Group","x","Px","2.5%","97.5%"
"cycsem-1",12,0.680222487733836,0.460456406970637,1.02532503957222
"cycsem-2",50,1.54610375827362,1.3109610947894,1.74417166951151
"cycsem-3",88,2.66118153277412,2.35466771780426,NA
"cycsem-4",12,0.349600159192279,0.173174157383936,0.444835796795956
"cycsem-5",50,1.00830128164315,0.775335574692862,1.07466614463017
"cycsem-6",88,2.03157204506352,1.85359919665167,2.34090230046365
"cycsem-1",12,0.607599478888394,0.207204609742053,0.860716952840363
"cycsem-2",50,1.51144111234563,1.0476698775493,1.66683768459229
"cycsem-3",88,2.76149085597014,2.46660546092944,NA
"cycsem-4",12,1.09229888914834,0.762768200970305,1.59092908574413
"cycsem-5",50,2.50088467328884,2.25645422858043,2.80972669476136
"cycsem-6",88,4.32536185427527,3.83582762398999,NA
"cycsem-1",12,0.917437347632807,0.401606988128235,1.0417266399086
"cycsem-2",50,1.48447953208615,0.997918512984806,1.70630930983591
"cycsem-3",88,2.0407922168279,1.80939550462331,NA
"cycsem-4",12,0.363939454296215,0.199980651373533,0.800610348487314
"cycsem-5",50,1.30541955764768,0.993007704881745,1.56396294890354
"cycsem-6",88,3.0382613868298,2.13385147547482,NA
"dippro-1",12,0.051105256239969,0.0464207090923216,0.0603285345312818
"dippro-2",50,0.328381014900154,0.320910172146608,0.340657914148747
"dippro-4",88,1.12384380930981,1.0702347542593,1.1851036369071
"dippro-5",12,0.421663798306583,0.132365782199719,0.594167292370693
"dippro-6",50,0.946256657423966,0.693704742897248,1.374302872554
"dippro-7",88,1.61501853840406,1.42873580825563,NA
"dippro-1",12,0.0804301094684195,0.0589029187660961,0.0991864258178207
"dippro-2",50,0.402013015583802,0.37887115826326,0.413886735479806
"dippro-4",88,1.16524879153531,1.05711158468126,1.29774046010478
"dippro-5",12,0.107286542261515,0.098169562736307,0.113980453253537
"dippro-6",50,1.097759088809,1.07934024584689,1.13222777825966
"dippro-7",88,5.11050750081042,NA,NA
"dippro-1",12,0.272458161103149,0.261676656767373,0.279135874049447
"dippro-2",50,0.836966900180287,0.828154696414637,0.852554244075488
"dippro-4",88,1.75818642107778,NA,NA
"dippro-5",12,0.38944662222352,0.381707012361184,0.394414089051989
"dippro-6",50,0.784437175319927,0.78067952894568,0.787301177553649
"dippro-7",88,1.24648516128242,1.23590644963488,1.26673594087746
"drypat-1",12,0.582777615810358,0.543254537071831,0.607543254645668
"drypat-2",50,0.941807317375656,0.930197502290318,0.976108263347958
"drypat-3",88,1.29369059960106,1.26728288364256,1.33690915596419
"drypat-4",12,0.0500640785460341,0.0435612220768544,0.296892033999626
"drypat-5",50,0.253722211852243,0.243037755485324,0.579112463151684
"drypat-6",88,0.742185379772146,0.645316961082069,0.900688791223167
"drypat-1",12,0.217571391897892,0.201711574675693,0.25195100048721
"drypat-2",50,0.67409045773483,0.663345448357077,0.705286646500446
"drypat-3",88,1.42405618507557,1.37669243744132,1.50673958610689
"drypat-4",12,0.283744273769993,0.253201179677469,0.432527225660318
"drypat-5",50,0.739683038876108,0.69218650850786,0.842632982972407
"drypat-6",88,1.39396989456278,1.25294077056129,1.53124870221705
"drypat-1",12,0.314857219260164,0.0188534818735546,0.328544313992289
"drypat-2",50,0.652678890234497,0.22530962231697,0.736769851412937
"drypat-3",88,1.05701107606462,1.02203867098222,1.42188956308061
"drypat-4",12,0.311325580655922,0.23365400018586,0.321659232121811
"drypat-5",50,0.732519088697025,0.666717545952036,0.754759458157779
"drypat-6",88,1.28998970866786,1.25767083709248,1.35855032961509
"elalat-1",12,0.0718181355122825,0.00666135024161582,0.489468617653592
"elalat-2",50,0.668543859239935,0.418647472254671,1.13709762856021
"elalat-3",88,2.92366171638545,1.82875839767042,NA
"elalat-4",12,0.0714101285653793,0.00909541089490967,0.629413622288373
"elalat-5",50,0.747085757540001,0.201159482431533,1.50367794834426
"elalat-6",88,3.52946509530458,2.09099731069592,NA
"elalat-1",12,0.310886474053513,0.142431301256308,0.815722504464774
"elalat-2",50,0.996884062671541,0.731829560554844,1.4682643191474
"elalat-3",88,2.15439570099389,1.3658270851735,NA
"elalat-4",12,0.139996089324966,0.0155263228131115,0.421444627432476
