"species","site","plant_no","dry_mass","lamina_area","SWC","osmotic_potential","waterpot_tlp","rwc_tlp","elasticity","capacitance_full","capacitance_zero.","capacitance_absolute","niche","genusspecies","group"
"asplenium_auritum","la_selva","1",0.1558,61.5,4.705799404,-0.664769033,-0.828861744,95.89947601,15.82074795,0.051011104,0.158767539,0.337845368,"epiphyte","aspaur","E2"
"asplenium_auritum","la_selva","2",0.1808,58.5,3.567617394,-0.888942637,-1.064501877,96.10476865,24.82082327,0.034251634,0.158117566,0.209811658,"epiphyte","aspaur","E2"
"asplenium_auritum","la_selva","3",0.2477,25,3.68820807,-0.666772905,-0.98500885,93.34816202,8.520573057,0.078721156,0.118412504,1.598160406,"epiphyte","aspaur","E2"
"asplenium_auritum","la_selva","4",0.0907,28.6,6.665355128,-0.381531406,-0.619664306,87.60268068,2.473010253,0.229209842,0.225771871,2.691691627,"epiphyte","aspaur","E2"
"asplenium_auritum","la_selva","5",0.3297,55.7,3.041001822,-0.824004063,-1.114767638,92.7671078,12.55248094,0.059314191,0.128149173,0.59315274,"epiphyte","aspaur","E2"
"asplenium_auritum","la_selva","6",0.2007,41.8,5.742170987,-0.433189994,-0.673166142,83.50009946,2.379173372,0.259895056,0.335099139,3.980821683,"epiphyte","aspaur","E2"
"asplenium_juglandifolia","la_selva","1",0.2479,53.6,5.187608619,-0.148940727,-0.214453852,98.21088412,7.197857742,0.093646487,0.065924168,1.24823951,"epiphyte","aspjug","E2"
"asplenium_juglandifolia","la_selva","2",0.1889,139.8,4.808107212,-0.893043708,-1.058981098,94.28005844,16.22603552,0.052140327,0.189295734,0.188191573,"epiphyte","aspjug","E2"
"asplenium_juglandifolia","la_selva","3",0.2304,57,5.480842888,-0.575846386,-0.757230001,95.26553257,9.175390498,0.076551553,0.12895741,0.942185626,"epiphyte","aspjug","E2"
"asplenium_juglandifolia","la_selva","4",0.1339,24.9,4.857236353,-0.965185733,-1.13974547,93.8830059,15.56752458,0.054161476,0.198129134,0.785938298,"epiphyte","aspjug","E2"
"asplenium_serratum","la_selva","1",0.3806,248,6.966683753,-0.535328698,-0.748879842,96.33342979,15.10995062,0.048418384,0.098164815,0.287594771,"epiphyte","aspser","E2"
"asplenium_serratum","la_selva","2",0.3418,209,5.198573571,-0.777944074,-1.024223217,95.46549068,15.9302478,0.046505337,0.094877705,0.219654577,"epiphyte","aspser","E2"
"asplenium_serratum","la_selva","3",0.4543,403,4.565652824,-0.881139918,-1.19878648,92.14261124,11.74894041,0.061990424,0.144156363,0.177252627,"epiphyte","aspser","E2"
"asplenium_serratum","la_selva","4",0.4119,272,3.206842661,-0.975194656,-1.30395615,93.22442318,16.10755284,0.047901767,0.12686985,0.129234828,"epiphyte","aspser","E2"
"asplenium_serratum","la_selva","5",0.4639,358,4.120619599,-0.586185877,-0.782966382,97.92548877,27.87033067,0.026256088,0.047992386,0.077886356,"epiphyte","aspser","E2"
"asplenium_serratum","la_selva","6",0.5143,596,6.717681214,-0.670118163,-0.792481061,96.55841472,18.04468491,0.04610565,0.174234323,0.148481143,"epiphyte","aspser","E2"
"asplenium_uniseriale","las_cruces","3",0.1648,152.18,6.975403615,-0.329955583,-0.453791397,95.42458569,5.712193585,0.120224969,0.125657357,0.504534815,"terrestrial","aspuni","E2"
"asplenium_uniseriale","las_cruces","4",0.1125,60.7,10.0102651,-0.451530654,-0.544175946,94.81822374,7.612181685,0.106625112,0.332538401,1.098996744,"terrestrial","aspuni","E2"
"asplenium_uniseriale","las_cruces","5",0.0931,92.51,9.318790097,-1.012072076,-1.124164715,95.37456054,21.88333309,0.041081404,0.297664251,0.214039194,"terrestrial","aspuni","E2"
"asplenium_uniseriale","las_cruces","6",0.1634,67.53,6.492631792,-0.455779126,-0.518059102,97.66744016,14.62434858,0.058148995,0.223367366,0.507511384,"terrestrial","aspuni","E2"
"asplenium_uniseriale","las_cruces","7",0.1308,65.46,9.744462897,-0.644980746,-0.738905663,94.15682064,9.753456098,0.088076663,0.456629152,0.952747895,"terrestrial","aspuni","E2"
"asplenium_uniseriale","las_cruces","8",0.1291,74,6.199732834,-0.873828175,-0.960833944,94.14838121,14.98771781,0.060649918,0.498944393,0.364439305,"terrestrial","aspuni","E2"
"blechnum_occidentale","la_selva","1",0.4247,189.4,2.800700015,-1.080060349,-1.221002777,97.44780275,39.2338439,0.022286572,0.140344634,0.077757027,"terrestrial","bleocc","E2"
"blechnum_occidentale","la_selva","2",0.389,170.6,3.159983195,-1.151058273,-1.286836909,95.12432223,24.25630618,0.036869122,0.296745437,0.147586161,"terrestrial","bleocc","E2"
"blechnum_occidentale","la_selva","4",0.3894,191.4,2.846224637,-1.117870003,-1.3,93.05075408,15.33202114,0.055545393,0.235650805,0.178689375,"terrestrial","bleocc","E2"
"blechnum_occidentale","la_selva","5",0.3351,185.8,3.341574732,-0.737160629,-0.912870764,98.27090952,40.72104492,0.019247656,0.051785654,0.064444409,"terrestrial","bleocc","E2"
