"sample_id","genusspecies","individual","K","MPa","curve_id"
"aspuni_2_0.00","aspuni",2,0.121256326925921,0,"aspuni-2"
"aspuni_3_0.00","aspuni",3,0.1640967400244,0,"aspuni-3"
"aspuni_4_0.00","aspuni",4,0.121075896082875,0,"aspuni-4"
"aspuni_5_0.00","aspuni",5,0.110221286205745,0,"aspuni-5"
"aspuni_6_0.00","aspuni",6,0.102016221088197,0,"aspuni-6"
"aspuni_7_0.00","aspuni",7,0.112022214827635,0,"aspuni-7"
"dippro_1_0.00","dippro",1,2.19243451227782,0,"dippro-1"
"dippro_2_0.00","dippro",2,2.1169146048831,0,"dippro-2"
"dippro_4_0.00","dippro",4,1.08477977674301,0,"dippro-4"
"dippro_5_0.00","dippro",5,0.740388930080928,0,"dippro-5"
"dippro_6_0.00","dippro",6,1.21414893114647,0,"dippro-6"
"dippro_7_0.00","dippro",7,0.902361732054243,0,"dippro-7"
"drypat_1_0.00","drypat",1,1.91213747881904,0,"drypat-1"
"drypat_2_0.00","drypat",2,4.27498713940855,0,"drypat-2"
"drypat_3_0.00","drypat",3,1.36954825035001,0,"drypat-3"
"drypat_4_0.00","drypat",4,1.48629936235585,0,"drypat-4"
"drypat_5_0.00","drypat",5,1.97374622911252,0,"drypat-5"
"drypat_6_0.00","drypat",6,1.39019462292954,0,"drypat-6"
"eladec_1_0.00","eladec",1,0.127024722031132,0,"eladec-1"
"eladec_2_0.00","eladec",2,0.0908474476925129,0,"eladec-2"
"eladec_3_0.00","eladec",3,0.0873993274887413,0,"eladec-3"
"eladec_4_0.00","eladec",4,0.142206254365774,0,"eladec-4"
"eladec_5_0.00","eladec",5,0.11642412454872,0,"eladec-5"
"eladec_6_0.00","eladec",6,0.139064776067531,0,"eladec-6"
"lommax_1_0.00","lommax",1,1.1073356850455,0,"lommax-1"
"lommax_2_0.00","lommax",2,0.118484182205888,0,"lommax-2"
"lommax_3_0.00","lommax",3,0.894992989741382,0,"lommax-3"
"lommax_4_0.00","lommax",4,1.45253099257849,0,"lommax-4"
"lommax_5_0.00","lommax",5,0.588750979549881,0,"lommax-5"
"lommax_6_0.00","lommax",6,0.403359083753577,0,"lommax-6"
"lommax_7_0.00","lommax",7,0.604792810716135,0,"lommax-7"
"nipcra_2_0.00","nipcra",2,0.199725860229019,0,"nipcra-2"
"nipcra_3_0.00","nipcra",3,0.0730279143028194,0,"nipcra-3"
"nipcra_4_0.00","nipcra",4,0.94654349835334,0,"nipcra-4"
"nipcra_6_0.00","nipcra",6,1.57309401877589,0,"nipcra-6"
"nipcra_8_0.00","nipcra",8,0.97015863761775,0,"nipcra-8"
"olecos_2_0.00","olecos",2,2.75107824107534,0,"olecos-2"
"olecos_3_0.00","olecos",3,3.37323686870307,0,"olecos-3"
"olecos_4_0.00","olecos",4,4.07085926738524,0,"olecos-4"
"olecos_6_0.00","olecos",6,1.09387092098773,0,"olecos-6"
"olecos_7_0.00","olecos",7,1.9523179604324,0,"olecos-7"
"olecos_8_0.00","olecos",8,1.7579146740887,0,"olecos-8"
"olfcer_2_0.00","olfcer",2,10.2541952242798,0,"olfcer-2"
"olfcer_3_0.00","olfcer",3,9.07629868875874,0,"olfcer-3"
"olfcer_4_0.00","olfcer",4,4.85168177686341,0,"olfcer-4"
"olfcer_5_0.00","olfcer",5,8.20591226969069,0,"olfcer-5"
"olfcer_6_0.00","olfcer",6,4.30532172262349,0,"olfcer-6"
"olfcer_7_0.00","olfcer",7,6.8058805355797,0,"olfcer-7"
"parexc_1_0.00","parexc",1,1.2845301581986,0,"parexc-1"
"parexc_10_0.00","parexc",10,1.03466768916603,0,"parexc-10"
"parexc_2_0.00","parexc",2,2.57296269968982,0,"parexc-2"
"parexc_4_0.00","parexc",4,2.43042866740156,0,"parexc-4"
"parexc_6_0.00","parexc",6,2.04254944676477,0,"parexc-6"
"parexc_8_0.00","parexc",8,0.903643630695643,0,"parexc-8"
"parexc_9_0.00","parexc",9,3.40722765659034,0,"parexc-9"
"serfra_1_0.00","serfra",1,1.21545627457615,0,"serfra-1"
"serfra_10_0.00","serfra",10,1.66264191679034,0,"serfra-10"
"serfra_11_0.00","serfra",11,1.49520875301187,0,"serfra-11"
"serfra_2_0.00","serfra",2,1.01846406117106,0,"serfra-2"
"serfra_3_0.00","serfra",3,1.17162911180276,0,"serfra-3"
"serfra_6_0.00","serfra",6,1.75429439477909,0,"serfra-6"
"serfra_9_0.00","serfra",9,1.30430562820856,0,"serfra-9"
"sertri_1_0.00","sertri",1,7.30373209137892,0,"sertri-1"
"sertri_2_0.00","sertri",2,4.17580752556913,0,"sertri-2"
"sertri_3_0.00","sertri",3,5.82293661308349,0,"sertri-3"
"sertri_4_0.00","sertri",4,4.95722434145262,0,"sertri-4"
"sertri_5_0.00","sertri",5,3.91931797917997,0,"sertri-5"
"sertri_6_0.00","sertri",6,2.39003686289157,0,"sertri-6"
