"species","plant_no","site.x","wet_weight_g","psi_bars","dry_mass","psi_mpa","psi2","leafwater","curve_id","rwc","rwc_perc","rwc_100","site.y","niche","genusspecies","group","niche2"
"asplenium_auritum","1","laselva",0.8863,2,0.1558,-0.2,5,0.7305,"asplenium_auritum-1",0.985547194874496,98.5547194874496,1.44528051255037,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8785,2.4,0.1558,-0.24,4.16666666666667,0.7227,"asplenium_auritum-1",0.975023898337849,97.5023898337848,2.49761016621515,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8776,2.8,0.1558,-0.28,3.57142857142857,0.7218,"asplenium_auritum-1",0.973809671814389,97.3809671814389,2.61903281856107,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8698,4,0.1558,-0.4,2.5,0.714,"asplenium_auritum-1",0.963286375277742,96.3286375277742,3.67136247222582,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8704,5,0.1558,-0.5,2,0.7146,"asplenium_auritum-1",0.964095859626715,96.4095859626715,3.59041403732854,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8681,6.5,0.1558,-0.65,1.53846153846154,0.7123,"asplenium_auritum-1",0.960992836288985,96.0992836288985,3.90071637110148,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.875,2.9,0.1558,-0.29,3.44827586206897,0.7192,"asplenium_auritum-1",0.970301906302174,97.0301906302174,2.96980936978264,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8589,8,0.1558,-0.8,1.25,0.7031,"asplenium_auritum-1",0.948580742938068,94.8580742938068,5.14192570619323,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8493,9.9,0.1558,-0.99,1.01010101010101,0.6935,"asplenium_auritum-1",0.935628993354501,93.5628993354501,6.43710066454986,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8325,10.2,0.1558,-1.02,0.980392156862745,0.6767,"asplenium_auritum-1",0.91296343158326,91.296343158326,8.70365684167396,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8661,6.5,0.1558,-0.65,1.53846153846154,0.7103,"asplenium_auritum-1",0.958294555125742,95.8294555125742,4.17054448742579,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","1","laselva",0.8258,11.1,0.1558,-1.11,0.900900900900901,0.67,"asplenium_auritum-1",0.903924189686396,90.3924189686396,9.60758103136038,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.8185,2.58,0.1808,-0.258,3.87596899224806,0.6377,"asplenium_auritum-2",0.970383828635701,97.0383828635701,2.96161713642992,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.8109,8,0.1808,-0.8,1.25,0.6301,"asplenium_auritum-2",0.958818959421915,95.8818959421915,4.11810405780852,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.8095,8.1,0.1808,-0.81,1.23456790123457,0.6287,"asplenium_auritum-2",0.95668858877727,95.668858877727,4.331141122273,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.8007,10.5,0.1808,-1.05,0.952380952380952,0.6199,"asplenium_auritum-2",0.94329768758236,94.329768758236,5.67023124176401,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.7926,11.7,0.1808,-1.17,0.854700854700855,0.6118,"asplenium_auritum-2",0.930971971709772,93.0971971709772,6.90280282902278,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.7785,12.7,0.1808,-1.27,0.78740157480315,0.5977,"asplenium_auritum-2",0.909516095931564,90.9516095931564,9.04839040684359,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","2","laselva",0.8065,8.4,0.1808,-0.84,1.19047619047619,0.6257,"asplenium_auritum-2",0.95212350882446,95.212350882446,4.78764911755401,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","3","laselva",1.1526,2,0.2477,-0.2,5,0.9049,"asplenium_auritum-3",0.988543964568178,98.8543964568178,1.14560354318225,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","3","laselva",1.1487,2.1,0.2477,-0.21,4.76190476190476,0.901,"asplenium_auritum-3",0.984283470080592,98.4283470080592,1.57165299194078,"la_selva","epiphyte","aspaur","E2","epiphyte"
"asplenium_auritum","3","laselva",1.1418,2.3,0.2477,-0.23,4.34782608695652,0.8941,"asplenium_auritum-3",0.976745672141018,97.6745672141018,2.32543278589819,"la_selva","epiphyte","aspaur","E2","epiphyte"
