sample_id,genusspecies,individual,K,MPa,perc_loss_k,PLC
lommax_3_0.50,lommax,3,0.761,0.5,0.200861417,20.08614175
lommax_3_1.00,lommax,3,0.738,1,0.225745186,22.5745186
lommax_3_1.50,lommax,3,0.624,1.5,0.345296968,34.5296968
lommax_3_2.00,lommax,3,0.54,2,0.433620589,43.36205892
lommax_3_2.50,lommax,3,0.305,2.5,0.680291287,68.02912874
lommax_3_3.00,lommax,3,0.027,3,0.971664563,97.16645635
lommax_4_0.00,lommax,4,1.551,0,0,0
lommax_4_0.50,lommax,4,0.869,0.5,0.439726439,43.9726439
lommax_4_1.00,lommax,4,0.934,1,0.397864078,39.7864078
lommax_4_1.50,lommax,4,0.824,1.5,0.469046162,46.90461619
lommax_4_2.00,lommax,4,0.489,2,0.684622668,68.46226676
lommax_4_2.50,lommax,4,0.373,2.5,0.759419948,75.94199478
lommax_4_3.00,lommax,4,0.149,3,0.90406847,90.406847
lommax_5_0.00,lommax,5,0.629,0,0,0
lommax_6_0.00,lommax,6,0.432,0,0,0
lommax_7_0.00,lommax,7,0.648,0,0,0
olecos_2_0.00,olecos,2,2.95,0,0,0
olecos_2_0.50,olecos,2,2.126,0.5,0.27916775,27.91677501
olecos_2_1.00,olecos,2,1.662,1,0.436473043,43.64730434
olecos_2_1.50,olecos,2,1.055,1.5,0.642455377,64.24553772
olecos_2_2.00,olecos,2,0.245,2,0.91685845,91.68584496
olecos_2_2.50,olecos,2,0.011,2.5,0.996201206,99.6201206
olecos_3_0.00,olecos,3,3.624,0,0,0
olecos_3_0.50,olecos,3,2.275,0.5,0.372231967,37.22319669
olecos_3_1.00,olecos,3,1.26,1,0.652247237,65.22472374
olecos_3_1.50,olecos,3,0.933,1.5,0.742509365,74.25093654
olecos_3_2.00,olecos,3,0.131,2,0.96380994,96.38099398
olecos_3_2.50,olecos,3,0.051,2.5,0.985998212,98.5998212
olecos_4_0.00,olecos,4,4.372,0,0,0
olecos_4_0.50,olecos,4,2.853,0.5,0.347421468,34.74214681
olecos_4_1.00,olecos,4,2.11,1,0.517331718,51.73317181
olecos_4_1.50,olecos,4,1.45,1.5,0.668376918,66.83769183
olecos_4_2.00,olecos,4,0.484,2,0.889244746,88.9244746
olecos_4_2.50,olecos,4,0.069,2.5,0.9841908,98.41907998
olecos_6_0.00,olecos,6,1.181,0,0,0
olecos_6_0.50,olecos,6,0.766,0.5,0.351384107,35.13841072
olecos_6_1.00,olecos,6,0.546,1,0.537601608,53.76016076
olecos_6_1.50,olecos,6,0.324,1.5,0.726044482,72.60444824
olecos_6_2.00,olecos,6,0.108,2,0.908392324,90.83923241
