site,species,plant_no,disk,fov_mm2,sd_cm2,sd_mm2,niche,genusspecies,group
la_selva,diplazium_striatastrum,6,3,0.16,0.875,87.5,terrestrial,dipstr,E2
la_selva,elaphoglossum_amygdalifolium,1,1,0.159,0.069881202,6.988120196,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,1,2,0.159,0.090845563,9.084556254,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,1,3,0.159,0.069881202,6.988120196,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,2,1,0.159,0.097833683,9.783368274,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,2,2,0.159,0.090845563,9.084556254,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,2,3,0.159,0.076869322,7.686932215,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,3,1,0.159,0.062893082,6.289308176,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,3,2,0.159,0.153738644,15.37386443,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,3,3,0.159,0.132774284,13.27742837,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,4,1,0.159,0.104821803,10.48218029,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,4,2,0.159,0.096436059,9.64360587,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,4,3,0.159,0.083857442,8.385744235,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,5,1,0.159,0.076869322,7.686932215,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,5,2,0.159,0.062893082,6.289308176,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,5,3,0.159,0.062893082,6.289308176,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,6,1,0.159,0.069881202,6.988120196,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,6,2,0.159,0.090845563,9.084556254,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_amygdalifolium,6,3,0.159,0.069881202,6.988120196,hemi-epiphyte,elaamy,E1
la_selva,elaphoglossum_herminieri,1,1,0.159,0.223619846,22.36198463,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,1,2,0.159,0.251572327,25.1572327,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,1,3,0.159,0.251572327,25.1572327,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,2,1,0.159,0.265548567,26.55485674,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,2,2,0.159,0.314465409,31.44654088,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,2,3,0.159,0.36338225,36.33822502,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,3,1,0.159,0.265548567,26.55485674,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,3,2,0.159,0.265548567,26.55485674,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,3,3,0.159,0.265548567,26.55485674,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,4,1,0.159,0.286512928,28.6512928,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,4,2,0.159,0.268343816,26.83438155,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,4,3,0.159,0.398322851,39.83228512,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,5,1,0.159,0.244584207,24.45842068,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,5,2,0.159,0.314465409,31.44654088,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,5,3,0.159,0.272536688,27.25366876,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,6,1,0.159,0.223619846,22.36198463,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,6,2,0.159,0.213836478,21.3836478,epiphyte,elaher,E1
la_selva,elaphoglossum_herminieri,6,3,0.159,0.209643606,20.96436059,epiphyte,elaher,E1
la_selva,elaphoglossum_latifolium,1,1,0.159,0.35639413,35.639413,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,1,2,0.159,0.314465409,31.44654088,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,1,3,0.159,0.300489168,30.04891684,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,2,1,0.159,0.321453529,32.1453529,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,2,2,0.159,0.34940601,34.94060098,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,2,3,0.159,0.307477289,30.74772886,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,3,1,0.159,0.35639413,35.639413,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,3,2,0.159,0.405310971,40.53109713,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,3,3,0.159,0.286512928,28.6512928,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,4,1,0.159,0.36338225,36.33822502,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,4,2,0.159,0.279524808,27.95248078,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,4,3,0.159,0.34940601,34.94060098,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,5,1,0.159,0.188679245,18.86792453,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,5,2,0.159,0.160726765,16.07267645,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,5,3,0.159,0.195667365,19.56673655,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,6,1,0.159,0.314465409,31.44654088,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,6,2,0.159,0.343815514,34.38155136,epiphyte,elalat,E1
la_selva,elaphoglossum_latifolium,6,3,0.159,0.293501048,29.35010482,epiphyte,elalat,E1
la_selva,goniopteris_curta,1,1,0.16,1.041666667,104.1666667,terrestrial,thecur,E2
la_selva,goniopteris_curta,1,2,0.16,1.208333333,120.8333333,terrestrial,thecur,E2
la_selva,goniopteris_curta,1,3,0.16,1.5,150,terrestrial,thecur,E2
la_selva,goniopteris_curta,2,1,0.16,1.166666667,116.6666667,terrestrial,thecur,E2
la_selva,goniopteris_curta,2,2,0.16,1.083333333,108.3333333,terrestrial,thecur,E2
la_selva,goniopteris_curta,2,3,0.16,1.208333333,120.8333333,terrestrial,thecur,E2
la_selva,goniopteris_curta,3,1,0.16,1.458333333,145.8333333,terrestrial,thecur,E2
la_selva,goniopteris_curta,3,2,0.16,1.5,150,terrestrial,thecur,E2
la_selva,goniopteris_curta,3,3,0.16,1.208333333,120.8333333,terrestrial,thecur,E2
la_selva,goniopteris_curta,4,1,0.16,0.958333333,95.83333333,terrestrial,thecur,E2
la_selva,goniopteris_curta,4,2,0.16,1.1875,118.75,terrestrial,thecur,E2
la_selva,goniopteris_curta,4,3,0.16,1,100,terrestrial,thecur,E2
la_selva,goniopteris_curta,5,1,0.16,1.020833333,102.0833333,terrestrial,thecur,E2
la_selva,goniopteris_curta,5,2,0.16,1.041666667,104.1666667,terrestrial,thecur,E2
la_selva,goniopteris_curta,5,3,0.16,1.125,112.5,terrestrial,thecur,E2
la_selva,goniopteris_curta,6,1,0.16,1.395833333,139.5833333,terrestrial,thecur,E2
la_selva,goniopteris_curta,6,2,0.16,1.375,137.5,terrestrial,thecur,E2
la_selva,goniopteris_curta,6,3,0.16,1.416666667,141.6666667,terrestrial,thecur,E2
la_selva,goniopteris_nicaraguensis,1,1,0.166,1.24497992,124.497992,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,1,2,0.166,1.746987952,174.6987952,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,1,3,0.166,1.117804552,111.7804552,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,2,1,0.166,1.131191432,113.1191432,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,2,2,0.166,1.084337349,108.4337349,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,2,3,0.166,1.184738956,118.4738956,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,3,1,0.166,0.93038822,93.03882195,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,3,2,0.166,1.124497992,112.4497992,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,3,3,0.166,1.09103079,109.103079,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,4,1,0.166,0.809906292,80.99062918,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,4,2,0.166,0.836680054,83.66800535,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,4,3,0.166,0.876840696,87.68406961,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,5,1,0.166,1.111111111,111.1111111,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,5,2,0.166,1.25167336,125.167336,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,5,3,0.166,1.157965194,115.7965194,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,6,1,0.166,1.09772423,109.772423,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,6,2,0.166,1.164658635,116.4658635,terrestrial,thenic,E2
la_selva,goniopteris_nicaraguensis,6,3,0.166,1.164658635,116.4658635,terrestrial,thenic,E2
la_selva,lomariopsis_japurensis,1,1,0.16,0.291666667,29.16666667,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,1,2,0.16,0.333333333,33.33333333,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,1,3,0.16,0.263888889,26.38888889,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,2,1,0.16,0.333333333,33.33333333,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,2,2,0.16,0.402777778,40.27777778,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,2,3,0.16,0.354166667,35.41666667,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,3,1,0.16,0.444444444,44.44444444,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,3,2,0.16,0.340277778,34.02777778,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,3,3,0.16,0.326388889,32.63888889,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,4,1,0.16,0.333333333,33.33333333,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,4,2,0.16,0.4,40,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,4,3,0.16,0.395833333,39.58333333,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,5,1,0.16,0.284722222,28.47222222,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,5,2,0.16,0.3375,33.75,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,5,3,0.16,0.25,25,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,6,1,0.16,0.340277778,34.02777778,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,6,2,0.16,0.354166667,35.41666667,hemi-epiphyte,lomjap,E1
la_selva,lomariopsis_japurensis,6,3,0.16,0.5,50,hemi-epiphyte,lomjap,E1
la_selva,mickelia_nicotianifolia,1,1,0.166,0.16064257,16.06425703,climber,micnic,E1
la_selva,mickelia_nicotianifolia,1,2,0.166,0.214190094,21.41900937,climber,micnic,E1
la_selva,mickelia_nicotianifolia,1,3,0.166,0.234270415,23.4270415,climber,micnic,E1
la_selva,mickelia_nicotianifolia,2,1,0.166,0.3145917,31.45917001,climber,micnic,E1
la_selva,mickelia_nicotianifolia,2,2,0.166,0.214190094,21.41900937,climber,micnic,E1
la_selva,mickelia_nicotianifolia,2,3,0.166,0.207496653,20.74966533,climber,micnic,E1
la_selva,mickelia_nicotianifolia,3,1,0.166,0.214190094,21.41900937,climber,micnic,E1
la_selva,mickelia_nicotianifolia,3,2,0.166,0.240963855,24.09638554,climber,micnic,E1
la_selva,mickelia_nicotianifolia,3,3,0.166,0.187416332,18.7416332,climber,micnic,E1
la_selva,mickelia_nicotianifolia,4,1,0.166,0.234270415,23.4270415,climber,micnic,E1
la_selva,mickelia_nicotianifolia,4,2,0.166,0.240963855,24.09638554,climber,micnic,E1
la_selva,mickelia_nicotianifolia,4,3,0.166,0.281124498,28.1124498,climber,micnic,E1
la_selva,mickelia_nicotianifolia,5,1,0.166,0.127175368,12.71753681,climber,micnic,E1
la_selva,mickelia_nicotianifolia,5,2,0.166,0.147255689,14.72556894,climber,micnic,E1
la_selva,mickelia_nicotianifolia,5,3,0.166,0.147255689,14.72556894,climber,micnic,E1
la_selva,mickelia_nicotianifolia,6,1,0.166,0.187416332,18.7416332,climber,micnic,E1
la_selva,mickelia_nicotianifolia,6,2,0.166,0.212851406,21.28514056,climber,micnic,E1
la_selva,mickelia_nicotianifolia,6,3,0.166,0.240963855,24.09638554,climber,micnic,E1
la_selva,nephrolepis_biserrata,1,1,0.159,0.419287212,41.92872117,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,1,2,0.159,0.412299092,41.22990915,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,1,3,0.159,0.447239693,44.72396925,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,2,1,0.159,0.587002096,58.70020964,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,2,2,0.159,0.677847659,67.7847659,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,2,3,0.159,0.573025856,57.3025856,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,3,1,0.159,0.545073375,54.50733753,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,3,2,0.159,0.461215933,46.12159329,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,3,3,0.159,0.36338225,36.33822502,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,6,1,0.159,0.447239693,44.72396925,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,6,2,0.159,0.561844864,56.18448637,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,6,3,0.159,0.482180294,48.21802935,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,8,1,0.159,0.517120894,51.71208945,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,8,2,0.159,0.549266247,54.92662474,terrestrial,nepbis,E1
la_selva,nephrolepis_biserrata,8,3,0.159,0.587002096,58.70020964,terrestrial,nepbis,E1
