site,species,plant_no,disk,fov_mm2,sd_cm2,sd_mm2,niche,genusspecies,group
la_selva,asplenium_auritum,1,1,0.16,0.256944444,25.69444444,epiphyte,aspaur,E2
la_selva,asplenium_auritum,1,2,0.16,0.368055556,36.80555556,epiphyte,aspaur,E2
la_selva,asplenium_auritum,1,3,0.16,0.256944444,25.69444444,epiphyte,aspaur,E2
la_selva,asplenium_auritum,2,1,0.16,0.25,25,epiphyte,aspaur,E2
la_selva,asplenium_auritum,2,2,0.16,0.305555556,30.55555556,epiphyte,aspaur,E2
la_selva,asplenium_auritum,2,3,0.16,0.388888889,38.88888889,epiphyte,aspaur,E2
la_selva,asplenium_auritum,3,1,0.16,0.194444444,19.44444444,epiphyte,aspaur,E2
la_selva,asplenium_auritum,3,2,0.16,0.166666667,16.66666667,epiphyte,aspaur,E2
la_selva,asplenium_auritum,3,3,0.16,0.180555556,18.05555556,epiphyte,aspaur,E2
la_selva,asplenium_auritum,4,1,0.16,0.548611111,54.86111111,epiphyte,aspaur,E2
la_selva,asplenium_auritum,4,2,0.16,0.558333333,55.83333333,epiphyte,aspaur,E2
la_selva,asplenium_auritum,4,3,0.16,0.583333333,58.33333333,epiphyte,aspaur,E2
la_selva,asplenium_auritum,5,1,0.16,0.305555556,30.55555556,epiphyte,aspaur,E2
la_selva,asplenium_auritum,5,2,0.16,0.3125,31.25,epiphyte,aspaur,E2
la_selva,asplenium_auritum,5,3,0.16,0.291666667,29.16666667,epiphyte,aspaur,E2
la_selva,asplenium_auritum,6,1,0.16,0.305555556,30.55555556,epiphyte,aspaur,E2
la_selva,asplenium_auritum,6,2,0.16,0.308333333,30.83333333,epiphyte,aspaur,E2
la_selva,asplenium_auritum,6,3,0.16,0.270833333,27.08333333,epiphyte,aspaur,E2
la_selva,asplenium_juglandifolium,1,1,0.166,0.30789826,30.78982597,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,1,2,0.166,0.267737617,26.77376171,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,1,3,0.166,0.287817938,28.78179384,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,2,1,0.166,0.287817938,28.78179384,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,2,2,0.166,0.227576975,22.75769746,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,2,3,0.166,0.220883534,22.08835341,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,3,1,0.166,0.267737617,26.77376171,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,3,2,0.166,0.167336011,16.73360107,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,3,3,0.166,0.247657296,24.76572959,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,4,1,0.166,0.187416332,18.7416332,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,4,2,0.166,0.227576975,22.75769746,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,4,3,0.166,0.254350736,25.43507363,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,5,1,0.166,0.16064257,16.06425703,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,5,2,0.166,0.113788487,11.37884873,epiphyte,aspjug,E2
la_selva,asplenium_juglandifolium,5,3,0.166,0.120481928,12.04819277,epiphyte,aspjug,E2
la_selva,asplenium_serratum,1,1,0.166,0.15394913,15.39491299,epiphyte,aspser,E2
la_selva,asplenium_serratum,1,2,0.166,0.113788487,11.37884873,epiphyte,aspser,E2
la_selva,asplenium_serratum,1,3,0.166,0.127175368,12.71753681,epiphyte,aspser,E2
la_selva,asplenium_serratum,2,1,0.166,0.127175368,12.71753681,epiphyte,aspser,E2
la_selva,asplenium_serratum,2,2,0.166,0.147255689,14.72556894,epiphyte,aspser,E2
la_selva,asplenium_serratum,2,3,0.166,0.16064257,16.06425703,epiphyte,aspser,E2
la_selva,asplenium_serratum,3,1,0.166,0.133868809,13.38688086,epiphyte,aspser,E2
la_selva,asplenium_serratum,3,2,0.166,0.113788487,11.37884873,epiphyte,aspser,E2
la_selva,asplenium_serratum,3,3,0.166,0.100401606,10.04016064,epiphyte,aspser,E2
la_selva,asplenium_serratum,4,1,0.166,0.087014726,8.701472557,epiphyte,aspser,E2
la_selva,asplenium_serratum,4,2,0.166,0.100401606,10.04016064,epiphyte,aspser,E2
la_selva,asplenium_serratum,4,3,0.166,0.093708166,9.3708166,epiphyte,aspser,E2
la_selva,asplenium_serratum,5,1,0.166,0.140562249,14.0562249,epiphyte,aspser,E2
la_selva,asplenium_serratum,5,2,0.166,0.133868809,13.38688086,epiphyte,aspser,E2
la_selva,asplenium_serratum,5,3,0.166,0.133868809,13.38688086,epiphyte,aspser,E2
la_selva,asplenium_serratum,6,1,0.166,0.15394913,15.39491299,epiphyte,aspser,E2
la_selva,asplenium_serratum,6,2,0.166,0.176706827,17.67068273,epiphyte,aspser,E2
la_selva,asplenium_serratum,6,3,0.166,0.140562249,14.0562249,epiphyte,aspser,E2
la_selva,blechnum_occidentale,1,1,0.16,0.326388889,32.63888889,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,1,2,0.16,0.347222222,34.72222222,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,1,3,0.16,0.215277778,21.52777778,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,2,1,0.16,0.270833333,27.08333333,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,2,2,0.16,0.270833333,27.08333333,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,2,3,0.16,0.395833333,39.58333333,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,3,1,0.16,0.458333333,45.83333333,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,3,2,0.16,0.465277778,46.52777778,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,3,3,0.16,0.444444444,44.44444444,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,4,1,0.16,0.375,37.5,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,4,2,0.16,0.2625,26.25,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,4,3,0.16,0.229166667,22.91666667,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,5,1,0.16,0.402777778,40.27777778,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,5,2,0.16,0.470833333,47.08333333,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,5,3,0.16,0.354166667,35.41666667,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,6,1,0.16,0.611111111,61.11111111,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,6,2,0.16,0.520833333,52.08333333,terrestrial,bleocc,E2
la_selva,blechnum_occidentale,6,3,0.16,0.534722222,53.47222222,terrestrial,bleocc,E2
la_selva,campyloneurum_brevifolium,1,1,0.16,0.465277778,46.52777778,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,1,2,0.16,0.423611111,42.36111111,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,1,3,0.16,0.4375,43.75,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,2,1,0.16,0.333333333,33.33333333,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,2,2,0.16,0.381944444,38.19444444,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,2,3,0.16,0.416666667,41.66666667,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,3,1,0.16,0.5,50,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,3,2,0.16,0.548611111,54.86111111,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,3,3,0.16,0.5,50,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,4,1,0.16,0.534722222,53.47222222,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,4,2,0.16,0.5125,51.25,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,4,3,0.16,0.583333333,58.33333333,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,5,1,0.16,0.465277778,46.52777778,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,5,2,0.16,0.5125,51.25,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,5,3,0.16,0.625,62.5,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,6,1,0.16,0.4375,43.75,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,6,2,0.16,0.445833333,44.58333333,epiphyte,cambre,E1
la_selva,campyloneurum_brevifolium,6,3,0.16,0.416666667,41.66666667,epiphyte,cambre,E1
la_selva,christella_dentata,1,1,0.16,1.013888889,101.3888889,terrestrial,theden,E2
la_selva,christella_dentata,1,2,0.16,1.291666667,129.1666667,terrestrial,theden,E2
la_selva,christella_dentata,1,3,0.16,1.069444444,106.9444444,terrestrial,theden,E2
la_selva,christella_dentata,2,1,0.16,0.847222222,84.72222222,terrestrial,theden,E2
la_selva,christella_dentata,2,2,0.16,1.069444444,106.9444444,terrestrial,theden,E2
la_selva,christella_dentata,3,1,0.16,0.965277778,96.52777778,terrestrial,theden,E2
la_selva,christella_dentata,3,2,0.16,1.076388889,107.6388889,terrestrial,theden,E2
la_selva,christella_dentata,3,3,0.16,1.006944444,100.6944444,terrestrial,theden,E2
la_selva,christella_dentata,4,1,0.16,1.222222222,122.2222222,terrestrial,theden,E2
la_selva,christella_dentata,4,2,0.16,1.170833333,117.0833333,terrestrial,theden,E2
la_selva,christella_dentata,4,3,0.16,1.125,112.5,terrestrial,theden,E2
la_selva,christella_dentata,6,1,0.16,1.048611111,104.8611111,terrestrial,theden,E2
la_selva,christella_dentata,6,2,0.16,1.145833333,114.5833333,terrestrial,theden,E2
la_selva,christella_dentata,6,3,0.16,1.020833333,102.0833333,terrestrial,theden,E2
la_selva,cyclopeltis_semicordata,2,1,0.166,0.448460509,44.84605087,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,2,2,0.166,0.421686747,42.1686747,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,2,3,0.166,0.508701473,50.87014726,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,3,1,0.166,0.481927711,48.19277108,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,3,2,0.166,0.495314592,49.53145917,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,3,3,0.166,0.495314592,49.53145917,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,4,1,0.166,0.448460509,44.84605087,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,4,2,0.166,0.477911647,47.79116466,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,4,3,0.166,0.421686747,42.1686747,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,6,1,0.166,0.548862115,54.88621151,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,6,2,0.166,0.515394913,51.5394913,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,6,3,0.166,0.522088353,52.20883534,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,7,1,0.166,0.502008032,50.20080321,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,7,2,0.166,0.568942436,56.89424364,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,7,3,0.166,0.555555556,55.55555556,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,8,1,0.166,0.528781794,52.87817938,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,8,2,0.166,0.542168675,54.21686747,terrestrial,cycsem,E1
la_selva,cyclopeltis_semicordata,8,3,0.166,0.548862115,54.88621151,terrestrial,cycsem,E1
la_selva,diplazium_striatastrum,1,1,0.16,1.125,112.5,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,1,2,0.16,0.993055556,99.30555556,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,1,3,0.16,1.236111111,123.6111111,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,2,1,0.16,0.979166667,97.91666667,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,2,2,0.16,1.048611111,104.8611111,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,2,3,0.16,1.180555556,118.0555556,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,3,1,0.16,1.020833333,102.0833333,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,3,2,0.16,1.104166667,110.4166667,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,3,3,0.16,1.097222222,109.7222222,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,4,1,0.16,1.159722222,115.9722222,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,4,2,0.16,1.125,112.5,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,4,3,0.16,1.166666667,116.6666667,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,5,1,0.16,1.048611111,104.8611111,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,5,2,0.16,1.020833333,102.0833333,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,5,3,0.16,1.020833333,102.0833333,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,6,1,0.16,1.055555556,105.5555556,terrestrial,dipstr,E2
la_selva,diplazium_striatastrum,6,2,0.16,1.158333333,115.8333333,terrestrial,dipstr,E2
