"species","plant_no","niche2","guardcell_length_um","average_guardcell_width_um","stomatal_size"
"blechnum_occidentale","6","terrestrial",0.0511375,0.008975,0.00092024
"campyloneurum_brevifolium","1","epiphyte",0.0464444444444444,0.015,0.00139
"campyloneurum_brevifolium","2","epiphyte",0.0452222222222222,0.016,0.00145888888888889
"campyloneurum_brevifolium","3","epiphyte",0.039,0.0141111111111111,0.00110066666666667
"campyloneurum_brevifolium","4","epiphyte",0.046,0.0156666666666667,0.00144311111111111
"campyloneurum_brevifolium","5","epiphyte",0.046,0.0152222222222222,0.00140422222222222
"christella_dentata","1","terrestrial",0.0366666666666667,0.008,0.000589777777777778
"christella_dentata","2","terrestrial",0.0384444444444444,0.00888888888888889,0.000682
"christella_dentata","3","terrestrial",0.0388888888888889,0.00888888888888889,0.000695555555555556
"christella_dentata","4","terrestrial",0.0406666666666667,0.00855555555555556,0.000695777777777778
"christella_dentata","5","terrestrial",0.0382222222222222,0.00844444444444444,0.000649333333333333
"christella_dentata","6","terrestrial",0.0402222222222222,0.007,0.000564444444444444
"cyclopeltis_semicordata","1","terrestrial",0.046375,0.012,0.001115
"cyclopeltis_semicordata","2","terrestrial",0.054875,0.012625,0.001388
"cyclopeltis_semicordata","3","terrestrial",0.047,0.0115714285714286,0.00108742857142857
"cyclopeltis_semicordata","4","terrestrial",0.045125,0.01075,0.0009725
"cyclopeltis_semicordata","6","terrestrial",0.0515714285714286,0.012,0.00123428571428571
"diplazium_atirrense","1","terrestrial",0.051375,0.017375,0.00178175
"diplazium_atirrense","2","terrestrial",0.055,0.01675,0.00184175
"diplazium_atirrense","3","terrestrial",0.055,0.013875,0.0015215
"diplazium_atirrense","4","terrestrial",0.05075,0.015,0.00151975
"diplazium_atirrense","5","terrestrial",0.050875,0.01625,0.00165125
"diplazium_atirrense","6","terrestrial",0.052,0.01625,0.001691
"diplazium_prominulum","1","terrestrial",0.046125,0.01125,0.00103375
"diplazium_prominulum","2","terrestrial",0.046375,0.01325,0.001229
"diplazium_prominulum","3","terrestrial",0.0434,0.0104,0.0009072
"diplazium_prominulum","4","terrestrial",0.047625,0.011625,0.00110925
"diplazium_prominulum","5","terrestrial",0.044875,0.0115,0.00103
"diplazium_prominulum","6","terrestrial",0.0443333333333333,0.012,0.00105466666666667
