"sample_id","genusspecies","individual","K","MPa","curve_id"
"cycsem_1_0.00","cycsem",1,2.93040422505611,0,"cycsem-1"
"cycsem_2_0.00","cycsem",2,5.07612688486868,0,"cycsem-2"
"cycsem_3_0.00","cycsem",3,1.51537406561438,0,"cycsem-3"
"cycsem_4_0.00","cycsem",4,3.73404001963644,0,"cycsem-4"
"cycsem_5_0.00","cycsem",5,2.10007646856731,0,"cycsem-5"
"cycsem_6_0.00","cycsem",6,1.1345011367867,0,"cycsem-6"
"elalat_1_0.00","elalat",1,0.611256702589723,0,"elalat-1"
"elalat_2_0.00","elalat",2,0.34698807343863,0,"elalat-2"
"elalat_3_0.00","elalat",3,0.519104224615576,0,"elalat-3"
"elalat_4_0.00","elalat",4,0.914120402893766,0,"elalat-4"
"elalat_5_0.00","elalat",5,0.931677015614786,0,"elalat-5"
"elalat_6_0.00","elalat",6,0.365552335468772,0,"elalat-6"
"lomjap_2_0.00","lomjap",2,1.10517229941996,0,"lomjap-2"
"lomjap_3_0.00","lomjap",3,2.86133121138184,0,"lomjap-3"
"lomjap_4_0.00","lomjap",4,4.21121430310836,0,"lomjap-4"
"lomjap_5_0.00","lomjap",5,1.16872866660264,0,"lomjap-5"
"lomjap_6_0.00","lomjap",6,3.00372219144425,0,"lomjap-6"
"phlaur_1_0.00","phlaur",1,3.76233843433868,0,"phlaur-1"
"phlaur_2_0.00","phlaur",2,2.26955282878269,0,"phlaur-2"
"phlaur_3_0.00","phlaur",3,4.22254696197431,0,"phlaur-3"
"phlaur_4_0.00","phlaur",4,4.60658724485411,0,"phlaur-4"
"phlaur_5_0.00","phlaur",5,4.49521831376635,0,"phlaur-5"
"phlaur_6_0.00","phlaur",6,2.49561192953062,0,"phlaur-6"
"polosm_1_0.00","polosm",1,3.06177107423131,0,"polosm-1"
"polosm_2_0.00","polosm",2,2.88205868095719,0,"polosm-2"
"polosm_3_0.00","polosm",3,6.37329147638692,0,"polosm-3"
"polosm_4_0.00","polosm",4,1.85339876268257,0,"polosm-4"
"polosm_5_0.00","polosm",5,1.80365434715475,0,"polosm-5"
"polosm_6_0.00","polosm",6,2.00247390314764,0,"polosm-6"
"tecinc_1_0.00","tecinc",1,11.2880690909642,0,"tecinc-1"
"tecinc_2_0.00","tecinc",2,7.56510914039976,0,"tecinc-2"
"tecinc_3_0.00","tecinc",3,6.87535209733675,0,"tecinc-3"
"tecinc_4_0.00","tecinc",4,9.08742246316151,0,"tecinc-4"
"tecinc_5_0.00","tecinc",5,3.42548414109851,0,"tecinc-5"
"tecinc_6_0.00","tecinc",6,6.88281269132497,0,"tecinc-6"
