"site","species","date","plant_no","frond_length_cm","stipe_length_cm","lamina_area_cm2","lamina_length_cm","chl_mg_m2","cfr","niche","genusspecies","group"
"la_selva","asplenium_auritum",2017-07-08,1,34.8,10.4,61.5,24.4,363,1.19,"epiphyte","aspaur","E2"
"la_selva","asplenium_auritum",2017-07-08,2,42.7,16.1,58.5,26.6,224,0.97,"epiphyte","aspaur","E2"
"la_selva","asplenium_auritum",2017-07-08,3,31.8,12.2,25,19.6,300,1.09,"epiphyte","aspaur","E2"
"la_selva","asplenium_auritum",2017-07-08,4,20.6,6.5,28.6,14.1,420,1.28,"epiphyte","aspaur","E2"
"la_selva","asplenium_auritum",2017-07-08,5,30.5,7.2,55.7,23.3,363,1.19,"epiphyte","aspaur","E2"
"la_selva","asplenium_auritum",2017-07-08,6,27.5,7.3,41.8,20.2,332,1.14,"epiphyte","aspaur","E2"
"la_selva","asplenium_juglandifolium",2017-07-19,1,19,0,53.6,19,46,0.69,"epiphyte","aspjug","E2"
"la_selva","asplenium_juglandifolium",2017-07-19,2,56,19,139.8,37,110,0.79,"epiphyte","aspjug","E2"
"la_selva","asplenium_juglandifolium",2017-07-19,3,69,30,57,39,135,0.83,"epiphyte","aspjug","E2"
"la_selva","asplenium_juglandifolium",2017-07-19,4,14.5,3.5,24.9,11,46,0.69,"epiphyte","aspjug","E2"
"la_selva","asplenium_juglandifolium",2017-07-19,5,19,3,34,16,249,1.01,"epiphyte","aspjug","E2"
"la_selva","asplenium_serratum",2017-07-14,1,47,0,248,47,389,1.23,"epiphyte","aspser","E2"
"la_selva","asplenium_serratum",2017-07-14,2,47,0,209,47,471,1.36,"epiphyte","aspser","E2"
"la_selva","asplenium_serratum",2017-07-14,3,67,0,403,67,585,1.54,"epiphyte","aspser","E2"
"la_selva","asplenium_serratum",2017-07-14,4,68,0,272,68,611,1.58,"epiphyte","aspser","E2"
"la_selva","asplenium_serratum",2017-07-14,5,75,0,358,75,578,1.52,"epiphyte","aspser","E2"
"la_selva","asplenium_serratum",2017-07-14,6,72,0,596,72,490,1.39,"epiphyte","aspser","E2"
"la_selva","blechnum_occidentale",2017-07-08,1,64.8,29.2,189.4,35.6,427,1.29,"terrestrial","bleocc","E2"
"la_selva","blechnum_occidentale",2017-07-08,2,88.8,27,170.6,61.8,592,1.55,"terrestrial","bleocc","E2"
"la_selva","blechnum_occidentale",2017-07-08,3,100.7,28.4,259.9,72.3,465,1.35,"terrestrial","bleocc","E2"
"la_selva","blechnum_occidentale",2017-07-08,4,67.8,31.6,191.4,36.2,338,1.15,"terrestrial","bleocc","E2"
"la_selva","blechnum_occidentale",2017-07-08,5,66.1,15.8,185.8,50.3,515,1.43,"terrestrial","bleocc","E2"
"la_selva","blechnum_occidentale",2017-07-08,6,52.4,18.1,190.7,34.3,509,1.42,"terrestrial","bleocc","E2"
"la_selva","campyloneurum_brevifolium",2017-07-10,1,100,15,599,85,560,1.5,"epiphyte","cambre","E1"
"la_selva","campyloneurum_brevifolium",2017-07-10,2,80,15,350,65,547,1.48,"epiphyte","cambre","E1"
"la_selva","campyloneurum_brevifolium",2017-07-10,3,115.5,15,809,100.5,572,1.52,"epiphyte","cambre","E1"
"la_selva","campyloneurum_brevifolium",2017-07-10,4,115,12,827,103,433,1.3,"epiphyte","cambre","E1"
"la_selva","campyloneurum_brevifolium",2017-07-10,5,60,9,329,51,471,1.6,"epiphyte","cambre","E1"
"la_selva","campyloneurum_brevifolium",2017-07-10,6,88,9,504,79,477,1.37,"epiphyte","cambre","E1"
"la_selva","christella_dentata",2017-07-10,1,91.8,30,514.5,61.8,344,1.16,"terrestrial","theden","E2"
"la_selva","christella_dentata",2017-07-10,2,88,18,399,70,370,1.2,"terrestrial","theden","E2"
"la_selva","christella_dentata",2017-07-10,3,95.8,31.5,640.8,64.3,439,1.31,"terrestrial","theden","E2"
"la_selva","christella_dentata",2017-07-10,4,81.5,21,381.7,60.5,407,1.25,"terrestrial","theden","E2"
