site,species,plant_no,genusspecies,niche,group,niche2,lamina_area_cm2,date,frond_length_cm,stipe_length_cm,lamina_length_cm,chl_mg_m2,cfr,year,xylem_area_um2,lamina_area_mm2,xylem_area_mm2,huber,stomatal_length_um,average_guardcell_width_um,stomatal_size,sd_mm2,dry_mass,lamina_area,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,capacitance_zero.,capacitance_absolute,dry_mass_g,sla_cm2g,d13C,d15N,c_perc,n_perc
la_selva,asplenium_juglandifolium,5,aspjug,epiphyte,E2,epiphyte,34,7/19/2017,19,3,16,249,1.01,2017,13227,3400,0.013227,3.89E-06,52.05555556,10.77777778,1119.252222,13.16376618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,125,NA,NA,NA,NA
la_selva,asplenium_serratum,1,aspser,epiphyte,E2,epiphyte,248,7/14/2017,47,0,47,389,1.23,2017,59051,24800,0.059051,2.38E-06,65.71111111,26.46111111,3365.204444,13.16376618,0.3806,248,6.966683753,-0.535328698,-0.698440591,96.99720004,15.10995062,0.048418384,0.098164815,0.287594771,0.0098,51.02040816,-34.98,-0.99,39.58922285,3.683725968
la_selva,asplenium_serratum,2,aspser,epiphyte,E2,epiphyte,209,7/14/2017,47,0,47,471,1.36,2017,55754,20900,0.055754,2.67E-06,64.96666667,16.26666667,2114.575556,14.50245426,0.3418,209,5.200257272,-0.623017097,-0.82749504,96.45852154,15.14741344,0.04733594,0.078966212,0.223650105,0.0048,104.1666667,-35.69,0.01,41.37895637,3.798403194
la_selva,asplenium_serratum,3,aspser,epiphyte,E2,epiphyte,403,7/14/2017,67,0,67,585,1.54,2017,120665,40300,0.120665,2.99E-06,76.48888889,16.45111111,2519.060667,11.60196341,0.4543,403,4.543013921,-0.872049231,-1.11371133,93.95844012,13.67770364,0.055256297,0.145121483,0.157213931,0.0058,86.20689655,-34.08,0.22,41.00730124,2.924283396
la_selva,asplenium_serratum,4,aspser,epiphyte,E2,epiphyte,272,7/14/2017,68,0,68,611,1.58,2017,73830,27200,0.07383,2.71E-06,77.92222222,16.45555556,2567.391111,9.3708166,0.4119,272,3.16183262,-0.946891429,-1.123557049,96.58628219,26.97384213,0.030675591,0.118201547,0.081598504,0.0064,78.125,-34.21,0.47,42.29156429,2.435162435
la_selva,asplenium_serratum,5,aspser,epiphyte,E2,epiphyte,358,7/14/2017,75,0,75,578,1.52,2017,105834,35800,0.105834,2.96E-06,58.65555556,15.79444444,1861.95,13.60999554,0.4639,358,4.120619599,-0.586185877,-0.782966382,97.92548877,27.87033067,0.026256088,0.047992386,0.077886356,0.0083,60.24096386,-35.85,-0.64,34.43822122,2.96200394
la_selva,asplenium_serratum,6,aspser,epiphyte,E2,epiphyte,596,7/14/2017,72,0,72,490,1.39,2017,122967,59600,0.122967,2.06E-06,60.2,14.56666667,1754.563333,15.70727354,0.5143,596,6.717681214,-0.701959553,-0.817673002,96.55841472,18.25613433,0.04610565,0.194503742,0.148481143,0.0069,72.46376812,-34.78,0.91,41.82201533,3.957009858
la_selva,blechnum_occidentale,1,bleocc,terrestrial,E2,terrestrial,189.4,7/8/2017,64.8,29.2,35.6,427,1.29,2017,92216,18940,0.092216,4.87E-06,52.9875,10.18125,1075.655,29.62962963,0.4247,189.4,2.800700015,-1.080060349,-1.221002777,97.44780275,39.2338439,0.022286572,0.140344634,0.077757027,0.0067,74.62686567,-34.41,2.13,42.63093623,2.300949796
la_selva,blechnum_occidentale,2,bleocc,terrestrial,E2,terrestrial,170.6,7/8/2017,88.8,27,61.8,592,1.55,2017,140674,17060,0.140674,8.25E-06,55.55,11.4625,1272.3975,31.25,0.389,170.6,3.159761759,-1.151232854,-1.286836909,95.13098851,24.11225696,0.037053778,0.296766233,0.148314941,0.0071,70.42253521,-34.83,1.81,41.01065919,1.491164095
la_selva,blechnum_occidentale,3,bleocc,terrestrial,E2,terrestrial,259.9,7/8/2017,100.7,28.4,72.3,465,1.35,2017,138140,25990,0.13814,5.32E-06,51.55714286,9.05,938.1028571,45.60185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,61.72839506,-32.25,1.46,44.33954276,2.184871578
la_selva,blechnum_occidentale,4,bleocc,terrestrial,E2,terrestrial,191.4,7/8/2017,67.8,31.6,36.2,338,1.15,2017,100628,19140,0.100628,5.26E-06,50.7125,9.9125,1005.825,28.88888889,0.3894,191.4,2.795947753,-0.918319881,-1.014807613,96.63445948,27.60527608,0.032993604,0.174681638,0.104265425,0.0076,65.78947368,-34.98,1.76,43.42339149,1.426663032
la_selva,blechnum_occidentale,5,bleocc,terrestrial,E2,terrestrial,185.8,7/8/2017,66.1,15.8,50.3,515,1.43,2017,99148,18580,0.099148,5.34E-06,54.05,9.7875,1054.43875,40.92592593,0.3351,185.8,3.341574732,-0.737160629,-0.912870764,98.27090952,40.72104492,0.019247656,0.051785654,0.064444409,0.0081,61.72839506,-32.89,1.7,43.91106881,2.644547185
la_selva,blechnum_occidentale,6,bleocc,terrestrial,E2,terrestrial,190.7,7/8/2017,52.4,18.1,34.3,509,1.42,2017,118353,19070,0.118353,6.21E-06,51.1375,9.275,948.44875,55.55555556,0.4905,190.7,2.59593091,-0.818215117,-1.251356869,96.01005676,21.56966841,0.030165302,0.052798459,0.111896529,0.0096,52.08333333,-32.81,1.05,46.0926683,2.15017716
la_selva,campyloneurum_brevifolium,1,cambre,epiphyte,E1,epiphyte,599,7/10/2017,100,15,85,560,1.5,2017,85515,59900,0.085515,1.43E-06,46.44444444,14.88888889,1378.888889,44.21296296,0.0629,599,7.868149013,-0.545384883,-0.66007793,92.70436586,7.336871059,0.110619826,0.426140994,0.050775811,0.009,55.55555556,-32,0.62,45.50760992,3.251127396
la_selva,campyloneurum_brevifolium,2,cambre,epiphyte,E1,epiphyte,350,7/10/2017,80,15,65,547,1.48,2017,53655,35000,0.053655,1.53E-06,45.22222222,15.88888889,1447,37.73148148,0.2532,350,2.384251602,-0.836468332,-1.065897895,96.50608456,23.75368067,0.032720231,0.086015322,0.031353902,0.0116,47.4137931,-33.93,1.61,46.11954087,2.119540873
la_selva,campyloneurum_brevifolium,3,cambre,epiphyte,E1,epiphyte,809,7/10/2017,115.5,15,100.5,572,1.52,2017,75336,80900,0.075336,9.31E-07,39,13.94444444,1087.444444,51.62037037,0.4514,809,2.927140974,-0.624059378,-0.841014981,97.69082181,26.61560499,0.027239445,0.046487208,0.024716241,0.0112,44.64285714,-32.77,1.1,47.15508753,2.539934354
la_selva,campyloneurum_brevifolium,4,cambre,epiphyte,E1,epiphyte,827,7/10/2017,115,12,103,433,1.3,2017,155487,82700,0.155487,1.88E-06,46,15.5,1428.777778,54.35185185,0.3901,827,3.023288315,-0.854339717,-1.18,94.36275817,15.14159138,0.046671804,0.113759877,0.036977035,0.0111,45.04504505,-31.29,1.88,46.61983018,2.302109011
la_selva,campyloneurum_brevifolium,5,cambre,epiphyte,E1,epiphyte,329,7/10/2017,60,9,51,471,1.6,2017,86991,32900,0.086991,2.64E-06,46,15.38888889,1419,53.42592593,0.381,329,2.848730002,-0.759566646,-0.934368006,95.73727891,16.64684079,0.047764462,0.138918067,0.087541252,0.0106,47.16981132,-32.02,0.84,45.58328782,2.61551065
la_selva,campyloneurum_brevifolium,6,cambre,epiphyte,E1,epiphyte,504,7/10/2017,88,9,79,477,1.37,2017,118567,50400,0.118567,2.35E-06,NA,NA,NA,43.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139,35.97122302,-32.6,-0.79,46.77616927,1.530066815
la_selva,christella_dentata,1,theden,terrestrial,E2,terrestrial,514.5,7/10/2017,91.8,30,61.8,344,1.16,2017,370014.494,51450,0.370014494,7.19E-06,36.66666667,8.111111111,598.3333333,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0083,60.24096386,-34.54,2.04,43.93614719,3.033008658
la_selva,christella_dentata,2,theden,terrestrial,E2,terrestrial,399,7/10/2017,88,18,70,370,1.2,2017,491436.909,39900,0.491436909,1.23E-05,38.44444444,8.888888889,683.3333333,95.83333333,0.3397,399,3.240077914,-0.875103428,-1.088232195,85.39464726,6.13233141,0.129245071,0.494398339,0.198070405,0.0094,53.19148936,-31.98,2.78,44.43195592,2.44077135
la_selva,christella_dentata,3,theden,terrestrial,E2,terrestrial,640.8,7/10/2017,95.8,31.5,64.3,439,1.31,2017,467076.199,64080,0.467076199,7.29E-06,38.88888889,9,703.2222222,101.6203704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0085,58.82352941,-34.37,2.4,46.15173172,3.314458494
la_selva,christella_dentata,4,theden,terrestrial,E2,terrestrial,381.7,7/10/2017,81.5,21,60.5,407,1.25,2017,305742.292,38170,0.305742292,8.01E-06,40.66666667,8.833333333,717.8888889,117.2685185,0.1126,381.7,4.218143543,-0.853663194,-0.983236063,90.09123518,8.344225346,0.102152215,0.549772743,0.070617586,0.0052,96.15384615,-33.68,1.27,44.20366769,3.701583773
la_selva,christella_dentata,5,theden,terrestrial,E2,terrestrial,NA,7/11/2017,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,38.22222222,8.5,651.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
la_selva,christella_dentata,6,theden,terrestrial,E2,terrestrial,405.2,7/10/2017,87.4,34,53.4,414,1.27,2017,311707.257,40520,0.311707257,7.69E-06,40.22222222,7.388888889,596.7777778,107.1759259,0.1718,405.2,3.104233066,-0.810932199,-1.022299672,84.86665197,5.189221869,0.149083518,0.490539813,0.109009707,0.008,62.5,-34.7,1.41,44.68792135,3.009550562
la_selva,cyclopeltis_semicordata,1,cycsem,terrestrial,E1,terrestrial,746,8/10/2017,124.9,20,104.9,617,1.59,2019,309042.438,74600,0.309042438,4.14E-06,46.375,12.25,1137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
la_selva,cyclopeltis_semicordata,2,cycsem,terrestrial,E1,terrestrial,866,8/10/2017,117.6,19.1,98.5,427,1.29,2019,408200.254,86600,0.408200254,4.71E-06,54.875,12.8125,1407,45.96162427,0.3975,866,3.812130411,-0.898302607,-1.26294428,86.64166033,5.273594287,0.124950061,0.218329931,0.121464945,0.0055,90.90909091,-34.72,0.52,43.3705866,3.42618849
la_selva,cyclopeltis_semicordata,3,cycsem,terrestrial,E1,terrestrial,828,8/10/2017,113.2,14.5,98.7,395,1.24,2019,170116.552,82800,0.170116552,2.05E-06,47,11.64285714,1093.714286,49.08522981,0.3245,828,4.038611196,-0.925314437,-1.037313752,96.67086177,25.96328759,0.033949538,0.188170079,0.029852298,0.0058,94.82758621,-33.85,1,42.32622951,3.445081967
la_selva,cyclopeltis_semicordata,4,cycsem,terrestrial,E1,terrestrial,824,8/10/2017,110.8,24.9,85.9,427,1.29,2019,366112.647,82400,0.366112647,4.44E-06,45.125,10.9375,988.625,44.93529674,0.4639,824,3.716923302,-1.089926055,-1.232450399,95.08312546,20.14091607,0.043321182,0.243076878,0.050362647,0.0054,92.59259259,-34.56,1.12,42.63093623,2.757394844
la_selva,cyclopeltis_semicordata,5,cycsem,terrestrial,E1,terrestrial,857,8/10/2017,118.1,19.5,98.6,357,1.18,2019,305728.996,85700,0.305728996,3.57E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
la_selva,cyclopeltis_semicordata,6,cycsem,terrestrial,E1,terrestrial,685,8/10/2017,98.5,18.9,79.6,395,1.31,2019,202355.506,68500,0.202355506,2.95E-06,51.57142857,12.07142857,1242.285714,52.87817938,0.3057,685,4.775742914,-0.921884951,-0.984432361,95.29813608,20.84564669,0.045124131,0.577953462,0.053429629,0.0039,128.2051282,-35.63,0.8,42.59625813,3.554229935
la_selva,cyclopeltis_semicordata,7,cycsem,terrestrial,E1,terrestrial,524,8/10/2017,73.6,10.1,63.5,439,1.19,NA,NA,NA,NA,NA,NA,NA,NA,54.21686747,0.2895,524,3.557672808,-0.980803634,-1.110141609,96.72349144,25.25924103,0.034410021,0.177604679,0.037574717,0.0058,86.20689655,-35.34,2.2,41.91404091,2.200939746
la_selva,cyclopeltis_semicordata,8,cycsem,terrestrial,E1,terrestrial,882,8/10/2017,107.7,9.6,98.1,363,1.19,NA,NA,NA,NA,NA,NA,NA,NA,53.99375279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047,106.3829787,-34.92,-0.31,43.93848276,3.713655172
la_selva,diplazium_striatastrum,1,dipstr,terrestrial,E2,terrestrial,80,7/10/2017,114.4,23.4,91,452,1.33,2017,324934,8000,0.324934,4.06E-05,38.57142857,8.857142857,687.7142857,111.8055556,0.2401,80,5.560724398,-0.876248476,-0.982820404,90.9873994,9.8110282,0.090768814,0.636935874,0.841584447,0.0035,142.8571429,-35.48,0.49,43.21171548,4.517712692
la_selva,diplazium_striatastrum,2,dipstr,terrestrial,E2,terrestrial,48,7/10/2017,101.5,17.5,84,490,1.39,2017,329917,4800,0.329917,6.87E-05,48.375,10.0625,976.25,106.9444444,0.1435,48,4.847867089,-1.078779431,-1.160777706,93.46399911,16.547613,0.056020042,0.621038633,0.451057901,0.006,83.33333333,-35.56,0.72,43.42512862,4.610073111
la_selva,diplazium_striatastrum,3,dipstr,terrestrial,E2,terrestrial,93,7/10/2017,100.5,23.5,77,465,1.35,2017,228924,9300,0.228924,2.46E-05,47.44444444,10.05555556,951,107.4074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,102.0408163,-35.75,-0.04,40.54071038,3.909836066
la_selva,diplazium_striatastrum,4,dipstr,terrestrial,E2,terrestrial,60,7/10/2017,100,21,79,458,1.34,2017,214427,6000,0.214427,3.57E-05,48.88888889,10.66666667,1041.222222,115.0462963,0.1926,60,4.392379769,-0.930555208,-1.202539567,92.52075509,11.81465121,0.062404486,0.169358335,0.488819157,0.0048,104.1666667,-36.6,1.65,44.53434685,4.008727477
la_selva,diplazium_striatastrum,5,dipstr,terrestrial,E2,terrestrial,60,7/10/2017,94,20,74,496,1.4,2017,253718,6000,0.253718,4.23E-05,47,11.66666667,1100.777778,103.0092593,0.2598,60,4.472012291,-1.006006497,-1.16707802,84.03992101,6.376722681,0.134560266,0.727969355,1.447555476,0.0078,64.1025641,-34.97,1.08,44.24850043,3.601542416
la_selva,diplazium_striatastrum,6,dipstr,terrestrial,E2,terrestrial,85,7/10/2017,94,21,73,451,1.47,2017,222779,8500,0.222779,2.62E-05,48.33333333,10.77777778,1041.333333,102.962963,0.3418,85,4.828904483,-0.894216229,-1.026046681,89.6323826,8.334410207,0.103337241,0.511000532,1.114772131,0.0093,53.76344086,-36.57,0.72,42.79590677,4.227401933
la_selva,elaphoglossum_amygdalifolium,1,elaamy,hemi-epiphyte,E1,hemi-epiphyte,28.6,7/20/2017,19.9,4,15.9,547,1.48,2017,3105,2860,0.003105,1.09E-06,NA,NA,NA,7.686932215,0.1244,28.6,3.969856188,-1.202993155,-1.40576416,96.02103769,26.79876008,0.031277456,0.119803121,0.300046134,0.0044,113.6363636,-36.94,-0.07,38.40906532,2.241835586
la_selva,elaphoglossum_amygdalifolium,2,elaamy,hemi-epiphyte,E1,hemi-epiphyte,36.2,7/20/2017,22.3,1.8,20.5,262,1.03,2017,1401,3620,0.001401,3.87E-07,NA,NA,NA,8.851618915,0.2093,36.2,4.567251721,-0.879476988,-0.95882737,96.55561281,23.07112577,0.039335987,0.312058687,0.577076184,0.0057,87.71929825,-33.04,0.23,44.74366277,2.769581316
