species,site,plant_no,dry_mass,lamina_area,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,capacitance_zero.,capacitance_absolute,niche,genusspecies,group
parablechnum_schiedeanum,las_cruces,5,0.7503,382.7,2.29315839,-1.148104563,-1.338113495,95.80038609,25.8573197,0.032733328,0.160998181,0.08175761,terrestrial,blesch,E2
parablechnum_schiedeanum,las_cruces,6,0.68495,400.24,2.233355902,-1.206224579,-1.420112235,88.65575517,11.57474003,0.074598053,0.302693831,0.158398586,terrestrial,blesch,E2
parablechnum_schiedeanum,las_cruces,7,0.7877,480.16,2.939032531,-1.2542054,-1.307140475,93.81765743,19.49701114,0.049130062,1.058313944,0.131599448,terrestrial,blesch,E2
campyloneurum_brevifolium,la_selva,1,0.0629,599,7.868149013,-0.545384883,-0.66007793,92.70436586,7.336871059,0.110619826,0.426140994,0.050775811,epiphyte,cambre,E1
campyloneurum_brevifolium,la_selva,2,0.2532,350,2.384251602,-0.836468332,-1.065897895,96.50608456,23.75368067,0.032720231,0.086015322,0.031353902,epiphyte,cambre,E1
campyloneurum_brevifolium,la_selva,3,0.4514,809,2.927140974,-0.624059378,-0.841014981,97.69082181,26.61560499,0.027239445,0.046487208,0.024716241,epiphyte,cambre,E1
campyloneurum_brevifolium,la_selva,4,0.3901,827,3.023288315,-0.854339717,-1.18,94.36275817,15.14159138,0.046671804,0.113759877,0.036977035,epiphyte,cambre,E1
campyloneurum_brevifolium,la_selva,5,0.381,329,2.848730002,-0.759566646,-0.934368006,95.73727891,16.64684079,0.047764462,0.138918067,0.087541252,epiphyte,cambre,E1
christella_dentata,la_selva,2,0.3397,399,3.240077914,-0.875103428,-1.088232195,85.39464726,6.13233141,0.129245071,0.494398339,0.198070405,terrestrial,theden,E2
christella_dentata,la_selva,4,0.1126,381.7,4.218143543,-0.853663194,-0.983236063,90.09123518,8.344225346,0.102152215,0.549772743,0.070617586,terrestrial,theden,E2
christella_dentata,la_selva,6,0.1718,405.2,3.104233066,-0.810932199,-1.022299672,84.86665197,5.189221869,0.149083518,0.490539813,0.109009707,terrestrial,theden,E2
cyclopeltis_semicordata,la_selva,2,0.3975,866,3.812130411,-0.898302607,-1.26294428,86.64166033,5.273594287,0.124950061,0.218329931,0.121464945,terrestrial,cycsem,E1
cyclopeltis_semicordata,la_selva,3,0.3245,828,4.038611196,-0.925314437,-1.037313752,96.67086177,25.96328759,0.033949538,0.188170079,0.029852298,terrestrial,cycsem,E1
cyclopeltis_semicordata,la_selva,4,0.4639,824,3.716923302,-1.089926055,-1.232450399,95.08312546,20.14091607,0.043321182,0.243076878,0.050362647,terrestrial,cycsem,E1
cyclopeltis_semicordata,la_selva,6,0.3057,685,4.775742914,-0.921884951,-0.984432361,95.29813608,20.84564669,0.045124131,0.577953462,0.053429629,terrestrial,cycsem,E1
cyclopeltis_semicordata,la_selva,7,0.2895,524,3.557672808,-0.980803634,-1.110141609,96.72349144,25.25924103,0.034410021,0.177604679,0.037574717,terrestrial,cycsem,E1
diplazium_prominulum,las_cruces,1,0.2617,345,4.589458072,-1.020030219,-1.082623086,95.83608409,25.58481306,0.036953402,0.364045509,0.071470687,terrestrial,dippro,E2
diplazium_prominulum,las_cruces,2,0.2016,286.5,7.337248812,-0.588816328,-0.660891685,92.80082974,8.62964114,0.103607245,0.566835073,0.297178076,terrestrial,dippro,E2
diplazium_prominulum,las_cruces,3,0.1595,545.1,5.248680389,-0.997414135,-1.044291731,95.75776074,22.94660326,0.041559066,0.693530952,0.035459116,terrestrial,dippro,E2
diplazium_prominulum,las_cruces,5,0.1525,277.6,5.261733224,-0.819197373,-0.901391011,95.7111537,17.47104907,0.051363429,0.397186037,0.08248229,terrestrial,dippro,E2
diplazium_prominulum,las_cruces,6,0.1985,329.6,6.944148049,-0.671176465,-0.746330744,89.2148909,6.824058649,0.132521544,1.032057393,0.307897571,terrestrial,dippro,E2
diplazium_striatastrum,la_selva,1,0.2401,80,5.560724398,-0.876248476,-0.982820404,90.9873994,9.8110282,0.090768814,0.636935874,0.841584447,terrestrial,dipstr,E2
diplazium_striatastrum,la_selva,2,0.1435,48,4.847867089,-1.078779431,-1.160777706,93.46399911,16.547613,0.056020042,0.621038633,0.451057901,terrestrial,dipstr,E2
diplazium_striatastrum,la_selva,4,0.1926,60,4.392379769,-0.930555208,-1.202539567,92.52075509,11.81465121,0.062404486,0.169358335,0.488819157,terrestrial,dipstr,E2
diplazium_striatastrum,la_selva,5,0.2598,60,4.472012291,-1.006006497,-1.16707802,84.03992101,6.376722681,0.134560266,0.727969355,1.447555476,terrestrial,dipstr,E2
diplazium_striatastrum,la_selva,6,0.3418,85,4.828904483,-0.894216229,-1.026046681,89.6323826,8.334410207,0.103337241,0.511000532,1.114772131,terrestrial,dipstr,E2
dryopteris_patula,las_cruces,2,0.2264,809.92,4.818053657,-0.40545631,-0.5425984,95.98853565,7.622931869,0.089923558,0.10771561,0.067283242,epiphyte,drypat,E1
dryopteris_patula,las_cruces,3,0.1431,526.75,6.681412865,-0.359773837,-0.461510086,95.60613601,5.333783814,0.132954878,0.163517676,0.134071099,epiphyte,drypat,E1
dryopteris_patula,las_cruces,4,0.2396,459.44,4.498975851,-0.36053195,-0.572818704,95.2730279,5.504642429,0.098638147,0.07150551,0.128571311,epiphyte,drypat,E1
dryopteris_patula,las_cruces,5,0.1577,451.57,4.553555273,-0.249849084,-0.318727658,98.02315107,8.474108366,0.083678482,0.068115596,0.073926222,epiphyte,drypat,E1
dryopteris_patula,las_cruces,7,0.1458,479.25,4.017038487,-0.283059076,-0.429009506,95.20488842,3.779525632,0.145958688,0.081779819,0.09909593,epiphyte,drypat,E1
elaphoglossum_amygdalifolium,la_selva,1,0.1244,28.6,3.969856188,-1.202993155,-1.40576416,96.02103769,26.79876008,0.031277456,0.119803121,0.300046134,hemi-epiphyte,elaamy,E1
elaphoglossum_amygdalifolium,la_selva,2,0.2093,36.2,4.567251721,-0.879476988,-0.95882737,96.55561281,23.07112577,0.039335987,0.312058687,0.577076184,hemi-epiphyte,elaamy,E1
elaphoglossum_amygdalifolium,la_selva,3,0.1358,25.1,3.083156583,-1.051913589,-1.526241972,97.2551074,33.08819631,0.019338285,0.029916874,0.179211994,hemi-epiphyte,elaamy,E1
elaphoglossum_amygdalifolium,la_selva,4,0.0669,23.9,6.621645143,-1.002767732,-1.050509138,97.31639267,36.98280023,0.02579701,0.451697827,0.26563848,hemi-epiphyte,elaamy,E1
elaphoglossum_amygdalifolium,la_selva,5,0.0801,23.5,5.811190029,-1.265204161,-1.332952113,96.76109813,37.1876258,0.025465276,0.365140307,0.280224186,hemi-epiphyte,elaamy,E1
elaphoglossum_amygdalifolium,la_selva,6,0.0737,22.5,5.296258608,-1.363715388,-1.447646049,96.53264885,32.40721315,0.028848432,0.34952239,0.278037807,hemi-epiphyte,elaamy,E1
elaphoglossum_decursivum,las_cruces,2,0.3788,251.78,3.683074102,-0.48415422,-0.602079366,98.4626389,24.42324666,0.031603815,0.061161711,0.097289553,epiphyte,eladec,E1
elaphoglossum_decursivum,las_cruces,4,0.4162,133.82,3.265292081,-0.666175754,-0.846057238,98.53463202,34.97776424,0.022388873,0.033278155,0.126317292,epiphyte,eladec,E1
elaphoglossum_decursivum,las_cruces,5,0.4075,233.5,4.79960481,-0.907026586,-1.128639779,97.39043137,33.24505322,0.023653076,0.079468699,0.110068065,epiphyte,eladec,E1
elaphoglossum_decursivum,las_cruces,6,0.3595,224.52,3.587185612,-0.882540565,-1.043773227,97.99213993,39.13441409,0.021081055,0.084019001,0.067269398,epiphyte,eladec,E1
elaphoglossum_decursivum,las_cruces,7,0.7012,221.22,3.687477971,-0.864490593,-1.112119553,96.94818473,25.44010328,0.029444669,0.071765209,0.191197023,epiphyte,eladec,E1
elaphoglossum_decursivum,las_cruces,8,0.4427,209.67,3.773477617,-0.750553239,-0.936336052,98.08331723,34.84250221,0.022060343,0.063678214,0.09764607,epiphyte,eladec,E1
elaphoglossum_herminieri,la_selva,1,0.3156,88.6,2.352782217,-0.651778505,-0.797113233,98.21718666,36.41891694,0.02241098,0.048177391,0.104345409,epiphyte,elaher,E1
elaphoglossum_herminieri,la_selva,2,0.2715,54.6,4.004232979,-0.753121093,-0.926894251,95.73662461,18.63032654,0.043749716,0.116669344,0.483948626,epiphyte,elaher,E1
elaphoglossum_herminieri,la_selva,3,0.3864,48.3,2.84157652,-0.638232151,-0.884595624,97.55140888,26.70672164,0.026904726,0.041772811,0.339785945,epiphyte,elaher,E1
elaphoglossum_herminieri,la_selva,4,0.3232,92.6,3.248741251,-0.684121959,-0.930585138,96.15923712,14.80866027,0.046488368,0.084157845,0.671238572,epiphyte,elaher,E1
elaphoglossum_herminieri,la_selva,5,0.312,103.2,4.179879838,-0.778266688,-1.17165059,96.3789821,17.66546207,0.034254515,0.042890699,0.240482795,epiphyte,elaher,E1
elaphoglossum_herminieri,la_selva,6,0.3313,118.6,3.305190674,-0.681676452,-0.939967312,97.11329761,23.90657477,0.030372382,0.038815972,0.155790014,epiphyte,elaher,E1
elaphoglossum_latifolium,la_selva,1,0.2629,54.8,2.542047528,-0.77720461,-1.031414893,97.18626749,24.88817219,0.029044171,0.060062023,0.196779645,epiphyte,elalat,E1
elaphoglossum_latifolium,la_selva,2,0.2312,84.6,4.698064702,-0.772172663,-0.941736387,95.68285028,17.38269478,0.046785908,0.164683013,0.333717529,epiphyte,elalat,E1
elaphoglossum_latifolium,la_selva,3,0.4919,54.2,2.71793806,-0.705003074,-0.89049949,98.85906808,54.44645627,0.014263906,0.028262685,0.19547132,epiphyte,elalat,E1
elaphoglossum_latifolium,la_selva,4,0.3535,52.5,3.96777746,-0.601412569,-0.750390349,98.02444405,23.556686,0.032135521,0.068433869,0.476969115,epiphyte,elalat,E1
elaphoglossum_latifolium,la_selva,5,0.7173,92.1,2.198620757,-0.569650879,-0.810076124,98.4103015,33.68896408,0.020194581,0.025442136,0.192111719,epiphyte,elalat,E1
elaphoglossum_latifolium,la_selva,6,0.4462,63.8,3.250530231,-0.713417631,-0.882276033,96.79488288,21.99306168,0.0367652,0.098929709,0.464330831,epiphyte,elalat,E1
goniopteris_curta,la_selva,1,0.3966,757.2,2.456497267,-0.823029771,-0.975956331,92.10191762,8.298718637,0.099493993,0.296583079,0.071118525,terrestrial,thecur,E2
goniopteris_curta,la_selva,2,0.3984,564.9,2.572040752,-0.868019433,-0.982801775,94.0859789,12.22964621,0.070793546,0.328742411,0.071342243,terrestrial,thecur,E2
goniopteris_curta,la_selva,3,0.2557,357.1,2.803336657,-1.046406803,-1.173488564,94.54346206,18.55382617,0.047785224,0.320130556,0.053288961,terrestrial,thecur,E2
goniopteris_curta,la_selva,4,0.2466,701.8,2.89761692,-0.888735347,-1.02572379,89.39863059,8.447390698,0.102159678,0.407421274,0.057786672,terrestrial,thecur,E2
goniopteris_curta,la_selva,5,0.1938,391.5,4.622016311,-0.967509683,-1.078397475,90.18173832,10.07568528,0.089434738,0.478549645,0.113680824,terrestrial,thecur,E2
goniopteris_curta,la_selva,6,0.3517,391.3,2.738690463,-1.147963113,-1.169044734,97.46703687,42.59071873,0.023026938,0.84501338,0.031489745,terrestrial,thecur,E2
goniopteris_nicaraguensis,la_selva,1,0.2204,344.5,2.854552737,-1.304232844,-1.474599724,90.51990039,14.17825219,0.06259011,0.370708785,0.063502913,terrestrial,thenic,E2
