"genusspecies","individual","sample_id","K","MPa","curve_id","leafarea_cm2","kmax_leaf","species","site","niche","group","niche2"
"cycsem",1,"cycsem_1_0.00",2.93040422505611,0,"cycsem-1",700.4,0.00418390094953756,"cyclopeltis_semicordata","la_selva","terrestrial","out","terrestrial"
"cycsem",2,"cycsem_2_0.00",5.07612688486868,0,"cycsem-2",697.6,0.00727655803450212,"cyclopeltis_semicordata","la_selva","terrestrial","out","terrestrial"
"cycsem",3,"cycsem_3_0.00",1.51537406561438,0,"cycsem-3",334.3,0.0045329765648052,"cyclopeltis_semicordata","la_selva","terrestrial","out","terrestrial"
"cycsem",4,"cycsem_4_0.00",3.73404001963644,0,"cycsem-4",787.9,0.00473923089178378,"cyclopeltis_semicordata","la_selva","terrestrial","out","terrestrial"
"cycsem",5,"cycsem_5_0.00",2.10007646856731,0,"cycsem-5",713.3,0.00294417001060887,"cyclopeltis_semicordata","la_selva","terrestrial","out","terrestrial"
"cycsem",6,"cycsem_6_0.00",1.1345011367867,0,"cycsem-6",415.3,0.00273176291063496,"cyclopeltis_semicordata","la_selva","terrestrial","out","terrestrial"
"elalat",1,"elalat_1_0.00",0.611256702589723,0,"elalat-1",276.1,0.00221389606153467,"elaphoglossum_latifolium","la_selva","epiphyte","E1","epiphyte"
"elalat",2,"elalat_2_0.00",0.34698807343863,0,"elalat-2",180.2,0.00192557199466498,"elaphoglossum_latifolium","la_selva","epiphyte","E1","epiphyte"
"elalat",3,"elalat_3_0.00",0.519104224615576,0,"elalat-3",200.9,0.00258389360186947,"elaphoglossum_latifolium","la_selva","epiphyte","E1","epiphyte"
"elalat",4,"elalat_4_0.00",0.914120402893766,0,"elalat-4",229.8,0.00397789557395024,"elaphoglossum_latifolium","la_selva","epiphyte","E1","epiphyte"
"elalat",5,"elalat_5_0.00",0.931677015614786,0,"elalat-5",319.1,0.00291970233661794,"elaphoglossum_latifolium","la_selva","epiphyte","E1","epiphyte"
"elalat",6,"elalat_6_0.00",0.365552335468772,0,"elalat-6",110.7,0.0033021891189591,"elaphoglossum_latifolium","la_selva","epiphyte","E1","epiphyte"
"lomjap",2,"lomjap_2_0.00",1.10517229941996,0,"lomjap-2",348.1,0.0031748701505888,"lomariopsis_japurensis","la_selva","hemi-epiphyte","out","hemi-epiphyte"
"lomjap",3,"lomjap_3_0.00",2.86133121138184,0,"lomjap-3",811.6,0.00352554363156954,"lomariopsis_japurensis","la_selva","hemi-epiphyte","out","hemi-epiphyte"
"lomjap",4,"lomjap_4_0.00",4.21121430310836,0,"lomjap-4",1058.7,0.00397772202050473,"lomariopsis_japurensis","la_selva","hemi-epiphyte","out","hemi-epiphyte"
"lomjap",5,"lomjap_5_0.00",1.16872866660264,0,"lomjap-5",491.3,0.00237884931122052,"lomariopsis_japurensis","la_selva","hemi-epiphyte","out","hemi-epiphyte"
"lomjap",6,"lomjap_6_0.00",3.00372219144425,0,"lomjap-6",1388.4,0.00216344150925112,"lomariopsis_japurensis","la_selva","hemi-epiphyte","out","hemi-epiphyte"
"phlaur",1,"phlaur_1_0.00",3.76233843433868,0,"phlaur-1",943.5,0.003987640099988,"phlebodium_aureum","la_selva","epiphyte","E1","epiphyte"
"phlaur",2,"phlaur_2_0.00",2.26955282878269,0,"phlaur-2",1174.3,0.0019326857095995,"phlebodium_aureum","la_selva","epiphyte","E1","epiphyte"
"phlaur",3,"phlaur_3_0.00",4.22254696197431,0,"phlaur-3",944.3,0.00447161597159198,"phlebodium_aureum","la_selva","epiphyte","E1","epiphyte"
"phlaur",4,"phlaur_4_0.00",4.60658724485411,0,"phlaur-4",1569.9,0.00293431890238494,"phlebodium_aureum","la_selva","epiphyte","E1","epiphyte"
"phlaur",5,"phlaur_5_0.00",4.49521831376635,0,"phlaur-5",857.2,0.00524407176127666,"phlebodium_aureum","la_selva","epiphyte","E1","epiphyte"
"phlaur",6,"phlaur_6_0.00",2.49561192953062,0,"phlaur-6",563.7,0.00442719873963211,"phlebodium_aureum","la_selva","epiphyte","E1","epiphyte"
"polosm",1,"polosm_1_0.00",3.06177107423131,0,"polosm-1",1217.9,0.00251397575682019,"polybotrya_osmundacea","la_selva","climber","E1","hemi-epiphyte"
"polosm",2,"polosm_2_0.00",2.88205868095719,0,"polosm-2",689.1,0.00418235188065185,"polybotrya_osmundacea","la_selva","climber","E1","hemi-epiphyte"
"polosm",3,"polosm_3_0.00",6.37329147638692,0,"polosm-3",1204.5,0.00529123410243829,"polybotrya_osmundacea","la_selva","climber","E1","hemi-epiphyte"
"polosm",4,"polosm_4_0.00",1.85339876268257,0,"polosm-4",439.3,0.0042189819318975,"polybotrya_osmundacea","la_selva","climber","E1","hemi-epiphyte"
"polosm",5,"polosm_5_0.00",1.80365434715475,0,"polosm-5",665.3,0.00271103915099166,"polybotrya_osmundacea","la_selva","climber","E1","hemi-epiphyte"
"polosm",6,"polosm_6_0.00",2.00247390314764,0,"polosm-6",495.4,0.00404213545245789,"polybotrya_osmundacea","la_selva","climber","E1","hemi-epiphyte"
"tecinc",1,"tecinc_1_0.00",11.2880690909642,0,"tecinc-1",971.4,0.0116204128999014,"tectaria_incisa","la_selva","terrestrial","E1","terrestrial"
"tecinc",2,"tecinc_2_0.00",7.56510914039976,0,"tecinc-2",791.8,0.00955431818691558,"tectaria_incisa","la_selva","terrestrial","E1","terrestrial"
"tecinc",3,"tecinc_3_0.00",6.87535209733675,0,"tecinc-3",799.6,0.00859848936635411,"tectaria_incisa","la_selva","terrestrial","E1","terrestrial"
"tecinc",4,"tecinc_4_0.00",9.08742246316151,0,"tecinc-4",943.8,0.00962854679292383,"tectaria_incisa","la_selva","terrestrial","E1","terrestrial"
"tecinc",5,"tecinc_5_0.00",3.42548414109851,0,"tecinc-5",307.5,0.0111397858247106,"tectaria_incisa","la_selva","terrestrial","E1","terrestrial"
"tecinc",6,"tecinc_6_0.00",6.88281269132497,0,"tecinc-6",1037.8,0.00663211860794466,"tectaria_incisa","la_selva","terrestrial","E1","terrestrial"
"aspuni",2,"aspuni_2_0.00",0.121256326925921,0,"aspuni-2",96.88,0.00125161361401653,"asplenium_uniseriale","las_cruces","terrestrial","E2","terrestrial"
"aspuni",3,"aspuni_3_0.00",0.1640967400244,0,"aspuni-3",152.18,0.00107830687359968,"asplenium_uniseriale","las_cruces","terrestrial","E2","terrestrial"
"aspuni",4,"aspuni_4_0.00",0.121075896082875,0,"aspuni-4",60.7,0.00199466056149712,"asplenium_uniseriale","las_cruces","terrestrial","E2","terrestrial"
"aspuni",5,"aspuni_5_0.00",0.110221286205745,0,"aspuni-5",92.51,0.00119145266680083,"asplenium_uniseriale","las_cruces","terrestrial","E2","terrestrial"
"aspuni",6,"aspuni_6_0.00",0.102016221088197,0,"aspuni-6",67.53,0.00151068001019098,"asplenium_uniseriale","las_cruces","terrestrial","E2","terrestrial"
"aspuni",7,"aspuni_7_0.00",0.112022214827635,0,"aspuni-7",65.46,0.00171130789531981,"asplenium_uniseriale","las_cruces","terrestrial","E2","terrestrial"
"dippro",1,"dippro_1_0.00",2.19243451227782,0,"dippro-1",345,0.00635488264428354,"diplazium_prominulum","las_cruces","terrestrial","E2","terrestrial"
"dippro",2,"dippro_2_0.00",2.1169146048831,0,"dippro-2",286.5,0.00738888169243665,"diplazium_prominulum","las_cruces","terrestrial","E2","terrestrial"
"dippro",4,"dippro_4_0.00",1.08477977674301,0,"dippro-4",226.2,0.00479566656385062,"diplazium_prominulum","las_cruces","terrestrial","E2","terrestrial"
"dippro",5,"dippro_5_0.00",0.740388930080928,0,"dippro-5",277.6,0.00266710709683331,"diplazium_prominulum","las_cruces","terrestrial","E2","terrestrial"
"dippro",6,"dippro_6_0.00",1.21414893114647,0,"dippro-6",329.6,0.00368370428139099,"diplazium_prominulum","las_cruces","terrestrial","E2","terrestrial"
"dippro",7,"dippro_7_0.00",0.902361732054243,0,"dippro-7",183.5,0.0049175026269986,"diplazium_prominulum","las_cruces","terrestrial","E2","terrestrial"
"drypat",1,"drypat_1_0.00",1.91213747881904,0,"drypat-1",902.89,0.00211779671811521,"dryopteris_patula","las_cruces","epiphyte","E1","epiphyte"
"drypat",2,"drypat_2_0.00",4.27498713940855,0,"drypat-2",809.92,0.0052782832124266,"dryopteris_patula","las_cruces","epiphyte","E1","epiphyte"
"drypat",3,"drypat_3_0.00",1.36954825035001,0,"drypat-3",526.75,0.00259999667840533,"dryopteris_patula","las_cruces","epiphyte","E1","epiphyte"
"drypat",4,"drypat_4_0.00",1.48629936235585,0,"drypat-4",459.44,0.00323502386025564,"dryopteris_patula","las_cruces","epiphyte","E1","epiphyte"
"drypat",5,"drypat_5_0.00",1.97374622911252,0,"drypat-5",451.57,0.00437085330981358,"dryopteris_patula","las_cruces","epiphyte","E1","epiphyte"
"drypat",6,"drypat_6_0.00",1.39019462292954,0,"drypat-6",312.13,0.004453896206483,"dryopteris_patula","las_cruces","epiphyte","E1","epiphyte"
"eladec",1,"eladec_1_0.00",0.127024722031132,0,"eladec-1",221.22,0.000574200895177344,"elaphoglossum_decursivum","las_cruces","epiphyte","E1","epiphyte"
"eladec",2,"eladec_2_0.00",0.0908474476925129,0,"eladec-2",251.78,0.000360820747051048,"elaphoglossum_decursivum","las_cruces","epiphyte","E1","epiphyte"
