"genusspecies","site","plant_no","water_potential","species","niche","group","niche2"
"elaamy","la_selva",3,0.3,"elaphoglossum_amygdalifolium","hemi-epiphyte","E1","hemi-epiphyte"
"elaamy","la_selva",4,0.5,"elaphoglossum_amygdalifolium","hemi-epiphyte","E1","hemi-epiphyte"
"elaamy","la_selva",5,0.3,"elaphoglossum_amygdalifolium","hemi-epiphyte","E1","hemi-epiphyte"
"elaamy","la_selva",6,0.4,"elaphoglossum_amygdalifolium","hemi-epiphyte","E1","hemi-epiphyte"
"eladec","las_cruces",1,0.5,"elaphoglossum_decursivum","epiphyte","E1","epiphyte"
"eladec","las_cruces",2,0.42,"elaphoglossum_decursivum","epiphyte","E1","epiphyte"
"eladec","las_cruces",3,0.26,"elaphoglossum_decursivum","epiphyte","E1","epiphyte"
"eladec","las_cruces",4,0.54,"elaphoglossum_decursivum","epiphyte","E1","epiphyte"
"eladec","las_cruces",5,0.66,"elaphoglossum_decursivum","epiphyte","E1","epiphyte"
"eladec","las_cruces",6,0.64,"elaphoglossum_decursivum","epiphyte","E1","epiphyte"
"elaher","la_selva",1,0.35,"elaphoglossum_herminieri","epiphyte","E1","epiphyte"
"elaher","la_selva",2,0.25,"elaphoglossum_herminieri","epiphyte","E1","epiphyte"
"elaher","la_selva",3,0.5,"elaphoglossum_herminieri","epiphyte","E1","epiphyte"
"elaher","la_selva",4,0.3,"elaphoglossum_herminieri","epiphyte","E1","epiphyte"
"elaher","la_selva",5,0.4,"elaphoglossum_herminieri","epiphyte","E1","epiphyte"
"elaher","la_selva",6,1.3,"elaphoglossum_herminieri","epiphyte","E1","epiphyte"
"elalat","la_selva",1,0.8,"elaphoglossum_latifolium","epiphyte","E1","epiphyte"
"elalat","la_selva",2,0.6,"elaphoglossum_latifolium","epiphyte","E1","epiphyte"
"elalat","la_selva",3,0.55,"elaphoglossum_latifolium","epiphyte","E1","epiphyte"
"elalat","la_selva",4,1.5,"elaphoglossum_latifolium","epiphyte","E1","epiphyte"
"elalat","la_selva",5,0.3,"elaphoglossum_latifolium","epiphyte","E1","epiphyte"
"elalat","la_selva",6,1.2,"elaphoglossum_latifolium","epiphyte","E1","epiphyte"
"lomjap","la_selva",1,0.5,"lomariopsis_japurensis","hemi-epiphyte","out","hemi-epiphyte"
"lomjap","la_selva",2,0.3,"lomariopsis_japurensis","hemi-epiphyte","out","hemi-epiphyte"
"lomjap","la_selva",3,0.35,"lomariopsis_japurensis","hemi-epiphyte","out","hemi-epiphyte"
"lomjap","la_selva",4,0.55,"lomariopsis_japurensis","hemi-epiphyte","out","hemi-epiphyte"
"lomjap","la_selva",5,0.2,"lomariopsis_japurensis","hemi-epiphyte","out","hemi-epiphyte"
"lomjap","la_selva",6,0.35,"lomariopsis_japurensis","hemi-epiphyte","out","hemi-epiphyte"
"lommax","las_cruces",1,0.89,"lomariopsis_maxonii","hemi-epiphyte","out","hemi-epiphyte"
"lommax","las_cruces",2,0.54,"lomariopsis_maxonii","hemi-epiphyte","out","hemi-epiphyte"
"lommax","las_cruces",3,0.37,"lomariopsis_maxonii","hemi-epiphyte","out","hemi-epiphyte"
"lommax","las_cruces",4,0.75,"lomariopsis_maxonii","hemi-epiphyte","out","hemi-epiphyte"
"lommax","las_cruces",5,0.72,"lomariopsis_maxonii","hemi-epiphyte","out","hemi-epiphyte"
"lommax","las_cruces",6,0.58,"lomariopsis_maxonii","hemi-epiphyte","out","hemi-epiphyte"
"micnic","la_selva",1,0.5,"mickelia_nicotianifolia","climber","E1","hemi-epiphyte"
"micnic","la_selva",2,0.38,"mickelia_nicotianifolia","climber","E1","hemi-epiphyte"
"micnic","la_selva",3,0.45,"mickelia_nicotianifolia","climber","E1","hemi-epiphyte"
"micnic","la_selva",4,0.45,"mickelia_nicotianifolia","climber","E1","hemi-epiphyte"
"micnic","la_selva",5,0.4,"mickelia_nicotianifolia","climber","E1","hemi-epiphyte"
"micnic","la_selva",6,0.36,"mickelia_nicotianifolia","climber","E1","hemi-epiphyte"
"nepbis","la_selva",1,0.75,"nephrolepis_biserrata","terrestrial","E1","terrestrial"
"nepbis","la_selva",2,0.67,"nephrolepis_biserrata","terrestrial","E1","terrestrial"
"nepbis","la_selva",3,0.62,"nephrolepis_biserrata","terrestrial","E1","terrestrial"
"nepbis","la_selva",4,0.62,"nephrolepis_biserrata","terrestrial","E1","terrestrial"
