"Group","x","Px","2.5%","97.5%"
"cycsem-1",12,0.680222487733836,0.455982077453406,1.02596488210374
"cycsem-2",12,0.349600159192279,0.150281305512152,0.445805974958494
"cycsem-3",12,0.607599478888394,0.210448103086531,0.854498927689854
"cycsem-4",12,1.09229888914834,0.764097887220931,1.64359490350541
"cycsem-5",12,0.917437347632807,0.398863410227754,1.03990053158686
"cycsem-6",12,0.363939454296215,0.212575407519148,0.69707883835878
"cycsem-1",50,1.54610375827362,1.30855076087239,1.74813981556054
"cycsem-2",50,1.00830128164315,0.740963020071011,1.07309303561324
"cycsem-3",50,1.51144111234563,1.01360033963702,1.66642600132702
"cycsem-4",50,2.50088467328884,2.24691266646969,2.83203318757619
"cycsem-5",50,1.48447953208615,1.0057110145806,1.66811753345802
"cycsem-6",50,1.30541955764768,1.00726889846475,1.54388614986593
"cycsem-1",88,2.66118153277412,2.34299158891025,NA
"cycsem-2",88,2.03157204506352,1.85377235924637,2.36797949798091
"cycsem-3",88,2.76149085597014,2.47589643522222,NA
"cycsem-4",88,4.32536185427527,3.81719482547092,NA
"cycsem-5",88,2.0407922168279,1.85345807734929,NA
"cycsem-6",88,3.0382613868298,2.17732418055971,NA
"dippro-1",12,0.0517479881750644,0.0473869660380137,0.0600236055068229
"dippro-2",12,0.434236711677952,0.140578939972479,0.597853620851015
"dippro-4",12,0.0756428172298168,0.0543470643184735,0.0945444441538568
"dippro-5",12,0.0856212969521492,0.0831508896066835,0.0876843493810171
"dippro-7",12,0.406176092691845,0.402521534203047,0.409126460639851
"dippro-1",50,0.324398738844659,0.318265682101853,0.335509776983612
"dippro-2",50,0.953098302499902,0.703391643055821,1.31051549279606
"dippro-4",50,0.406868348260281,0.382970493841612,0.42148186992221
"dippro-5",50,1.13256801264258,1.12537101743265,1.14463447432496
"dippro-7",50,0.840942114905616,0.838760163221429,0.843929944953837
"dippro-1",88,1.09222651772682,1.04689128126562,1.14283274335749
"dippro-2",88,1.60301027670489,1.42283311175896,NA
"dippro-4",88,1.23796053895572,1.10735844107986,1.39490453012729
"dippro-5",88,6.24852575238549,NA,NA
"dippro-7",88,1.36079527979979,1.35241460055384,1.36604669466731
"drypat-4",12,0.281381488196217,0.248971453256154,0.442805380791181
"drypat-5",12,0.32078327583418,0.0182552766260526,0.333245856497026
"drypat-6",12,0.262508449605651,0.256798996878736,0.265616793382112
"drypat-4",50,0.734803928667194,0.684564991306666,0.845219260455176
"drypat-5",50,0.655601374886201,0.220313379506113,0.743027704996945
"drypat-6",50,0.695932039884336,0.691509697598379,0.698184156449964
"drypat-4",88,1.38637308868782,1.23201475817633,1.53784076680694
"drypat-5",88,1.05183415654675,1.02019920662658,1.42501551677499
"drypat-6",88,1.32619032774129,1.32274716256795,1.33126329513561
"elalat-1",12,0.0718181355122825,0.00665402109171589,0.465802455843564
"elalat-2",12,0.0714101285653793,0.00914474383535282,0.605804436518279
"elalat-3",12,0.310886474053513,0.147588569901784,0.8157225663078
"elalat-4",12,0.139996089324966,0.0179424720286439,0.381294412043264
"elalat-5",12,0.0587877289859967,0.00960566421319251,0.193536899957878
"elalat-6",12,0.20635591530103,0.0139329404556296,1.16953157261611
"elalat-1",50,0.668543859239935,0.418647472586703,1.13616100810051
"elalat-2",50,0.747085757540001,0.211131983052263,1.50430717629337
"elalat-3",50,0.996884062671541,0.731240604629794,1.38479062781131
"elalat-4",50,1.03207591724369,0.357591427475471,1.44188427951806
"elalat-5",50,0.455724703349651,0.086820105589237,0.683875368651302
"elalat-6",50,1.36422776089108,0.965197328700917,NA
