Viewer version,2.84,
Measure start time,"Wednesday, January 16, 2019 6:36:05 AM",
Type of measurement,Flow [Linearized],
Sampling interval [ms],1000,
Timing information,Relative,
Article code,SLI-1000            ,
Serial Number,174900039,
COM HW Type,RS485/USB Sensor Cable,
COM HW Config,"Config String: COM3, 115200, ECHOOFF",
Sensor Cable Version,1.7,
I2C Address,64,
Scale Factor,29,
Resolution (bit),16,
Calibration Field,0,
Sample #,Relative Time[s],Flow [ul/min]
566,565.9343,10.069
567,566.9253,11.552
568,567.9325,11.069
569,568.9395,9.793
570,569.9626,11
571,570.9219,10.897
572,571.9292,10.448
573,572.9366,11.621
574,573.9442,12.241
575,574.9356,10.207
576,575.9428,10.966
577,576.9502,12.379
578,577.9261,10.552
579,578.9335,11.31
580,579.9409,12.966
581,580.9485,11.828
582,581.9225,10.621
583,582.9287,12.241
584,583.9347,11.793
585,584.9408,10.69
586,585.9469,11.931
587,586.9372,11.966
588,587.9433,10.414
589,588.9175,12
590,589.9396,12.034
591,590.946,10.621
592,591.938,11.034
593,592.9459,12.276
594,593.922,10.517
595,594.9138,10.448
596,595.9219,12.069
597,596.9297,11.069
598,597.9377,9.793
599,598.9292,11.483
600,599.9374,11.517
601,600.9452,9.828
602,601.9198,10.966
603,602.9584,11.621
604,603.9172,10.276
605,604.9239,10.966
606,605.9306,11.69
607,606.9213,9.897
608,607.9279,10.034
609,608.9505,11.966
610,609.909,11.345
611,610.9476,10
612,611.9227,11.931
613,612.9141,11.724
614,613.9373,9.966
615,614.9446,12.172
616,615.9199,11.931
617,616.9592,10.172
618,617.9346,11.034
619,618.926,11.897
620,619.9172,10.31
621,620.9087,10.241
622,621.9159,11.517
623,622.9552,10.724
624,623.9463,9.483
625,624.9214,10.897
626,625.9286,11.207
669,668.8976,0.207
670,669.9043,0.379
671,670.911,0.414
672,671.9184,-0.931
673,672.9101,0.345
674,673.9177,0.207
675,674.9253,-1.276
676,675.9005,-0.345
677,676.94,0.586
678,677.8991,-1.069
679,678.9069,-0.966
680,679.9465,0.621
681,680.906,-0.414
682,681.912,-0.897
683,682.9017,0.897
684,683.9077,-0.276
685,684.9453,-1.552
686,685.9034,0.138
687,686.9092,0
759,758.892,-0.034
760,759.8832,-1.448
761,760.9068,-0.034
762,761.898,0.034
763,762.9053,-1.172
764,763.9125,-0.414
765,764.8875,1.172
766,765.9106,-0.276
767,766.9175,-1.103
768,767.9082,1.31
769,768.899,0.103
770,769.8738,-0.966
771,770.8809,0.276
772,771.8866,0.379
773,772.8923,-1.621
774,773.8815,-0.483
775,774.9031,0.552
776,775.8923,-0.276
777,776.8976,-0.655
778,777.9033,1.103
779,778.8606,0.966
780,779.882,-0.517
781,780.8711,0.448
782,781.879,1.103
783,782.8719,-0.724
784,783.881,-0.862
785,784.9061,0.862
786,785.8831,-0.069
787,786.8763,-1
788,787.9015,0.517
789,788.8787,0.552
790,789.9038,-1.448
791,790.8809,-0.276
792,791.9197,1
793,792.878,-0.793
794,793.8837,-2.276
795,794.8892,0.069
796,795.8792,-0.172
797,796.885,-1.621
798,797.8906,-0.31
799,798.8963,0.655
800,799.8862,-0.517
801,800.8923,-0.586
802,801.899,0.862
803,802.8742,-0.31
804,803.8814,-1.31
805,804.8564,-0.207
806,805.8791,-0.793
807,806.8702,-1.655
808,807.8614,0.069
809,808.8683,1.345
810,809.891,-0.172
811,810.8661,-0.379
812,811.8898,1.586
813,812.8816,1.172
814,813.8737,-0.345
815,814.8656,0.138
816,815.8575,0.448
817,816.8656,-0.724
818,817.8735,-0.897
819,818.8813,0.207
820,819.8731,-1.034
821,820.8808,-3.034
822,821.8876,-1.241
823,822.8782,0.034
