Species,Date,CO2,Water Potential,Rhizoid Length (mm),Gametophyte Width (mm),Gametophyte Length (mm)
osm_cin,4,ac,cwp,0.09894,0.03847,0.02566
osm_cin,4,ac,cwp,0.09026,0.03809,0.04352
osm_cin,4,ac,cwp,0.04046,0.03199,0.04428
osm_cin,4,ac,cwp,0.06372,0.03535,0.0478
osm_cin,4,ac,cwp,0.07184,,
osm_cin,4,ac,cwp,0.0478,0.03704,0.02662
osm_cin,4,ac,cwp,0.04114,0.02876,0.02681
osm_cin,4,ac,cwp,0.111169,0.05184,0.04138
osm_cin,4,ac,cwp,0.06491,0.03973,0.04505
osm_cin,4,ac,cwp,0.03629,0.02566,0.03175
osm_cin,4,ec,cwp,0.10193,0.04623,0.04612
osm_cin,4,ec,cwp,0.10289,0.03844,0.04667
osm_cin,4,ec,cwp,0.07143,0.02936,0.0403
osm_cin,4,ec,cwp,0.07942,0.04305,0.04385
osm_cin,4,ec,cwp,0.05942,0.04095,0.04221
osm_cin,4,ec,cwp,0.11679,0.04342,0.03851
osm_cin,4,ec,cwp,0.16963,0.04055,0.05039
osm_cin,4,ac,cwp,0.03791,0.0305,0.03759
osm_cin,4,ac,cwp,0.0451,0.03728,0.03362
osm_cin,4,ac,cwp,0.07965,0.04146,0.03942
osm_cin,4,ac,cwp,0.08246,0.03993,0.04414
osm_cin,4,ac,cwp,0.03221,0.03229,0.03511
osm_cin,4,ac,cwp,0.03647,0.03467,0.03055
osm_cin,4,ac,cwp,0.04305,0.03673,0.03755
osm_cin,4,ac,cwp,0.03238,0.02461,0.02523
osm_cin,4,ac,cwp,0.01841,0.03109,0.0338
osm_cin,4,ac,cwp,0.07535,0.03205,0.03126
osm_cin,4,ec,cwp,0.09633,0.03899,0.0392
osm_cin,4,ec,cwp,0.03328,0.03561,0.03267
osm_cin,4,ec,cwp,0.03663,0.02965,0.03189
osm_cin,4,ec,cwp,0.06153,0.03385,0.03734
osm_cin,4,ec,cwp,0.06146,0.0216,0.02715
osm_cin,4,ec,cwp,0.08826,0.02914,0.03684
osm_cin,4,ec,cwp,0.06345,0.02876,0.03207
osm_cin,4,ec,cwp,0.07523,0.02757,0.02802
osm_cin,4,ec,cwp,0.04878,0.0251,0.02498
osm_cin,4,ec,cwp,0.06616,0.02459,0.03216
osm_cin,6,ac,cwp,0.09341,,
osm_cin,6,ac,cwp,0.12674,0.05918,0.06174
osm_cin,6,ac,cwp,0.0808,0.0586,0.04908
osm_cin,6,ac,cwp,0.08169,0.04966,0.04265
osm_cin,6,ac,cwp,0.08201,0.04084,0.03998
osm_cin,6,ac,cwp,0.11851,0.0454,0.05406
osm_cin,6,ac,cwp,0.06528,0.03261,0.04305
osm_cin,6,ac,cwp,0.04113,0.03852,0.03912
osm_cin,6,ac,cwp,0.05207,0.04997,0.04524
osm_cin,6,ac,cwp,0.05089,0.05052,0.04017
osm_cin,6,ec,cwp,0.09817,0.05369,0.05422
osm_cin,6,ec,cwp,0.08129,0.05089,0.05841
osm_cin,6,ec,cwp,0.06695,0.04234,0.04593
osm_cin,6,ec,cwp,0.11156,0.05533,0.03962
osm_cin,6,ec,cwp,0.0641,0.04466,0.05273
osm_cin,6,ec,cwp,0.05335,0.05887,0.03942
osm_cin,6,ec,cwp,0.05403,0.04487,0.04216
osm_cin,6,ac,cwp,0.05221,0.03399,0.03899
osm_cin,6,ac,cwp,0.0785,0.04228,0.04966
osm_cin,6,ac,cwp,0.08479,0.0451,0.04351
osm_cin,6,ac,cwp,0.07926,0.04152,0.0482
osm_cin,6,ac,cwp,0.07518,0.03481,0.04305
osm_cin,6,ac,cwp,0.08781,0.03613,0.04213
osm_cin,6,ac,cwp,0.10674,0.04265,0.04029
osm_cin,6,ac,cwp,0.03272,0.0348,0.02554
osm_cin,6,ac,cwp,0.06413,0.02936,0.03078
osm_cin,6,ac,cwp,0.04598,0.03367,0.03391
osm_cin,6,ec,cwp,0.04549,0.03681,0.03523
osm_cin,6,ec,cwp,0.02892,0.04113,0.03719
osm_cin,6,ec,cwp,0.06114,0.03613,0.0351
osm_cin,6,ec,cwp,0.11492,0.03518,0.03955
osm_cin,6,ec,cwp,0.04695,0.03487,0.03277
osm_cin,6,ec,cwp,0.0688,0.04261,0.04727
osm_cin,6,ec,cwp,0.06413,0.03536,0.03772
osm_cin,6,ec,cwp,0.0707,0.0299,0.0267
